"","date","QTWO"
"1","2014-03-20",15.17
"2","2014-03-21",16.129999
"3","2014-03-24",15.5
"4","2014-03-25",15.53
"5","2014-03-26",15
"6","2014-03-27",15.02
"7","2014-03-28",15.1
"8","2014-03-31",15.53
"9","2014-04-01",16.610001
"10","2014-04-02",16.92
"11","2014-04-03",16.559999
"12","2014-04-04",16.190001
"13","2014-04-07",14.86
"14","2014-04-08",13.72
"15","2014-04-09",13.92
"16","2014-04-10",14.12
"17","2014-04-11",13.68
"18","2014-04-14",13.84
"19","2014-04-15",13.36
"20","2014-04-16",13.01
"21","2014-04-17",13.06
"22","2014-04-21",13.58
"23","2014-04-22",13.48
"24","2014-04-23",13.1
"25","2014-04-24",13.2
"26","2014-04-25",13.25
"27","2014-04-28",12.99
"28","2014-04-29",12.44
"29","2014-04-30",12.28
"30","2014-05-01",12.74
"31","2014-05-02",12.35
"32","2014-05-05",12.03
"33","2014-05-06",12
"34","2014-05-07",11.59
"35","2014-05-08",10.65
"36","2014-05-09",10.03
"37","2014-05-12",10.39
"38","2014-05-13",11.05
"39","2014-05-14",11.27
"40","2014-05-15",11.31
"41","2014-05-16",11.74
"42","2014-05-19",12.03
"43","2014-05-20",11.82
"44","2014-05-21",11.72
"45","2014-05-22",12.01
"46","2014-05-23",12.69
"47","2014-05-27",12.73
"48","2014-05-28",12.91
"49","2014-05-29",13.13
"50","2014-05-30",13.15
"51","2014-06-02",13.46
"52","2014-06-03",13.37
"53","2014-06-04",13.75
"54","2014-06-05",14.22
"55","2014-06-06",14.85
"56","2014-06-09",14.98
"57","2014-06-10",14.78
"58","2014-06-11",14.57
"59","2014-06-12",15.07
"60","2014-06-13",15.5
"61","2014-06-16",15.11
"62","2014-06-17",15.49
"63","2014-06-18",14.87
"64","2014-06-19",15.41
"65","2014-06-20",15.88
"66","2014-06-23",15.94
"67","2014-06-24",15.28
"68","2014-06-25",14.92
"69","2014-06-26",14.83
"70","2014-06-27",14.12
"71","2014-06-30",14.26
"72","2014-07-01",14.54
"73","2014-07-02",14.66
"74","2014-07-03",15.04
"75","2014-07-07",14.57
"76","2014-07-08",13.86
"77","2014-07-09",13.83
"78","2014-07-10",13.65
"79","2014-07-11",13.7
"80","2014-07-14",13.58
"81","2014-07-15",13.63
"82","2014-07-16",13.7
"83","2014-07-17",13.13
"84","2014-07-18",13.75
"85","2014-07-21",13.55
"86","2014-07-22",13.96
"87","2014-07-23",14.05
"88","2014-07-24",13.94
"89","2014-07-25",13.79
"90","2014-07-28",13.38
"91","2014-07-29",13.17
"92","2014-07-30",13.24
"93","2014-07-31",13.17
"94","2014-08-01",13.14
"95","2014-08-04",13.27
"96","2014-08-05",12.68
"97","2014-08-06",12.84
"98","2014-08-07",12.99
"99","2014-08-08",15.34
"100","2014-08-11",15.23
"101","2014-08-12",16.02
"102","2014-08-13",16.620001
"103","2014-08-14",16.110001
"104","2014-08-15",16.18
"105","2014-08-18",16.200001
"106","2014-08-19",16.25
"107","2014-08-20",15.66
"108","2014-08-21",16.08
"109","2014-08-22",16.219999
"110","2014-08-25",15.96
"111","2014-08-26",15.49
"112","2014-08-27",15.42
"113","2014-08-28",15.16
"114","2014-08-29",14.76
"115","2014-09-02",14.59
"116","2014-09-03",14.67
"117","2014-09-04",15.06
"118","2014-09-05",14.96
"119","2014-09-08",15.07
"120","2014-09-09",14.9
"121","2014-09-10",15.02
"122","2014-09-11",15.32
"123","2014-09-12",15.58
"124","2014-09-15",15.32
"125","2014-09-16",15.61
"126","2014-09-17",16.09
"127","2014-09-18",15.9
"128","2014-09-19",15.44
"129","2014-09-22",14.66
"130","2014-09-23",14.26
"131","2014-09-24",14.19
"132","2014-09-25",14.08
"133","2014-09-26",14.06
"134","2014-09-29",13.91
"135","2014-09-30",14
"136","2014-10-01",14.38
"137","2014-10-02",14.95
"138","2014-10-03",14.85
"139","2014-10-06",14.65
"140","2014-10-07",14.36
"141","2014-10-08",14.49
"142","2014-10-09",13.89
"143","2014-10-10",13.36
"144","2014-10-13",13.48
"145","2014-10-14",14.01
"146","2014-10-15",14.24
"147","2014-10-16",14.32
"148","2014-10-17",14
"149","2014-10-20",13.99
"150","2014-10-21",13.99
"151","2014-10-22",13.93
"152","2014-10-23",14.07
"153","2014-10-24",14.43
"154","2014-10-27",14.36
"155","2014-10-28",14.56
"156","2014-10-29",14.51
"157","2014-10-30",14.56
"158","2014-10-31",15.09
"159","2014-11-03",14.72
"160","2014-11-04",14.92
"161","2014-11-05",15.07
"162","2014-11-06",15.1
"163","2014-11-07",18.870001
"164","2014-11-10",17.91
"165","2014-11-11",17.459999
"166","2014-11-12",17.91
"167","2014-11-13",18.049999
"168","2014-11-14",18.9
"169","2014-11-17",19
"170","2014-11-18",19.030001
"171","2014-11-19",19
"172","2014-11-20",19.34
"173","2014-11-21",18.99
"174","2014-11-24",18.66
"175","2014-11-25",18.950001
"176","2014-11-26",19.190001
"177","2014-11-28",18.59
"178","2014-12-01",18.93
"179","2014-12-02",18.92
"180","2014-12-03",19.620001
"181","2014-12-04",19.389999
"182","2014-12-05",19.719999
"183","2014-12-08",19.41
"184","2014-12-09",19.440001
"185","2014-12-10",19.02
"186","2014-12-11",19.120001
"187","2014-12-12",18.059999
"188","2014-12-15",17.82
"189","2014-12-16",17.82
"190","2014-12-17",18.610001
"191","2014-12-18",19
"192","2014-12-19",19.73
"193","2014-12-22",19.309999
"194","2014-12-23",20.299999
"195","2014-12-24",20.09
"196","2014-12-26",20
"197","2014-12-29",19.389999
"198","2014-12-30",19
"199","2014-12-31",18.84
"200","2015-01-02",18.889999
"201","2015-01-05",18.860001
"202","2015-01-06",18.309999
"203","2015-01-07",18.700001
"204","2015-01-08",19.370001
"205","2015-01-09",19.07
"206","2015-01-12",19.07
"207","2015-01-13",18.52
"208","2015-01-14",18.889999
"209","2015-01-15",18.16
"210","2015-01-16",18.549999
"211","2015-01-20",18.469999
"212","2015-01-21",18.26
"213","2015-01-22",17.99
"214","2015-01-23",17.610001
"215","2015-01-26",17.83
"216","2015-01-27",17.700001
"217","2015-01-28",17.469999
"218","2015-01-29",17.530001
"219","2015-01-30",17.879999
"220","2015-02-02",17.98
"221","2015-02-03",18.18
"222","2015-02-04",18.08
"223","2015-02-05",18.42
"224","2015-02-06",19.42
"225","2015-02-09",19.030001
"226","2015-02-10",19.040001
"227","2015-02-11",19.01
"228","2015-02-12",19.08
"229","2015-02-13",20.73
"230","2015-02-17",20.41
"231","2015-02-18",20.5
"232","2015-02-19",20.450001
"233","2015-02-20",20.190001
"234","2015-02-23",20.33
"235","2015-02-24",20.309999
"236","2015-02-25",20.66
"237","2015-02-26",21.02
"238","2015-02-27",19.809999
"239","2015-03-02",20.690001
"240","2015-03-03",20.49
"241","2015-03-04",20.690001
"242","2015-03-05",20.82
"243","2015-03-06",20.48
"244","2015-03-09",20.35
"245","2015-03-10",20.639999
"246","2015-03-11",20.74
"247","2015-03-12",21.370001
"248","2015-03-13",21.360001
"249","2015-03-16",21.17
"250","2015-03-17",21.450001
"251","2015-03-18",21.75
"252","2015-03-19",21.559999
"253","2015-03-20",21.65
"254","2015-03-23",21.5
"255","2015-03-24",21.42
"256","2015-03-25",20.379999
"257","2015-03-26",20.690001
"258","2015-03-27",21.16
"259","2015-03-30",21.440001
"260","2015-03-31",21.139999
"261","2015-04-01",21.26
"262","2015-04-02",21.52
"263","2015-04-06",20.969999
"264","2015-04-07",20.66
"265","2015-04-08",20.610001
"266","2015-04-09",20.389999
"267","2015-04-10",20.139999
"268","2015-04-13",20.25
"269","2015-04-14",20.110001
"270","2015-04-15",20.07
"271","2015-04-16",19.809999
"272","2015-04-17",19.91
"273","2015-04-20",19.809999
"274","2015-04-21",20.02
"275","2015-04-22",20.059999
"276","2015-04-23",20.139999
"277","2015-04-24",19.700001
"278","2015-04-27",20.620001
"279","2015-04-28",20.360001
"280","2015-04-29",19.940001
"281","2015-04-30",20.35
"282","2015-05-01",20.559999
"283","2015-05-04",20.75
"284","2015-05-05",20.57
"285","2015-05-06",20.639999
"286","2015-05-07",21.58
"287","2015-05-08",23.48
"288","2015-05-11",24.309999
"289","2015-05-12",24.719999
"290","2015-05-13",24.639999
"291","2015-05-14",25.01
"292","2015-05-15",24.889999
"293","2015-05-18",24.950001
"294","2015-05-19",25.49
"295","2015-05-20",25.450001
"296","2015-05-21",24.99
"297","2015-05-22",24.969999
"298","2015-05-26",24.870001
"299","2015-05-27",24.65
"300","2015-05-28",23.059999
"301","2015-05-29",23.709999
"302","2015-06-01",24.75
"303","2015-06-02",24.549999
"304","2015-06-03",24.52
