"","date","MHO"
"1","2007-01-03",37.23
"2","2007-01-04",36.529999
"3","2007-01-05",35.93
"4","2007-01-08",35.150002
"5","2007-01-09",35.349998
"6","2007-01-10",35.27
"7","2007-01-11",35.259998
"8","2007-01-12",35.209999
"9","2007-01-16",35.150002
"10","2007-01-17",35.529999
"11","2007-01-18",35.380001
"12","2007-01-19",35.380001
"13","2007-01-22",35.279999
"14","2007-01-23",34.700001
"15","2007-01-24",35.810001
"16","2007-01-25",34.919998
"17","2007-01-26",34.560001
"18","2007-01-29",34.860001
"19","2007-01-30",35.130001
"20","2007-01-31",36.080002
"21","2007-02-01",36.59
"22","2007-02-02",37.150002
"23","2007-02-05",36.48
"24","2007-02-06",36.209999
"25","2007-02-07",36.220001
"26","2007-02-08",35.189999
"27","2007-02-09",34.240002
"28","2007-02-12",33.759998
"29","2007-02-13",33.860001
"30","2007-02-14",33.599998
"31","2007-02-15",33.919998
"32","2007-02-16",33.990002
"33","2007-02-20",33.93
"34","2007-02-21",33.810001
"35","2007-02-22",33
"36","2007-02-23",32.689999
"37","2007-02-26",33
"38","2007-02-27",32.029999
"39","2007-02-28",31.379999
"40","2007-03-01",30.799999
"41","2007-03-02",30.200001
"42","2007-03-05",28.959999
"43","2007-03-06",29.35
"44","2007-03-07",29.33
"45","2007-03-08",29.719999
"46","2007-03-09",29.459999
"47","2007-03-12",28.65
"48","2007-03-13",27.49
"49","2007-03-14",28.040001
"50","2007-03-15",28.469999
"51","2007-03-16",28.25
"52","2007-03-19",28.48
"53","2007-03-20",28.540001
"54","2007-03-21",29.719999
"55","2007-03-22",29.58
"56","2007-03-23",29.59
"57","2007-03-26",28.620001
"58","2007-03-27",27.620001
"59","2007-03-28",26.74
"60","2007-03-29",26.809999
"61","2007-03-30",26.549999
"62","2007-04-02",26.370001
"63","2007-04-03",26.870001
"64","2007-04-04",25.950001
"65","2007-04-05",25.809999
"66","2007-04-09",25.77
"67","2007-04-10",25.67
"68","2007-04-11",25.280001
"69","2007-04-12",26.09
"70","2007-04-13",26.209999
"71","2007-04-16",26.48
"72","2007-04-17",27.030001
"73","2007-04-18",26.780001
"74","2007-04-19",27.389999
"75","2007-04-20",28.25
"76","2007-04-23",28.559999
"77","2007-04-24",28.74
"78","2007-04-25",28.530001
"79","2007-04-26",30.27
"80","2007-04-27",29.76
"81","2007-04-30",29.73
"82","2007-05-01",29.83
"83","2007-05-02",30.27
"84","2007-05-03",30.290001
"85","2007-05-04",30.370001
"86","2007-05-07",30.040001
"87","2007-05-08",30.110001
"88","2007-05-09",30.08
"89","2007-05-10",28.709999
"90","2007-05-11",28.549999
"91","2007-05-14",28.110001
"92","2007-05-15",27.76
"93","2007-05-16",27.6
"94","2007-05-17",27.860001
"95","2007-05-18",27.15
"96","2007-05-21",27.940001
"97","2007-05-22",29.51
"98","2007-05-23",29.98
