"","date","MTP"
"1","2015-12-07",367.5
"2","2015-12-08",314
"3","2015-12-09",300
"4","2015-12-10",317
"5","2015-12-11",314.5
"6","2015-12-14",305.5
"7","2015-12-15",310
"8","2015-12-16",299
"9","2015-12-17",272.5
"10","2015-12-18",247.5
"11","2015-12-21",219.100006
"12","2015-12-22",212
"13","2015-12-23",211.5
"14","2015-12-24",211
"15","2015-12-28",208
"16","2015-12-29",231.5
"17","2015-12-30",254
"18","2015-12-31",242.5
"19","2016-01-04",245.5
"20","2016-01-05",250
"21","2016-01-06",275.5
"22","2016-01-07",280
"23","2016-01-08",277.5
"24","2016-01-11",276.299988
"25","2016-01-12",268.549988
"26","2016-01-13",257.5
"27","2016-01-14",254.399994
"28","2016-01-15",236.5
"29","2016-01-19",237.5
"30","2016-01-20",233
"31","2016-01-21",230
"32","2016-01-22",233.899994
"33","2016-01-25",220.5
"34","2016-01-26",243
"35","2016-01-27",234.5
"36","2016-01-28",233
"37","2016-01-29",232.5
"38","2016-02-01",235.5
"39","2016-02-02",233
"40","2016-02-03",235
"41","2016-02-04",233.5
"42","2016-02-05",236
"43","2016-02-08",231
"44","2016-02-09",235.5
"45","2016-02-10",228.5
"46","2016-02-11",228.5
"47","2016-02-12",229.5
"48","2016-02-16",233
"49","2016-02-17",229.5
"50","2016-02-18",231.5
"51","2016-02-19",232.5
"52","2016-02-22",231
"53","2016-02-23",232.399994
"54","2016-02-24",228
"55","2016-02-25",230
"56","2016-02-26",227.5
"57","2016-02-29",228
"58","2016-03-01",227.649994
"59","2016-03-02",227
"60","2016-03-03",231
"61","2016-03-04",227.5
"62","2016-03-07",226.949997
"63","2016-03-08",226
"64","2016-03-09",226
"65","2016-03-10",227.5
"66","2016-03-11",225.5
"67","2016-03-14",220.5
"68","2016-03-15",213
"69","2016-03-16",203
"70","2016-03-17",207
"71","2016-03-18",204.5
"72","2016-03-21",201
"73","2016-03-22",204
"74","2016-03-23",187.5
"75","2016-03-24",175
"76","2016-03-28",177.5
"77","2016-03-29",199.5
"78","2016-03-30",190.5
"79","2016-03-31",201.5
"80","2016-04-01",218
"81","2016-04-04",238
"82","2016-04-05",235.5
"83","2016-04-06",241.899994
"84","2016-04-07",228.5
"85","2016-04-08",231.949997
"86","2016-04-11",238.5
"87","2016-04-12",244.699997
"88","2016-04-13",230
"89","2016-04-14",211
"90","2016-04-15",204.5
"91","2016-04-18",205
"92","2016-04-19",208
"93","2016-04-20",212
"94","2016-04-21",222.899994
"95","2016-04-22",242
"96","2016-04-25",245.5
"97","2016-04-26",251.5
"98","2016-04-27",242
"99","2016-04-28",236
"100","2016-04-29",227.5
"101","2016-05-02",226.5
"102","2016-05-03",226.5
"103","2016-05-04",221
"104","2016-05-05",236
"105","2016-05-06",242
"106","2016-05-09",234.800003
"107","2016-05-10",231.449997
"108","2016-05-11",239.5
"109","2016-05-12",236.100006
"110","2016-05-13",237.5
"111","2016-05-16",229
"112","2016-05-17",230.5
"113","2016-05-18",197.5
"114","2016-05-19",192.5
"115","2016-05-20",183.5
"116","2016-05-23",200.5
"117","2016-05-24",200.5
"118","2016-05-25",198.5
"119","2016-05-26",192.5
"120","2016-05-27",190
"121","2016-05-31",188.100006
"122","2016-06-01",192.5
"123","2016-06-02",191
"124","2016-06-03",194.5
"125","2016-06-06",192.600006
"126","2016-06-07",190
"127","2016-06-08",185
"128","2016-06-09",184.5
"129","2016-06-10",180
"130","2016-06-13",183.5
"131","2016-06-14",181.5
"132","2016-06-15",180
"133","2016-06-16",176
"134","2016-06-17",176.5
"135","2016-06-20",178.5
"136","2016-06-21",176.5
"137","2016-06-22",172.5
"138","2016-06-23",172.899994
"139","2016-06-24",164
"140","2016-06-27",145.5
"141","2016-06-28",147
"142","2016-06-29",147.550003
"143","2016-06-30",141.100006
"144","2016-07-01",144.100006
"145","2016-07-05",142.5
"146","2016-07-06",146
"147","2016-07-07",143
"148","2016-07-08",144.5
"149","2016-07-11",149
"150","2016-07-12",145
"151","2016-07-13",143
"152","2016-07-14",143.5
"153","2016-07-15",140
"154","2016-07-18",148
"155","2016-07-19",143.050003
"156","2016-07-20",142.5
"157","2016-07-21",143
"158","2016-07-22",143
"159","2016-07-25",141.199997
"160","2016-07-26",136.050003
"161","2016-07-27",137
"162","2016-07-28",135
"163","2016-07-29",139
"164","2016-08-01",139.5
"165","2016-08-02",135.5
"166","2016-08-03",145
"167","2016-08-04",141.449997
"168","2016-08-05",138.149994
"169","2016-08-08",135.649994
"170","2016-08-09",137.5
"171","2016-08-10",143.5
"172","2016-08-11",151.149994
"173","2016-08-12",151.5
"174","2016-08-15",150
"175","2016-08-16",164.600006
"176","2016-08-17",161
"177","2016-08-18",178
"178","2016-08-19",180.5
"179","2016-08-22",195
"180","2016-08-23",203.149994
"181","2016-08-24",200.5
"182","2016-08-25",186
"183","2016-08-26",220
"184","2016-08-29",209
"185","2016-08-30",215
"186","2016-08-31",202.5
