"","date","METX"
"1","2018-10-17",9.55
"2","2018-10-18",9.55
"3","2018-10-19",9.59
"4","2018-10-22",9.58
"5","2018-10-23",9.58
"6","2018-10-24",9.6
"7","2018-10-25",9.7
"8","2018-10-26",9.62
"9","2018-10-29",9.62
"10","2018-10-30",9.62
"11","2018-10-31",9.62
"12","2018-11-01",9.63
"13","2018-11-02",9.62
"14","2018-11-05",9.65
"15","2018-11-06",9.64
"16","2018-11-07",9.64
"17","2018-11-08",9.64
"18","2018-11-09",9.63
"19","2018-11-12",9.64
"20","2018-11-13",9.7
"21","2018-11-14",9.71
"22","2018-11-15",9.71
"23","2018-11-16",9.75
"24","2018-11-19",9.75
"25","2018-11-20",9.63
"26","2018-11-21",9.63
"27","2018-11-23",9.63
"28","2018-11-26",9.73
"29","2018-11-27",9.73
"30","2018-11-28",9.73
"31","2018-11-29",9.73
"32","2018-11-30",9.73
"33","2018-12-03",9.73
"34","2018-12-04",9.73
"35","2018-12-06",9.73
"36","2018-12-07",9.73
"37","2018-12-10",9.73
"38","2018-12-11",9.73
"39","2018-12-12",9.71
"40","2018-12-13",9.71
"41","2018-12-14",9.71
"42","2018-12-17",9.72
"43","2018-12-18",9.73
"44","2018-12-19",9.75
"45","2018-12-20",9.8
"46","2018-12-21",9.8
"47","2018-12-24",9.8
"48","2018-12-26",9.8
"49","2018-12-27",9.8
"50","2018-12-28",9.8
"51","2018-12-31",9.8
"52","2019-01-02",9.8
"53","2019-01-03",9.79
"54","2019-01-04",9.83
"55","2019-01-07",9.83
"56","2019-01-08",9.83
"57","2019-01-09",9.83
"58","2019-01-10",9.83
"59","2019-01-11",9.83
"60","2019-01-14",9.83
"61","2019-01-15",9.82
"62","2019-01-16",9.83
"63","2019-01-17",9.83
"64","2019-01-18",9.85
"65","2019-01-22",9.85
"66","2019-01-23",9.84
"67","2019-01-24",9.84
"68","2019-01-25",9.84
"69","2019-01-28",9.84
"70","2019-01-29",9.84
"71","2019-01-30",9.84
"72","2019-01-31",9.84
"73","2019-02-01",9.85
"74","2019-02-04",9.85
"75","2019-02-05",9.85
"76","2019-02-06",9.9
"77","2019-02-07",9.9
"78","2019-02-08",9.9
"79","2019-02-11",9.9
"80","2019-02-12",9.9
"81","2019-02-13",9.94
"82","2019-02-14",9.9
"83","2019-02-15",9.9
"84","2019-02-19",9.94
"85","2019-02-20",9.94
"86","2019-02-21",10.01
"87","2019-02-22",10.03
"88","2019-02-25",10.04
"89","2019-02-26",10.04
"90","2019-02-27",10.04
"91","2019-02-28",10.03
"92","2019-03-01",10.04
"93","2019-03-04",10.04
"94","2019-03-05",10.04
"95","2019-03-06",10.04
"96","2019-03-07",10.04
"97","2019-03-08",10.04
"98","2019-03-11",10.04
"99","2019-03-12",9.99
"100","2019-03-13",9.99
"101","2019-03-14",9.99
"102","2019-03-15",9.99
"103","2019-03-18",9.97
"104","2019-03-19",10.01
"105","2019-03-20",9.98
"106","2019-03-21",10
"107","2019-03-22",10
"108","2019-03-25",10
"109","2019-03-26",10.01
"110","2019-03-27",10.01
"111","2019-03-28",10.14
"112","2019-03-29",10.08
"113","2019-04-01",10.05
"114","2019-04-02",10.05
"115","2019-04-03",10.03
"116","2019-04-04",10.03
"117","2019-04-05",10.03
"118","2019-04-08",10.03
"119","2019-04-09",10.03
"120","2019-04-10",10.03
"121","2019-04-11",10.03
"122","2019-04-12",9.99
"123","2019-04-15",9.98
"124","2019-04-16",10.03
"125","2019-04-17",10.04
"126","2019-04-18",10.04
"127","2019-04-22",10.04
"128","2019-04-23",10.04
"129","2019-04-24",10.03
"130","2019-04-25",10.03
"131","2019-04-26",10.03
"132","2019-04-29",10.03
"133","2019-04-30",10.03
"134","2019-05-01",9.98
"135","2019-05-02",9.98
"136","2019-05-03",9.98
"137","2019-05-06",10.02
"138","2019-05-07",10
"139","2019-05-08",10
"140","2019-05-09",10
"141","2019-05-10",10
"142","2019-05-13",10
"143","2019-05-14",10.02
"144","2019-05-15",10.05
"145","2019-05-16",10.05
"146","2019-05-17",10.01
"147","2019-05-20",10.01
"148","2019-05-21",10.01
"149","2019-05-22",10.01
"150","2019-05-23",10.02
"151","2019-05-24",10.02
"152","2019-05-28",10.02
"153","2019-05-29",10.02
"154","2019-05-30",10.02
"155","2019-05-31",10.02
"156","2019-06-03",10.02
"157","2019-06-04",10.02
"158","2019-06-05",10.02
"159","2019-06-06",10.03
"160","2019-06-07",10.03
"161","2019-06-10",10.03
"162","2019-06-11",10.03
"163","2019-06-12",10.03
"164","2019-06-13",10.03
"165","2019-06-14",10.03
"166","2019-06-17",10.04
"167","2019-06-18",10.01
"168","2019-06-19",10.01
"169","2019-06-20",10
"170","2019-06-21",10
"171","2019-06-24",10.03
"172","2019-06-25",10.03
"173","2019-06-26",10.13
"174","2019-06-27",9.86
"175","2019-06-28",9.86
"176","2019-07-01",9.9
"177","2019-07-02",9.9
"178","2019-07-03",9.9
"179","2019-07-05",9.9
"180","2019-07-08",10
"181","2019-07-09",10
"182","2019-07-10",10.05
"183","2019-07-11",10.05
"184","2019-07-12",10.05
"185","2019-07-15",10.08
"186","2019-07-16",10.08
"187","2019-07-17",10.08
"188","2019-07-18",10.08
"189","2019-07-19",10.08
"190","2019-07-22",10.05
"191","2019-07-23",10.06
"192","2019-07-24",10.06
"193","2019-07-25",10.06
"194","2019-07-26",10.06
"195","2019-07-29",10.06
"196","2019-07-30",10.06
"197","2019-07-31",10.06
"198","2019-08-01",10.06
"199","2019-08-02",10.06
"200","2019-08-05",10.06
"201","2019-08-06",10.06
"202","2019-08-07",10.06
"203","2019-08-08",10.06
"204","2019-08-09",10.06
"205","2019-08-12",10.06
"206","2019-08-13",10.1
"207","2019-08-14",10.1
"208","2019-08-15",10.1
"209","2019-08-16",10.09
"210","2019-08-19",10.09
"211","2019-08-20",10.11
"212","2019-08-21",10.11
"213","2019-08-22",10.11
"214","2019-08-23",10.11
"215","2019-08-26",10.11
"216","2019-08-27",10.11
"217","2019-08-28",10.08
"218","2019-08-29",10.1
"219","2019-08-30",10.1
"220","2019-09-03",10.1
"221","2019-09-04",10.1
"222","2019-09-05",10.15
"223","2019-09-06",10.15
"224","2019-09-09",10.15
"225","2019-09-10",10.16
"226","2019-09-11",10.19
"227","2019-09-12",10.19
"228","2019-09-13",10.19
"229","2019-09-16",10.13
"230","2019-09-17",10.13
"231","2019-09-18",10.18
"232","2019-09-19",10.13
"233","2019-09-20",10.13
"234","2019-09-23",10.13
"235","2019-09-24",10.13
"236","2019-09-25",10.13
"237","2019-09-26",10.13
"238","2019-09-27",10.15
"239","2019-09-30",10.15
"240","2019-10-01",10.15
"241","2019-10-02",10.15
"242","2019-10-03",10.18
"243","2019-10-04",10.18
"244","2019-10-07",10.18
"245","2019-10-08",10.18
"246","2019-10-09",10.18
"247","2019-10-10",10.2
"248","2019-10-11",10.2
"249","2019-10-14",10.2
"250","2019-10-15",10.16
"251","2019-10-16",10.16
"252","2019-10-17",10.16
"253","2019-10-18",10.16
"254","2019-10-21",10.16
"255","2019-10-22",10.2
"256","2019-10-23",10.2
"257","2019-10-24",10.2
"258","2019-10-25",10.2
"259","2019-10-28",10.2
"260","2019-10-29",10.18
"261","2019-10-30",10.26
"262","2019-10-31",10.2
"263","2019-11-01",10.2
"264","2019-11-04",10.17
"265","2019-11-05",10.17
"266","2019-11-06",10.17
"267","2019-11-07",10.17
"268","2019-11-08",10.2
"269","2019-11-11",10.21
"270","2019-11-12",10.21
"271","2019-11-13",10.16
"272","2019-11-14",10.16
"273","2019-11-15",10.16
"274","2019-11-18",10.16
"275","2019-11-19",10.16
"276","2019-11-20",10.16
"277","2019-11-21",10.16
"278","2019-11-22",10.16
"279","2019-11-25",10.16
"280","2019-11-26",10.16
"281","2019-11-27",10.16
"282","2019-11-29",10.16
"283","2019-12-02",10.22
"284","2019-12-03",10.22
"285","2019-12-04",10.22
"286","2019-12-05",10.23
"287","2019-12-06",10.23
"288","2019-12-09",10.23
"289","2019-12-10",10.23
"290","2019-12-11",10.23
"291","2019-12-12",10.27
"292","2019-12-13",10.25
"293","2019-12-16",10.25
"294","2019-12-17",10.25
"295","2019-12-18",10.25
"296","2019-12-19",10.25
"297","2019-12-20",10.25
"298","2019-12-23",10.25
"299","2019-12-24",10.25
"300","2019-12-26",10.25
"301","2019-12-27",10.25
"302","2019-12-30",10.25
"303","2019-12-31",10.27
"304","2020-01-02",10.27
