"","date","BBCP"
"228","2018-07-17",9.92
"229","2018-07-18",9.92
"230","2018-07-19",9.92
"231","2018-07-20",9.92
"232","2018-07-23",9.92
"233","2018-07-24",10.39
"234","2018-07-25",9.97
"235","2018-07-26",9.97
"236","2018-07-27",9.92
"237","2018-07-30",9.937
"238","2018-07-31",9.95
"239","2018-08-01",9.97
"240","2018-08-02",9.97
"241","2018-08-03",9.97
"242","2018-08-06",9.95
"243","2018-08-07",9.95
"244","2018-08-08",9.95
"245","2018-08-09",9.95
"246","2018-08-10",9.95
"247","2018-08-13",9.95
"248","2018-08-14",9.93
"249","2018-08-15",9.93
"250","2018-08-16",9.911
"251","2018-08-17",9.911
"252","2018-08-20",9.91
"253","2018-08-21",9.94
"254","2018-08-22",9.95
"255","2018-08-23",9.95
"256","2018-08-24",9.95
"257","2018-08-27",10
"258","2018-08-28",10
"259","2018-08-29",9.95
"260","2018-08-30",9.97
"261","2018-08-31",9.97
"262","2018-09-04",9.98
"263","2018-09-05",9.97
"264","2018-09-06",9.97
"265","2018-09-07",9.97
"266","2018-09-10",10.16
"267","2018-09-11",10.15
"268","2018-09-12",10.18
"269","2018-09-13",10.18
"270","2018-09-14",10.18
"271","2018-09-17",10.19
"272","2018-09-18",10.19
"273","2018-09-19",10.231
"274","2018-09-20",10.2
"275","2018-09-21",10.18
"276","2018-09-24",10.2
"277","2018-09-25",10.2
"278","2018-09-26",10.2
"279","2018-09-27",10.2
"280","2018-09-28",10.2
"281","2018-10-01",10.2
"282","2018-10-02",10.22
"283","2018-10-03",10.21
"284","2018-10-04",10.23
"285","2018-10-05",10.19
"286","2018-10-08",10.19
"287","2018-10-09",10.2
"288","2018-10-10",10.18
"289","2018-10-11",10.19
"290","2018-10-12",10.16
"291","2018-10-15",10.2
"292","2018-10-16",10.2
"293","2018-10-17",10.2
"294","2018-10-18",10.22
"295","2018-10-19",10.22
"296","2018-10-22",10.22
"297","2018-10-23",10.21
"298","2018-10-24",10.22
"299","2018-10-25",10.21
"300","2018-10-26",10.21
"301","2018-10-29",10.215
"302","2018-10-30",10.22
"303","2018-10-31",10.22
"304","2018-11-01",10.21
"305","2018-11-02",10.19
"306","2018-11-05",10.215
"307","2018-11-06",10.21
"308","2018-11-07",10.2
"309","2018-11-08",10.2
"310","2018-11-09",10.21
"311","2018-11-12",10.2
"312","2018-11-13",10.27
"313","2018-11-14",10.27
"314","2018-11-15",10.27
"315","2018-11-16",10.25
"316","2018-11-19",10.26
"317","2018-11-20",10.26
"318","2018-11-21",10.28
"319","2018-11-23",10.28
"320","2018-11-26",10.27
"321","2018-11-27",10.27
"322","2018-11-28",10.28
"323","2018-11-29",10.25
"324","2018-11-30",10.3
"325","2018-12-03",10.05
"326","2018-12-04",10.2
"327","2018-12-06",9.36
"328","2018-12-07",10.2
"329","2018-12-10",8.8
"330","2018-12-11",8.74
"331","2018-12-12",8.27
"332","2018-12-13",9.95
"333","2018-12-14",9.9
"334","2018-12-17",9.53
"335","2018-12-18",9.6
"336","2018-12-19",9.4
"337","2018-12-20",8.92
"338","2018-12-21",8.36
"339","2018-12-24",8
"340","2018-12-26",7.82
"341","2018-12-27",8.24
"342","2018-12-28",8.04
"343","2018-12-31",8.23
"344","2019-01-02",8.08
"345","2019-01-03",8.23
"346","2019-01-04",7.5
"347","2019-01-07",7.8
"348","2019-01-08",8
"349","2019-01-09",8.41
"350","2019-01-10",8.896
"351","2019-01-11",8.13
"352","2019-01-14",8.24
"353","2019-01-15",7.98
"354","2019-01-16",7.77
"355","2019-01-17",7.58
"356","2019-01-18",7.57
"357","2019-01-22",7.91
"358","2019-01-23",7.79
"359","2019-01-24",7.66
"360","2019-01-25",8.02
"361","2019-01-28",8.755
"362","2019-01-29",8.6
"363","2019-01-30",7.75
"364","2019-01-31",7.89
"365","2019-02-01",7.8
"366","2019-02-04",8.11
"367","2019-02-05",7.74
"368","2019-02-06",7.725
"369","2019-02-07",7.52
"370","2019-02-08",7.32
"371","2019-02-11",7.34
"372","2019-02-12",7.28
"373","2019-02-13",7.4
"374","2019-02-14",7.48
"375","2019-02-15",7.953
"376","2019-02-19",7.69
"377","2019-02-20",7.97
"378","2019-02-21",8
"379","2019-02-22",7.98
"380","2019-02-25",7.75
"381","2019-02-26",7.75
"382","2019-02-27",7.65
"383","2019-02-28",7.69
"384","2019-03-01",7.79
"385","2019-03-04",7.89
"386","2019-03-05",7.99
"387","2019-03-06",7.99
"388","2019-03-07",7.97
"389","2019-03-08",8.08
"390","2019-03-11",8.29
"391","2019-03-12",8.985
"392","2019-03-13",9.5
"393","2019-03-14",12.49
"394","2019-03-15",10.52
"395","2019-03-18",10.5
"396","2019-03-19",12
"397","2019-03-20",11.25
"398","2019-03-21",10.75
"399","2019-03-22",10.2
"400","2019-03-25",9.5
"401","2019-03-26",9.69
"402","2019-03-27",9.3
"403","2019-03-28",9.5
"404","2019-03-29",8.95
"405","2019-04-01",9
"406","2019-04-02",7.35
"407","2019-04-03",7.33
"408","2019-04-04",7.36
"409","2019-04-05",7
"410","2019-04-08",6.85
"411","2019-04-09",6.7
"412","2019-04-10",6.67
"413","2019-04-11",6.61
"414","2019-04-12",6.77
"415","2019-04-15",6.75
"416","2019-04-16",6.7
"417","2019-04-17",6.8
"418","2019-04-18",6.87
"419","2019-04-22",6.77
"420","2019-04-23",6.96
"421","2019-04-24",6.75
"422","2019-04-25",6.7
"423","2019-04-26",6.89
"424","2019-04-29",6.82
"425","2019-04-30",6.6
"426","2019-05-01",6.6
"427","2019-05-02",6.5
"428","2019-05-03",6.54
"429","2019-05-06",6.5
"430","2019-05-07",5.55
"431","2019-05-08",5.5
"432","2019-05-09",4.87
"433","2019-05-10",5.16
"434","2019-05-13",5.04
"435","2019-05-14",5.45
"436","2019-05-15",5.17
"437","2019-05-16",5.31
"438","2019-05-17",5.15
"439","2019-05-20",5.28
"440","2019-05-21",5.4
"441","2019-05-22",5.44
"442","2019-05-23",5.41
"443","2019-05-24",5.36
"444","2019-05-28",5.02
"445","2019-05-29",5.05
"446","2019-05-30",5.32
"447","2019-05-31",5.1
"448","2019-06-03",5.2
"449","2019-06-04",5.36
"450","2019-06-05",5.03
"451","2019-06-06",5.01
"452","2019-06-07",4.9
"453","2019-06-10",4.4
"454","2019-06-11",4.05
"455","2019-06-12",4.03
"456","2019-06-13",4.28
"457","2019-06-14",4.27
"458","2019-06-17",4.05
"459","2019-06-18",4.15
"460","2019-06-19",4.25
"461","2019-06-20",4.2
"462","2019-06-21",4.42
"463","2019-06-24",4.75
"464","2019-06-25",4.68
"465","2019-06-26",4.75
"466","2019-06-27",4.88
"467","2019-06-28",5.12
"468","2019-07-01",5.52
"469","2019-07-02",5.4
"470","2019-07-03",5.27
"471","2019-07-05",5.49
"472","2019-07-08",5.26
"473","2019-07-09",5.3
"474","2019-07-10",5.28
"475","2019-07-11",5.27
"476","2019-07-12",5.4
