"","date","GFL"
"1","2020-03-03",16.799999
"2","2020-03-04",17.75
"3","2020-03-05",17.450001
"4","2020-03-06",17.01
"5","2020-03-09",16.200001
"6","2020-03-10",16.65
"7","2020-03-11",16.52
"8","2020-03-12",16.200001
"9","2020-03-13",16.700001
"10","2020-03-16",14.65
"11","2020-03-17",15.46
"12","2020-03-18",14.5
"13","2020-03-19",15.32
"14","2020-03-20",15.69
"15","2020-03-23",14.67
"16","2020-03-24",14.71
"17","2020-03-25",14.09
"18","2020-03-26",15.16
"19","2020-03-27",14.96
"20","2020-03-30",14.87
"21","2020-03-31",15.05
"22","2020-04-01",13.74
"23","2020-04-02",13.14
"24","2020-04-03",12.65
"25","2020-04-06",12.53
"26","2020-04-07",13.26
"27","2020-04-08",13.72
"28","2020-04-09",15.37
"29","2020-04-13",15.13
"30","2020-04-14",15.4
"31","2020-04-15",14.86
"32","2020-04-16",15.02
"33","2020-04-17",15.08
"34","2020-04-20",15.39
"35","2020-04-21",15.21
"36","2020-04-22",15.37
"37","2020-04-23",15.46
"38","2020-04-24",15.18
"39","2020-04-27",15.27
"40","2020-04-28",15.39
"41","2020-04-29",16.690001
"42","2020-04-30",17.299999
"43","2020-05-01",17.540001
"44","2020-05-04",17.25
"45","2020-05-05",17.049999
"46","2020-05-06",17.190001
"47","2020-05-07",17.09
"48","2020-05-08",17.209999
"49","2020-05-11",17.549999
"50","2020-05-12",17.58
"51","2020-05-13",17.84
"52","2020-05-14",17.629999
"53","2020-05-15",17.65
"54","2020-05-18",17.780001
"55","2020-05-19",17.780001
"56","2020-05-20",17.4
"57","2020-05-21",17.25
"58","2020-05-22",17.690001
"59","2020-05-26",18.08
"60","2020-05-27",18.26
"61","2020-05-28",19.08
"62","2020-05-29",19.17
"63","2020-06-01",20.23
"64","2020-06-02",19.4
"65","2020-06-03",19.129999
"66","2020-06-04",18.799999
"67","2020-06-05",19.25
"68","2020-06-08",20.129999
"69","2020-06-09",19.43
"70","2020-06-10",19.15
"71","2020-06-11",17.85
"72","2020-06-12",18.1
"73","2020-06-15",18.389999
"74","2020-06-16",18.52
"75","2020-06-17",18.459999
"76","2020-06-18",18.43
"77","2020-06-19",18.379999
"78","2020-06-22",17.889999
"79","2020-06-23",18
"80","2020-06-24",18.370001
"81","2020-06-25",18.719999
"82","2020-06-26",18.530001
"83","2020-06-29",18.75
"84","2020-06-30",18.77
"85","2020-07-01",18.950001
"86","2020-07-02",18.85
"87","2020-07-06",18.959999
"88","2020-07-07",19.15
"89","2020-07-08",18.799999
"90","2020-07-09",18.67
"91","2020-07-10",18.799999
"92","2020-07-13",18.82
"93","2020-07-14",18.93
"94","2020-07-15",19.25
"95","2020-07-16",19.58
"96","2020-07-17",20.02
"97","2020-07-20",19.790001
"98","2020-07-21",19.65
"99","2020-07-22",19.98
"100","2020-07-23",20.25
"101","2020-07-24",20.540001
"102","2020-07-27",21.1
"103","2020-07-28",21.33
"104","2020-07-29",21.440001
"105","2020-07-30",21.620001
"106","2020-07-31",21.6
"107","2020-08-03",21.780001
"108","2020-08-04",22.4
"109","2020-08-05",22.559999
"110","2020-08-06",22.110001
"111","2020-08-07",21.559999
"112","2020-08-10",20.49
"113","2020-08-11",20.780001
"114","2020-08-12",20.32
"115","2020-08-13",21.58
"116","2020-08-14",21.379999
"117","2020-08-17",21.23
"118","2020-08-18",19.48
"119","2020-08-19",18.41
"120","2020-08-20",19.360001
"121","2020-08-21",19.32
"122","2020-08-24",19
"123","2020-08-25",18.700001
"124","2020-08-26",18.57
"125","2020-08-27",18.459999
"126","2020-08-28",18.67
"127","2020-08-31",18.25
"128","2020-09-01",17.629999
"129","2020-09-02",18.389999
"130","2020-09-03",18.790001
"131","2020-09-04",19.1
"132","2020-09-08",19.309999
"133","2020-09-09",19.74
"134","2020-09-10",20.299999
"135","2020-09-11",20.530001
"136","2020-09-14",20.6
"137","2020-09-15",20.959999
"138","2020-09-16",20.9
"139","2020-09-17",21.860001
"140","2020-09-18",22.43
"141","2020-09-21",21.18
"142","2020-09-22",21.26
"143","2020-09-23",20.299999
"144","2020-09-24",20.280001
"145","2020-09-25",20.51
"146","2020-09-28",20.629999
"147","2020-09-29",21.040001
"148","2020-09-30",21.26
"149","2020-10-01",21.9
"150","2020-10-02",22.459999
"151","2020-10-05",22.35
"152","2020-10-06",22.18
"153","2020-10-07",22.540001
"154","2020-10-08",22.33
"155","2020-10-09",22.200001
"156","2020-10-12",22.379999
"157","2020-10-13",22.67
"158","2020-10-14",22.42
"159","2020-10-15",22.360001
"160","2020-10-16",22.219999
"161","2020-10-19",21.85
"162","2020-10-20",21.969999
"163","2020-10-21",22.530001
"164","2020-10-22",22.370001
"165","2020-10-23",22.4
"166","2020-10-26",21.24
"167","2020-10-27",20.33
"168","2020-10-28",19.76
"169","2020-10-29",19.67
"170","2020-10-30",19.139999
"171","2020-11-02",19.75
"172","2020-11-03",20.5
"173","2020-11-04",20.48
"174","2020-11-05",21.48
"175","2020-11-06",21.75
"176","2020-11-09",21.66
"177","2020-11-10",21.799999
"178","2020-11-11",22.98
"179","2020-11-12",22.610001
"180","2020-11-13",22.85
"181","2020-11-16",23.99
"182","2020-11-17",24.129999
"183","2020-11-18",24.719999
"184","2020-11-19",25.43
"185","2020-11-20",26
"186","2020-11-23",26.209999
"187","2020-11-24",25.9
"188","2020-11-25",26.440001
"189","2020-11-27",27.129999
