"","date","TCX"
"1","2007-01-03",3.4
"2","2007-01-04",3.44
"3","2007-01-05",3.4
"4","2007-01-08",3.4
"5","2007-01-09",3.36
"6","2007-01-10",3.56
"7","2007-01-11",3.56
"8","2007-01-12",3.56
"9","2007-01-16",3.52
"10","2007-01-17",3.48
"11","2007-01-18",3.52
"12","2007-01-19",3.52
"13","2007-01-22",3.44
"14","2007-01-23",3.44
"15","2007-01-24",3.36
"16","2007-01-25",3.32
"17","2007-01-26",3.36
"18","2007-01-29",3.36
"19","2007-01-30",3.24
"20","2007-01-31",3.24
"21","2007-02-01",3.28
"22","2007-02-02",3.28
"23","2007-02-05",3.32
"24","2007-02-06",3.32
"25","2007-02-07",3.36
"26","2007-02-08",3.32
"27","2007-02-09",3.4
"28","2007-02-12",3.4
"29","2007-02-13",3.48
"30","2007-02-14",3.44
"31","2007-02-15",3.44
"32","2007-02-16",3.4
"33","2007-02-20",3.4
"34","2007-02-21",3.36
"35","2007-02-22",3.44
"36","2007-02-23",3.48
"37","2007-02-26",3.56
"38","2007-02-27",3.48
"39","2007-02-28",3.44
"40","2007-03-01",3.4
"41","2007-03-02",3.4
"42","2007-03-05",3.4
"43","2007-03-06",3.4
"44","2007-03-07",3.36
"45","2007-03-08",3.4
"46","2007-03-09",3.4
"47","2007-03-12",3.44
"48","2007-03-13",3.4
"49","2007-03-14",3.4
"50","2007-03-15",3.4
"51","2007-03-16",3.44
"52","2007-03-19",3.4
"53","2007-03-20",3.44
"54","2007-03-21",3.48
"55","2007-03-22",3.52
"56","2007-03-23",3.52
"57","2007-03-26",3.52
"58","2007-03-27",3.52
"59","2007-03-28",3.52
"60","2007-03-29",3.44
"61","2007-03-30",3.48
"62","2007-04-02",3.44
"63","2007-04-03",3.44
"64","2007-04-04",3.48
"65","2007-04-05",3.48
"66","2007-04-09",3.4
"67","2007-04-10",3.48
"68","2007-04-11",3.4
"69","2007-04-12",3.4
"70","2007-04-13",3.44
"71","2007-04-16",3.4
"72","2007-04-17",3.44
"73","2007-04-18",3.44
"74","2007-04-19",3.44
"75","2007-04-20",3.4
"76","2007-04-23",3.36
"77","2007-04-24",3.4
"78","2007-04-25",3.4
"79","2007-04-26",3.36
"80","2007-04-27",3.36
"81","2007-04-30",3.48
"82","2007-05-01",3.36
"83","2007-05-02",3.48
"84","2007-05-03",3.52
"85","2007-05-04",3.52
"86","2007-05-07",3.6
"87","2007-05-08",3.52
"88","2007-05-09",3.56
"89","2007-05-10",3.6
"90","2007-05-11",3.96
"91","2007-05-14",3.88
"92","2007-05-15",3.88
"93","2007-05-16",3.8
"94","2007-05-17",3.72
"95","2007-05-18",3.8
"96","2007-05-21",3.8
"97","2007-05-22",3.84
"98","2007-05-23",4.16
"99","2007-05-24",4.2
"100","2007-05-25",4.28
"101","2007-05-29",4.32
"102","2007-05-30",4.16
"103","2007-05-31",4.08
"104","2007-06-01",4.2
"105","2007-06-04",4
"106","2007-06-05",4
"107","2007-06-06",4
"108","2007-06-07",3.96
"109","2007-06-08",4
"110","2007-06-11",4
"111","2007-06-12",4.04
"112","2007-06-13",4.16
"113","2007-06-14",4.16
"114","2007-06-15",4.28
"115","2007-06-18",5.16
"116","2007-06-19",5.08
"117","2007-06-20",4.96
"118","2007-06-21",5
"119","2007-06-22",4.92
"120","2007-06-25",4.68
"121","2007-06-26",4.72
"122","2007-06-27",4.8
"123","2007-06-28",4.76
"124","2007-06-29",4.76
"125","2007-07-02",4.92
"126","2007-07-03",4.96
"127","2007-07-05",4.88
"128","2007-07-06",4.72
"129","2007-07-09",4.76
"130","2007-07-10",4.68
"131","2007-07-11",4.8
"132","2007-07-12",4.68
"133","2007-07-13",4.68
"134","2007-07-16",5.36
"135","2007-07-17",5.12
"136","2007-07-18",5
"137","2007-07-19",5.12
"138","2007-07-20",5.04
"139","2007-07-23",5.4
"140","2007-07-24",5.24
"141","2007-07-25",5.12
"142","2007-07-26",4.84
"143","2007-07-27",4.84
"144","2007-07-30",4.92
"145","2007-07-31",4.92
"146","2007-08-01",4.84
"147","2007-08-02",4.84
"148","2007-08-03",4.8
"149","2007-08-06",4.84
"150","2007-08-07",4
"151","2007-08-08",4
"152","2007-08-09",4.12
