"","date","FUTU"
"1","2019-03-08",15.32
"2","2019-03-11",16.799999
"3","2019-03-12",16.4
"4","2019-03-13",15.77
"5","2019-03-14",17.5
"6","2019-03-15",18
"7","2019-03-18",18.57
"8","2019-03-19",18.299999
"9","2019-03-20",17.120001
"10","2019-03-21",17.450001
"11","2019-03-22",17.190001
"12","2019-03-25",16.870001
"13","2019-03-26",17.02
"14","2019-03-27",18.27
"15","2019-03-28",17.91
"16","2019-03-29",18.52
"17","2019-04-01",18.620001
"18","2019-04-02",17.620001
"19","2019-04-03",17.780001
"20","2019-04-04",17.110001
"21","2019-04-05",17.129999
"22","2019-04-08",16.799999
"23","2019-04-09",16.58
"24","2019-04-10",16
"25","2019-04-11",16.780001
"26","2019-04-12",16.26
"27","2019-04-15",16.26
"28","2019-04-16",16.84
"29","2019-04-17",15.8
"30","2019-04-18",15.6
"31","2019-04-22",15.03
"32","2019-04-23",15.1
"33","2019-04-24",14.7
"34","2019-04-25",13.76
"35","2019-04-26",14.64
"36","2019-04-29",14.31
"37","2019-04-30",13.95
"38","2019-05-01",13.75
"39","2019-05-02",13.65
"40","2019-05-03",14.24
"41","2019-05-06",13.87
"42","2019-05-07",13.71
"43","2019-05-08",13.83
"44","2019-05-09",13.41
"45","2019-05-10",13.42
"46","2019-05-13",12.51
"47","2019-05-14",12.08
"48","2019-05-15",12.77
"49","2019-05-16",12.21
"50","2019-05-17",11.12
"51","2019-05-20",11.85
"52","2019-05-21",12.33
"53","2019-05-22",11.28
"54","2019-05-23",11.47
"55","2019-05-24",11.53
"56","2019-05-28",11.07
"57","2019-05-29",11.58
"58","2019-05-30",11.52
"59","2019-05-31",10.98
"60","2019-06-03",10.23
"61","2019-06-04",10.56
"62","2019-06-05",9.75
"63","2019-06-06",9.63
"64","2019-06-07",9.58
"65","2019-06-10",10.05
"66","2019-06-11",10.14
"67","2019-06-12",9.62
"68","2019-06-13",9.65
"69","2019-06-14",9.55
"70","2019-06-17",9.87
"71","2019-06-18",10.23
"72","2019-06-19",10.01
"73","2019-06-20",10.05
"74","2019-06-21",10.45
"75","2019-06-24",9.92
"76","2019-06-25",9.94
"77","2019-06-26",10.18
"78","2019-06-27",10.37
"79","2019-06-28",10.57
"80","2019-07-01",10.54
"81","2019-07-02",10.78
"82","2019-07-03",11
"83","2019-07-05",10.79
"84","2019-07-08",10.62
"85","2019-07-09",11.36
"86","2019-07-10",10.94
"87","2019-07-11",10.79
"88","2019-07-12",10.9
"89","2019-07-15",10.97
"90","2019-07-16",11.25
"91","2019-07-17",11.35
"92","2019-07-18",11.03
"93","2019-07-19",11.17
"94","2019-07-22",11.18
"95","2019-07-23",11.31
"96","2019-07-24",11.37
"97","2019-07-25",11.24
"98","2019-07-26",11.4
"99","2019-07-29",11.36
"100","2019-07-30",11.35
