"","date","GAIN"
"1","2007-01-03",15.6
"2","2007-01-04",15.53
"3","2007-01-05",15.26
"4","2007-01-08",15.49
"5","2007-01-09",15.44
"6","2007-01-10",15.51
"7","2007-01-11",15.72
"8","2007-01-12",16
"9","2007-01-16",15.91
"10","2007-01-17",15.64
"11","2007-01-18",15.51
"12","2007-01-19",15.54
"13","2007-01-22",15.28
"14","2007-01-23",15.17
"15","2007-01-24",15.18
"16","2007-01-25",15.12
"17","2007-01-26",15.18
"18","2007-01-29",15.24
"19","2007-01-30",15.31
"20","2007-01-31",15.45
"21","2007-02-01",15.56
"22","2007-02-02",15.81
"23","2007-02-05",15.4
"24","2007-02-06",15.07
"25","2007-02-07",15.13
"26","2007-02-08",15.15
"27","2007-02-09",15.18
"28","2007-02-12",15.19
"29","2007-02-13",15.24
"30","2007-02-14",15.15
"31","2007-02-15",15.06
"32","2007-02-16",14.97
"33","2007-02-20",15.25
"34","2007-02-21",15.25
"35","2007-02-22",15.28
"36","2007-02-23",15.12
"37","2007-02-26",15.12
"38","2007-02-27",14.65
"39","2007-02-28",14.7
"40","2007-03-01",14.78
"41","2007-03-02",14.67
"42","2007-03-05",14.69
"43","2007-03-06",15.01
"44","2007-03-07",14.82
"45","2007-03-08",14.78
"46","2007-03-09",14.83
"47","2007-03-12",14.92
"48","2007-03-13",14.41
"49","2007-03-14",14.61
"50","2007-03-15",15.05
"51","2007-03-16",14.93
"52","2007-03-19",15.01
"53","2007-03-20",14.86
"54","2007-03-21",15.1
"55","2007-03-22",15.07
"56","2007-03-23",15.06
"57","2007-03-26",15.02
"58","2007-03-27",14.87
"59","2007-03-28",14.65
"60","2007-03-29",14.89
"61","2007-03-30",14.87
"62","2007-04-02",14.89
"63","2007-04-03",15.2
"64","2007-04-04",14.99
"65","2007-04-05",14.94
"66","2007-04-09",14.83
"67","2007-04-10",15.04
"68","2007-04-11",14.81
"69","2007-04-12",14.74
"70","2007-04-13",14.85
"71","2007-04-16",15.06
"72","2007-04-17",14.99
"73","2007-04-18",14.77
"74","2007-04-19",14.59
"75","2007-04-20",14.76
"76","2007-04-23",14.72
"77","2007-04-24",14.61
"78","2007-04-25",14.6
"79","2007-04-26",14.51
"80","2007-04-27",14.52
"81","2007-04-30",14.33
"82","2007-05-01",14.37
"83","2007-05-02",14.31
"84","2007-05-03",14.46
"85","2007-05-04",14.48
"86","2007-05-07",14.51
"87","2007-05-08",14.51
"88","2007-05-09",14.53
"89","2007-05-10",14.25
"90","2007-05-11",14.45
"91","2007-05-14",14.35
"92","2007-05-15",14.12
"93","2007-05-16",14.22
"94","2007-05-17",14.25
"95","2007-05-18",14.17
"96","2007-05-21",14.04
"97","2007-05-22",14.39
"98","2007-05-23",14.32
"99","2007-05-24",14.49
"100","2007-05-25",14.34
"101","2007-05-29",14.33
"102","2007-05-30",14.48
"103","2007-05-31",14.56
"104","2007-06-01",14.27
"105","2007-06-04",14.23
"106","2007-06-05",14.27
"107","2007-06-06",14.12
"108","2007-06-07",14.01
"109","2007-06-08",14
"110","2007-06-11",14.01
"111","2007-06-12",13.91
"112","2007-06-13",14.05
"113","2007-06-14",14.06
"114","2007-06-15",14.62
"115","2007-06-18",14.68
"116","2007-06-19",14.57
"117","2007-06-20",14.36
"118","2007-06-21",14.67
"119","2007-06-22",14.94
"120","2007-06-25",14.66
"121","2007-06-26",14.25
"122","2007-06-27",14.24
"123","2007-06-28",14.38
"124","2007-06-29",14.21
"125","2007-07-02",14.34
"126","2007-07-03",14.39
"127","2007-07-05",14.13
"128","2007-07-06",14.1
"129","2007-07-09",13.92
"130","2007-07-10",13.99
"131","2007-07-11",13.99
"132","2007-07-12",14
"133","2007-07-13",13.96
"134","2007-07-16",13.97
"135","2007-07-17",13.96
"136","2007-07-18",13.71
"137","2007-07-19",13.59
"138","2007-07-20",13.48
"139","2007-07-23",13.47
"140","2007-07-24",13.25
"141","2007-07-25",13.07
"142","2007-07-26",13.02
"143","2007-07-27",12.99
"144","2007-07-30",12.97
"145","2007-07-31",13.05
"146","2007-08-01",12.82
"147","2007-08-02",12.73
"148","2007-08-03",12.79
"149","2007-08-06",12.73
"150","2007-08-07",12.7
"151","2007-08-08",12.68
"152","2007-08-09",12.35
"153","2007-08-10",12.35
"154","2007-08-13",12.35
"155","2007-08-14",12.48
"156","2007-08-15",12.02
"157","2007-08-16",11.52
"158","2007-08-17",11.86
"159","2007-08-20",11.96
"160","2007-08-21",12.12
"161","2007-08-22",12.18
"162","2007-08-23",12.25
"163","2007-08-24",12.3
"164","2007-08-27",12.25
"165","2007-08-28",12.25
"166","2007-08-29",12.3
"167","2007-08-30",12.37
"168","2007-08-31",12.34
"169","2007-09-04",12.48
"170","2007-09-05",12.62
"171","2007-09-06",12.71
"172","2007-09-07",12.65
"173","2007-09-10",12.6
"174","2007-09-11",12.6
"175","2007-09-12",12.67
"176","2007-09-13",12.77
"177","2007-09-14",12.9
"178","2007-09-17",13.05
"179","2007-09-18",13.03
"180","2007-09-19",12.8
"181","2007-09-20",12.5
"182","2007-09-21",12.51
"183","2007-09-24",12.52
"184","2007-09-25",12.5
"185","2007-09-26",12.44
"186","2007-09-27",12.94
"187","2007-09-28",12.84
"188","2007-10-01",12.68
