"","date","RENN"
"1","2011-05-04",270.149994
"2","2011-05-05",253.050003
"3","2011-05-06",252
"4","2011-05-09",240.449997
"5","2011-05-10",221.25
"6","2011-05-11",202.350006
"7","2011-05-12",189
"8","2011-05-13",197.399994
"9","2011-05-16",189
"10","2011-05-17",190.949997
"11","2011-05-18",205.5
"12","2011-05-19",206.25
"13","2011-05-20",195
"14","2011-05-23",186
"15","2011-05-24",183.899994
"16","2011-05-25",185.25
"17","2011-05-26",190.350006
"18","2011-05-27",195
"19","2011-05-31",192.75
"20","2011-06-01",186
"21","2011-06-02",195.149994
"22","2011-06-03",190.350006
"23","2011-06-06",185.100006
"24","2011-06-07",182.550003
"25","2011-06-08",157.649994
"26","2011-06-09",137.550003
"27","2011-06-10",140.25
"28","2011-06-13",120
"29","2011-06-14",124.050003
"30","2011-06-15",112.800003
"31","2011-06-16",101.699997
"32","2011-06-17",105.449997
"33","2011-06-20",114
"34","2011-06-21",108.150002
"35","2011-06-22",103.199997
"36","2011-06-23",97.949997
"37","2011-06-24",93.449997
"38","2011-06-27",105
"39","2011-06-28",114
"40","2011-06-29",128.550003
"41","2011-06-30",132.75
"42","2011-07-01",138.75
"43","2011-07-05",149.100006
"44","2011-07-06",160.5
"45","2011-07-07",169.949997
"46","2011-07-08",163.649994
"47","2011-07-11",147.600006
"48","2011-07-12",142.800003
"49","2011-07-13",153.75
"50","2011-07-14",150.300003
"51","2011-07-15",153.899994
"52","2011-07-18",164.25
"53","2011-07-19",159.449997
"54","2011-07-20",160.050003
"55","2011-07-21",153.449997
"56","2011-07-22",152.399994
"57","2011-07-25",150.300003
"58","2011-07-26",152.850006
"59","2011-07-27",157.199997
"60","2011-07-28",161.699997
"61","2011-07-29",162.449997
"62","2011-08-01",157.350006
"63","2011-08-02",153.75
"64","2011-08-03",142.949997
"65","2011-08-04",120.75
"66","2011-08-05",114.300003
"67","2011-08-08",101.25
"68","2011-08-09",109.949997
"69","2011-08-10",108.599998
"70","2011-08-11",116.699997
"71","2011-08-12",120.599998
"72","2011-08-15",121.5
"73","2011-08-16",113.550003
"74","2011-08-17",110.849998
"75","2011-08-18",106.199997
"76","2011-08-19",104.550003
"77","2011-08-22",102
"78","2011-08-23",109.5
"79","2011-08-24",110.699997
"80","2011-08-25",108
"81","2011-08-26",107.699997
"82","2011-08-29",110.099998
"83","2011-08-30",114.599998
"84","2011-08-31",110.099998
"85","2011-09-01",108.150002
"86","2011-09-02",107.25
"87","2011-09-06",105.449997
"88","2011-09-07",104.699997
"89","2011-09-08",108.150002
"90","2011-09-09",103.650002
"91","2011-09-12",101.849998
"92","2011-09-13",103.050003
"93","2011-09-14",101.25
"94","2011-09-15",99.900002
