"","date","TCBI"
"1","2007-01-03",19.92
"2","2007-01-04",20.209999
"3","2007-01-05",19.459999
"4","2007-01-08",19.440001
"5","2007-01-09",19.23
"6","2007-01-10",19.34
"7","2007-01-11",19.290001
"8","2007-01-12",19.370001
"9","2007-01-16",19.1
"10","2007-01-17",18.84
"11","2007-01-18",18.92
"12","2007-01-19",18.959999
"13","2007-01-22",18.469999
"14","2007-01-23",18.68
"15","2007-01-24",18.700001
"16","2007-01-25",18.690001
"17","2007-01-26",18.860001
"18","2007-01-29",18.99
"19","2007-01-30",19.049999
"20","2007-01-31",19.459999
"21","2007-02-01",19.32
"22","2007-02-02",19.25
"23","2007-02-05",19.23
"24","2007-02-06",19.4
"25","2007-02-07",19.530001
"26","2007-02-08",19.709999
"27","2007-02-09",19.57
"28","2007-02-12",19.799999
"29","2007-02-13",20.049999
"30","2007-02-14",20.25
"31","2007-02-15",20.75
"32","2007-02-16",21.370001
"33","2007-02-20",21.59
"34","2007-02-21",21.790001
"35","2007-02-22",21.440001
"36","2007-02-23",21.32
"37","2007-02-26",21.129999
"38","2007-02-27",20.309999
"39","2007-02-28",20.129999
"40","2007-03-01",20.35
"41","2007-03-02",20.450001
"42","2007-03-05",19.709999
"43","2007-03-06",20.58
"44","2007-03-07",20.059999
"45","2007-03-08",20.040001
"46","2007-03-09",20.07
"47","2007-03-12",20.290001
"48","2007-03-13",19.57
"49","2007-03-14",19.85
"50","2007-03-15",20.08
"51","2007-03-16",20.219999
"52","2007-03-19",20.26
"53","2007-03-20",20.559999
"54","2007-03-21",21.200001
"55","2007-03-22",21.24
"56","2007-03-23",21.17
"57","2007-03-26",21.379999
"58","2007-03-27",21.219999
"59","2007-03-28",20.65
"60","2007-03-29",20.6
"61","2007-03-30",20.5
"62","2007-04-02",20.549999
"63","2007-04-03",20.700001
"64","2007-04-04",20.469999
"65","2007-04-05",20.299999
"66","2007-04-09",20.110001
"67","2007-04-10",20.24
"68","2007-04-11",19.879999
"69","2007-04-12",20.049999
