"","date","SCPE"
"1","2019-09-05",9.85
"2","2019-09-06",9.85
"3","2019-09-09",9.85
"4","2019-09-10",9.82
"5","2019-09-11",10.05
"6","2019-09-12",9.89
"7","2019-09-13",9.89
"8","2019-09-16",9.89
"9","2019-09-17",9.8
"10","2019-09-18",9.8
"11","2019-09-19",9.8
"12","2019-09-20",9.8
"13","2019-09-23",9.8
"14","2019-09-24",9.85
"15","2019-09-25",9.85
"16","2019-09-26",9.85
"17","2019-09-27",9.85
"18","2019-09-30",9.85
"19","2019-10-01",9.85
"20","2019-10-02",9.85
"21","2019-10-03",9.89
"22","2019-10-04",9.89
"23","2019-10-07",9.89
"24","2019-10-08",9.84
"25","2019-10-09",9.84
"26","2019-10-10",9.84
"27","2019-10-11",9.84
"28","2019-10-14",9.83
"29","2019-10-15",9.83
"30","2019-10-16",9.83
"31","2019-10-17",9.84
"32","2019-10-18",9.83
"33","2019-10-21",9.83
"34","2019-10-22",9.965
"35","2019-10-23",9.95
"36","2019-10-24",9.9
"37","2019-10-25",9.9
"38","2019-10-28",9.85
"39","2019-10-29",9.89
"40","2019-10-30",9.83
"41","2019-10-31",9.83
"42","2019-11-01",9.84
"43","2019-11-04",9.84
"44","2019-11-05",9.86
"45","2019-11-06",9.86
"46","2019-11-07",9.86
"47","2019-11-08",9.84
"48","2019-11-11",9.84
"49","2019-11-12",9.84
"50","2019-11-13",9.84
"51","2019-11-14",9.84
"52","2019-11-15",9.84
"53","2019-11-18",9.84
"54","2019-11-19",9.85
"55","2019-11-20",9.85
"56","2019-11-21",9.85
"57","2019-11-22",9.85
"58","2019-11-25",9.85
"59","2019-11-26",9.85
"60","2019-11-27",9.85
"61","2019-11-29",9.85
"62","2019-12-02",9.85
"63","2019-12-03",9.85
"64","2019-12-04",9.85
"65","2019-12-05",9.89
"66","2019-12-06",9.87
"67","2019-12-09",9.87
"68","2019-12-10",9.9
"69","2019-12-11",9.9
"70","2019-12-12",9.9
"71","2019-12-13",9.91
"72","2019-12-16",9.91
"73","2019-12-17",9.91
"74","2019-12-18",9.91
"75","2019-12-19",9.91
"76","2019-12-20",9.91
"77","2019-12-23",9.91
"78","2019-12-24",9.91
"79","2019-12-26",9.91
"80","2019-12-27",9.91
"81","2019-12-30",9.91
"82","2019-12-31",9.94
"83","2020-01-02",9.94
"84","2020-01-03",9.94
"85","2020-01-06",9.95
"86","2020-01-07",9.96
"87","2020-01-08",9.96
"88","2020-01-09",9.98
"89","2020-01-10",9.98
"90","2020-01-13",9.95
"91","2020-01-14",9.95
"92","2020-01-15",10.035
"93","2020-01-16",10.06
"94","2020-01-17",10.02
"95","2020-01-21",10.02
"96","2020-01-22",10.02
"97","2020-01-23",10.02
"98","2020-01-24",9.99
"99","2020-01-27",9.99
"100","2020-01-28",10.031
"101","2020-01-29",10.044
"102","2020-01-30",10.044
"103","2020-01-31",10.044
"104","2020-02-03",10.044
"105","2020-02-04",10.044
"106","2020-02-05",10.044
"107","2020-02-06",10.044
"108","2020-02-07",10.044
"109","2020-02-10",10.044
"110","2020-02-11",10.044
"111","2020-02-12",9.99
"112","2020-02-13",10.05
"113","2020-02-14",10.05
"114","2020-02-18",10.05
"115","2020-02-19",10.06
"116","2020-02-20",10.06
"117","2020-02-21",10.05
"118","2020-02-24",10.05
"119","2020-02-25",10.05
"120","2020-02-26",10.01
"121","2020-02-27",10.02
