"","date","RDVT"
"1","2018-03-27",6.2
"2","2018-03-28",5.73
"3","2018-03-29",6.1
"4","2018-04-02",6.95
"5","2018-04-03",7.11
"6","2018-04-04",7.6
"7","2018-04-05",7.24
"8","2018-04-06",7.88
"9","2018-04-09",9.51
"10","2018-04-10",9.15
"11","2018-04-11",8.83
"12","2018-04-12",8.3
"13","2018-04-13",7.85
"14","2018-04-16",7.11
"15","2018-04-17",7.17
"16","2018-04-18",7.67
"17","2018-04-19",7.8
"18","2018-04-20",7.61
"19","2018-04-23",7.29
"20","2018-04-24",6.65
"21","2018-04-25",6.39
"22","2018-04-26",6.22
"23","2018-04-27",6.3
"24","2018-04-30",6.3
"25","2018-05-01",6.09
"26","2018-05-02",5.95
"27","2018-05-03",5.86
"28","2018-05-04",5.8
"29","2018-05-07",5.46
"30","2018-05-08",5.24
"31","2018-05-09",5
"32","2018-05-10",4.56
"33","2018-05-11",5.25
"34","2018-05-14",5.67
"35","2018-05-15",9.94
"36","2018-05-16",7.8
"37","2018-05-17",7.51
"38","2018-05-18",7.71
"39","2018-05-21",7.53
"40","2018-05-22",7.85
"41","2018-05-23",8.09
"42","2018-05-24",7.84
"43","2018-05-25",7.51
"44","2018-05-29",7.27
"45","2018-05-30",7.19
"46","2018-05-31",7.25
"47","2018-06-01",7.91
"48","2018-06-04",7.62
"49","2018-06-05",7.63
"50","2018-06-06",7.74
"51","2018-06-07",7.88
"52","2018-06-08",8.21
"53","2018-06-11",7.92
"54","2018-06-12",8.22
"55","2018-06-13",8.17
"56","2018-06-14",7.78
"57","2018-06-15",7.52
"58","2018-06-18",7.36
"59","2018-06-19",7.43
"60","2018-06-20",7.48
"61","2018-06-21",7.69
"62","2018-06-22",8.16
"63","2018-06-25",9.2
"64","2018-06-26",8.8
"65","2018-06-27",8.3
"66","2018-06-28",8.68
"67","2018-06-29",8.6
"68","2018-07-02",8.9
"69","2018-07-03",9.17
"70","2018-07-05",8.95
"71","2018-07-06",9.31
"72","2018-07-09",9.11
"73","2018-07-10",8.15
"74","2018-07-11",8.3
"75","2018-07-12",8.07
"76","2018-07-13",8.04
"77","2018-07-16",8
"78","2018-07-17",7.52
"79","2018-07-18",7.53
"80","2018-07-19",8.01
"81","2018-07-20",7.66
"82","2018-07-23",7.18
"83","2018-07-24",7
"84","2018-07-25",7.47
"85","2018-07-26",7.55
"86","2018-07-27",7.6
"87","2018-07-30",7.3
"88","2018-07-31",7.24
"89","2018-08-01",7.37
"90","2018-08-02",7.31
"91","2018-08-03",7.6
"92","2018-08-06",7.49
"93","2018-08-07",7.47
"94","2018-08-08",7.75
"95","2018-08-09",7.51
"96","2018-08-10",7.76
"97","2018-08-13",7.55
"98","2018-08-14",7.47
"99","2018-08-15",7.45
"100","2018-08-16",7.46
"101","2018-08-17",7.34
"102","2018-08-20",7.2
"103","2018-08-21",7.21
"104","2018-08-22",7.45
"105","2018-08-23",7.4
"106","2018-08-24",7.42
"107","2018-08-27",7.54
"108","2018-08-28",7.71
"109","2018-08-29",8.156
"110","2018-08-30",7.85
"111","2018-08-31",7.75
"112","2018-09-04",7.62
"113","2018-09-05",7.69
"114","2018-09-06",7.6
"115","2018-09-07",6.32
"116","2018-09-10",6.33
"117","2018-09-11",6.2
"118","2018-09-12",5.38
"119","2018-09-13",5.6
"120","2018-09-14",5.53
"121","2018-09-17",5.71
"122","2018-09-18",5.64
"123","2018-09-19",5.94
"124","2018-09-20",6.1
"125","2018-09-21",6.085
