"","date","APTS"
"1","2011-04-01",9.85
"2","2011-04-04",9.95
"3","2011-04-05",9.91
"4","2011-04-06",10
"5","2011-04-07",10
"6","2011-04-08",9.91
"7","2011-04-11",10
"8","2011-04-12",9.93
"9","2011-04-13",9.98
"10","2011-04-14",9.92
"11","2011-04-15",9.82
"12","2011-04-18",9.83
"13","2011-04-19",9.85
"14","2011-04-20",9.8
"15","2011-04-21",9.76
"16","2011-04-25",9.86
"17","2011-04-26",9.85
"18","2011-04-27",9.8
"19","2011-04-28",9.8
"20","2011-04-29",9.68
"21","2011-05-02",9.65
"22","2011-05-03",9.51
"23","2011-05-04",9.54
"24","2011-05-05",9.45
"25","2011-05-06",9.16
"26","2011-05-09",9.22
"27","2011-05-10",9.21
"28","2011-05-11",9.09
"29","2011-05-12",9.16
"30","2011-05-13",9.14
"31","2011-05-16",9.18
"32","2011-05-17",9.23
"33","2011-05-18",9.4
"34","2011-05-19",9.37
"35","2011-05-20",9.32
"36","2011-05-23",9.27
"37","2011-05-24",9.3
"38","2011-05-25",9.19
"39","2011-05-26",9.05
"40","2011-05-27",9.24
"41","2011-05-31",9.29
"42","2011-06-01",9.1
"43","2011-06-02",8.95
"44","2011-06-03",8.8
"45","2011-06-06",8.67
"46","2011-06-07",8.37
"47","2011-06-08",8.57
"48","2011-06-09",8.96
"49","2011-06-10",8.77
"50","2011-06-13",8.67
"51","2011-06-14",8.62
"52","2011-06-15",8.61
"53","2011-06-16",8.74
"54","2011-06-17",8.61
"55","2011-06-20",8.69
"56","2011-06-21",8.56
"57","2011-06-22",8.6
"58","2011-06-23",8.6
"59","2011-06-24",8.72
"60","2011-06-27",9
"61","2011-06-28",9.07
"62","2011-06-29",9.06
"63","2011-06-30",9.09
"64","2011-07-01",9.01
"65","2011-07-05",8.82
"66","2011-07-06",8.66
"67","2011-07-07",8.85
"68","2011-07-08",8.85
"69","2011-07-11",8.7
"70","2011-07-12",8.56
"71","2011-07-13",8.5
"72","2011-07-14",8.6
"73","2011-07-15",8.5
"74","2011-07-18",8.44
"75","2011-07-19",8.31
"76","2011-07-20",8.35
"77","2011-07-21",8.34
"78","2011-07-22",8.34
"79","2011-07-25",8.15
"80","2011-07-26",8.16
"81","2011-07-27",8.07
"82","2011-07-28",7.95
"83","2011-07-29",8.08
"84","2011-08-01",8.01
"85","2011-08-02",7.79
"86","2011-08-03",8.06
"87","2011-08-04",7.02
"88","2011-08-05",7
"89","2011-08-08",6.65
"90","2011-08-09",6.35
"91","2011-08-10",6.35
"92","2011-08-11",6.44
"93","2011-08-12",6.63
"94","2011-08-15",6.98
"95","2011-08-16",6.9
"96","2011-08-17",7.25
"97","2011-08-18",7
"98","2011-08-19",6.9
"99","2011-08-22",6.8
"100","2011-08-23",6.94
"101","2011-08-24",7.11
"102","2011-08-25",6.89
"103","2011-08-26",6.83
"104","2011-08-29",6.89
"105","2011-08-30",6.87
"106","2011-08-31",7.05
"107","2011-09-01",6.78
"108","2011-09-02",6.3
"109","2011-09-06",6.34
"110","2011-09-07",6.3
"111","2011-09-08",6.3
"112","2011-09-09",6.3
"113","2011-09-12",6.52
"114","2011-09-13",6.37
"115","2011-09-14",6.73
"116","2011-09-15",6.95
"117","2011-09-16",6.98
"118","2011-09-19",6.8
"119","2011-09-20",6.49
"120","2011-09-21",6.31
"121","2011-09-22",6.3
"122","2011-09-23",6.1
"123","2011-09-26",5.98
"124","2011-09-27",6
"125","2011-09-28",5.75
"126","2011-09-29",5.75
"127","2011-09-30",5.7
"128","2011-10-03",5.7
"129","2011-10-04",5.7
"130","2011-10-05",5.75
"131","2011-10-06",5.89
"132","2011-10-07",6.05
"133","2011-10-10",6
"134","2011-10-11",6.05
"135","2011-10-12",6.03
"136","2011-10-13",6.1
"137","2011-10-14",6.28
"138","2011-10-17",6.31
"139","2011-10-18",6.36
"140","2011-10-19",6.32
"141","2011-10-20",6.2
"142","2011-10-21",6.32
"143","2011-10-24",6.5
"144","2011-10-25",6.44
"145","2011-10-26",6.34
"146","2011-10-27",6.46
"147","2011-10-28",6.39
"148","2011-10-31",6.5
"149","2011-11-01",6.22
"150","2011-11-02",6.44
"151","2011-11-03",6.28
"152","2011-11-04",6.24
"153","2011-11-07",6.17
"154","2011-11-08",6.3
"155","2011-11-09",6
"156","2011-11-10",6.1
"157","2011-11-11",6.12
"158","2011-11-14",5.91
"159","2011-11-15",6
"160","2011-11-16",6.05
"161","2011-11-17",6.4
"162","2011-11-18",6.2
"163","2011-11-21",6.16
"164","2011-11-22",5.87
"165","2011-11-23",5.99
"166","2011-11-25",5.93
"167","2011-11-28",6.1
"168","2011-11-29",5.97
"169","2011-11-30",6.14
"170","2011-12-01",6.15
"171","2011-12-02",6.11
"172","2011-12-05",6.16
"173","2011-12-06",6.15
"174","2011-12-07",6.39
"175","2011-12-08",6.2
"176","2011-12-09",6.29
"177","2011-12-12",6.12
"178","2011-12-13",6.08
"179","2011-12-14",6.16
"180","2011-12-15",5.95
"181","2011-12-16",6.47
"182","2011-12-19",6.1
"183","2011-12-20",6.1
"184","2011-12-21",5.95
"185","2011-12-22",6.05
"186","2011-12-23",5.9
"187","2011-12-27",5.85
"188","2011-12-28",5.95
"189","2011-12-29",5.98
"190","2011-12-30",6.05
"191","2012-01-03",5.96
"192","2012-01-04",6.05
"193","2012-01-05",6.26
"194","2012-01-06",6.25
"195","2012-01-09",6.2
"196","2012-01-10",5.8
"197","2012-01-11",5.9
"198","2012-01-12",6.1
"199","2012-01-13",6
"200","2012-01-17",5.99
"201","2012-01-18",6
"202","2012-01-19",6
"203","2012-01-20",6.05
"204","2012-01-23",5.99
"205","2012-01-24",5.99
"206","2012-01-25",6.01
"207","2012-01-26",6
"208","2012-01-27",6.05
"209","2012-01-30",6
"210","2012-01-31",6.09
"211","2012-02-01",6.12
"212","2012-02-02",6.15
"213","2012-02-03",6.21
"214","2012-02-06",6.25
"215","2012-02-07",6.25
"216","2012-02-08",6.6
"217","2012-02-09",6.75
"218","2012-02-10",6.7
"219","2012-02-13",6.65
"220","2012-02-14",6.85
"221","2012-02-15",6.85
"222","2012-02-16",6.94
"223","2012-02-17",7.72
"224","2012-02-21",7.49
"225","2012-02-22",7.68
"226","2012-02-23",7.76
"227","2012-02-24",7.58
"228","2012-02-27",7.17
"229","2012-02-28",7.5
"230","2012-02-29",7.75
"231","2012-03-01",7.8
"232","2012-03-02",7.8
"233","2012-03-05",7.65
"234","2012-03-06",7.53
"235","2012-03-07",7.76
"236","2012-03-08",7.7
"237","2012-03-09",7.78
"238","2012-03-12",7.9
"239","2012-03-13",8.16
"240","2012-03-14",8.03
"241","2012-03-15",7.9
"242","2012-03-16",8.1
"243","2012-03-19",8.21
"244","2012-03-20",7.75
"245","2012-03-21",7.9
"246","2012-03-22",8.12
"247","2012-03-23",8.18
"248","2012-03-26",8.36
"249","2012-03-27",8.35
"250","2012-03-28",8.09
"251","2012-03-29",8
"252","2012-03-30",7.96
"253","2012-04-02",8.01
"254","2012-04-03",8.2
"255","2012-04-04",8.2
"256","2012-04-05",8.3
"257","2012-04-09",8.08
"258","2012-04-10",7.9
"259","2012-04-11",7.75
"260","2012-04-12",7.89
"261","2012-04-13",7.87
"262","2012-04-16",8.05
"263","2012-04-17",8.2
"264","2012-04-18",8.05
"265","2012-04-19",8
"266","2012-04-20",8.03
"267","2012-04-23",8.17
"268","2012-04-24",8.19
"269","2012-04-25",8.23
"270","2012-04-26",8.26
"271","2012-04-27",8.2
"272","2012-04-30",7.99
"273","2012-05-01",7.99
"274","2012-05-02",7.96
"275","2012-05-03",7.85
"276","2012-05-04",7.99
"277","2012-05-07",7.7
"278","2012-05-08",7.96
"279","2012-05-09",7.83
"280","2012-05-10",7.87
"281","2012-05-11",7.75
"282","2012-05-14",7.84
"283","2012-05-15",7.87
"284","2012-05-16",8.04
"285","2012-05-17",7.82
"286","2012-05-18",7.17
"287","2012-05-21",7.03
"288","2012-05-22",7.25
"289","2012-05-23",7.3
"290","2012-05-24",7.35
"291","2012-05-25",7.29
"292","2012-05-29",7.3
"293","2012-05-30",7.08
"294","2012-05-31",7.39
"295","2012-06-01",7.16
"296","2012-06-04",7
"297","2012-06-05",7.04
"298","2012-06-06",6.9
"299","2012-06-07",6.95
"300","2012-06-08",6.95
"301","2012-06-11",6.97
"302","2012-06-12",6.92
"303","2012-06-13",7.16
"304","2012-06-14",7.14
"305","2012-06-15",7.2
"306","2012-06-18",7.02
"307","2012-06-19",7.03
"308","2012-06-20",7.13
"309","2012-06-21",7.1
"310","2012-06-22",7.3
"311","2012-06-25",7.1
"312","2012-06-26",7.05
"313","2012-06-27",6.95
"314","2012-06-28",6.85
"315","2012-06-29",7.05
"316","2012-07-02",7.18
"317","2012-07-03",7
"318","2012-07-05",7.14
"319","2012-07-06",7.15
"320","2012-07-09",7.14
"321","2012-07-10",7.14
"322","2012-07-11",7.15
"323","2012-07-12",7.09
"324","2012-07-13",7.19
"325","2012-07-16",7.31
"326","2012-07-17",7.25
"327","2012-07-18",7.4
"328","2012-07-19",7.7
"329","2012-07-20",7.86
"330","2012-07-23",7.86
"331","2012-07-24",7.9
"332","2012-07-25",7.71
"333","2012-07-26",7.72
"334","2012-07-27",7.52
"335","2012-07-30",7.69
"336","2012-07-31",7.61
"337","2012-08-01",7.88
"338","2012-08-02",7.9
"339","2012-08-03",8.09
"340","2012-08-06",8.1
"341","2012-08-07",8.11
"342","2012-08-08",8.05
"343","2012-08-09",8
"344","2012-08-10",8.12
"345","2012-08-13",8.2
"346","2012-08-14",8.02
"347","2012-08-15",8.3
"348","2012-08-16",8.18
"349","2012-08-17",8.25
"350","2012-08-20",8.25
"351","2012-08-21",8.16
"352","2012-08-22",8.16
"353","2012-08-23",8.03
"354","2012-08-24",8.18
"355","2012-08-27",8.29
"356","2012-08-28",8.2
"357","2012-08-29",8.22
"358","2012-08-30",8.21
"359","2012-08-31",8.16
"360","2012-09-04",8.2
"361","2012-09-05",8.27
"362","2012-09-06",8.28
"363","2012-09-07",8.29
"364","2012-09-10",8.43
"365","2012-09-11",8.32
"366","2012-09-12",8.4
"367","2012-09-13",8.41
"368","2012-09-14",8.43
"369","2012-09-17",8.41
"370","2012-09-18",8.41
"371","2012-09-19",8.48
"372","2012-09-20",8.5
"373","2012-09-21",8.48
"374","2012-09-24",8.52
"375","2012-09-25",8.6
"376","2012-09-26",8.55
"377","2012-09-27",8.63
"378","2012-09-28",8.5
"379","2012-10-01",8.29
"380","2012-10-02",8.41
"381","2012-10-03",8.26
"382","2012-10-04",8.53
"383","2012-10-05",8.37
"384","2012-10-08",8.33
"385","2012-10-09",8.39
"386","2012-10-10",8.37
"387","2012-10-11",8.42
"388","2012-10-12",8.4
"389","2012-10-15",8.28
"390","2012-10-16",8.36
