"","date","AUTL"
"1","2018-06-22",25
"2","2018-06-25",26.190001
"3","2018-06-26",27.75
"4","2018-06-27",26.639999
"5","2018-06-28",26.18
"6","2018-06-29",26.790001
"7","2018-07-02",25.030001
"8","2018-07-03",23.84
"9","2018-07-05",26.360001
"10","2018-07-06",26.34
"11","2018-07-09",25.98
"12","2018-07-10",25.91
"13","2018-07-11",23.309999
"14","2018-07-12",21.110001
"15","2018-07-13",20.860001
"16","2018-07-16",22.75
"17","2018-07-17",21.77
"18","2018-07-18",22.6
"19","2018-07-19",23.360001
"20","2018-07-20",25.200001
"21","2018-07-23",24.91
"22","2018-07-24",23.5
"23","2018-07-25",24.35
"24","2018-07-26",24.49
"25","2018-07-27",24.209999
"26","2018-07-30",23.68
"27","2018-07-31",23.48
"28","2018-08-01",23.360001
"29","2018-08-02",23.85
"30","2018-08-03",23.6
"31","2018-08-06",24.389999
"32","2018-08-07",25.23
"33","2018-08-08",25.280001
"34","2018-08-09",24.84
"35","2018-08-10",26.9
"36","2018-08-13",27.9
"37","2018-08-14",27.67
"38","2018-08-15",28.5
"39","2018-08-16",30.4
"40","2018-08-17",30.629999
"41","2018-08-20",29.75
"42","2018-08-21",29.15
"43","2018-08-22",29.6
"44","2018-08-23",28.9
"45","2018-08-24",29.040001
"46","2018-08-27",29.5
"47","2018-08-28",29.23
"48","2018-08-29",29.75
"49","2018-08-30",29.92
"50","2018-08-31",29.700001
"51","2018-09-04",29.26
"52","2018-09-05",29.940001
"53","2018-09-06",29.639999
"54","2018-09-07",31
"55","2018-09-10",33.330002
"56","2018-09-11",31.25
"57","2018-09-12",29.73
"58","2018-09-13",28.700001
"59","2018-09-14",30
"60","2018-09-17",29.84
"61","2018-09-18",29.049999
"62","2018-09-19",29.440001
"63","2018-09-20",28.5
"64","2018-09-21",29.639999
"65","2018-09-24",27.200001
"66","2018-09-25",27.25
"67","2018-09-26",27.1
"68","2018-09-27",29.030001
"69","2018-09-28",30.67
"70","2018-10-01",30.639999
"71","2018-10-02",29.809999
"72","2018-10-03",28.66
"73","2018-10-04",24.709999
"74","2018-10-05",27.5
"75","2018-10-08",28.639999
"76","2018-10-09",27.120001
"77","2018-10-10",24.65
"78","2018-10-11",24.209999
"79","2018-10-12",25.5
"80","2018-10-15",24.889999
"81","2018-10-16",28.299999
"82","2018-10-17",28.1
"83","2018-10-18",31
"84","2018-10-19",31.25
"85","2018-10-22",32.799999
