"","date","LEGN"
"1","2020-06-05",37
"2","2020-06-08",36.099998
"3","2020-06-09",37.5
"4","2020-06-10",38.049999
"5","2020-06-11",36.25
"6","2020-06-12",38.040001
"7","2020-06-15",38.450001
"8","2020-06-16",38.580002
"9","2020-06-17",37.59
"10","2020-06-18",39.290001
"11","2020-06-19",39.619999
"12","2020-06-22",41.5
"13","2020-06-23",41
"14","2020-06-24",40.029999
"15","2020-06-25",40.529999
"16","2020-06-26",40.029999
"17","2020-06-29",41.099998
"18","2020-06-30",42.560001
"19","2020-07-01",39.200001
"20","2020-07-02",39.610001
"21","2020-07-06",39.16
"22","2020-07-07",37.16
"23","2020-07-08",39.540001
"24","2020-07-09",38.880001
"25","2020-07-10",38.32
"26","2020-07-13",37.5
"27","2020-07-14",37.470001
"28","2020-07-15",37.360001
"29","2020-07-16",34.900002
"30","2020-07-17",35.200001
"31","2020-07-20",35.32
"32","2020-07-21",35.93
"33","2020-07-22",36.200001
"34","2020-07-23",37.150002
"35","2020-07-24",36.310001
"36","2020-07-27",35.34
"37","2020-07-28",35.529999
"38","2020-07-29",35.950001
"39","2020-07-30",35.790001
"40","2020-07-31",35.240002
"41","2020-08-03",33.419998
"42","2020-08-04",34
"43","2020-08-05",33.810001
"44","2020-08-06",33.200001
"45","2020-08-07",31.959999
"46","2020-08-10",31.49
"47","2020-08-11",30.99
"48","2020-08-12",31.15
"49","2020-08-13",31.25
"50","2020-08-14",31.379999
"51","2020-08-17",32.52
"52","2020-08-18",32.830002
"53","2020-08-19",32.450001
"54","2020-08-20",34.290001
"55","2020-08-21",36.09
"56","2020-08-24",35.060001
"57","2020-08-25",34.139999
"58","2020-08-26",34.110001
"59","2020-08-27",34.34
"60","2020-08-28",34
"61","2020-08-31",34
"62","2020-09-01",32.669998
"63","2020-09-02",31.709999
"64","2020-09-03",30.32
"65","2020-09-04",29.57
"66","2020-09-08",28.65
"67","2020-09-09",29.82
"68","2020-09-10",30.639999
"69","2020-09-11",31.049999
"70","2020-09-14",32.400002
"71","2020-09-15",32.130001
"72","2020-09-16",32.439999
"73","2020-09-17",33.73
"74","2020-09-18",32
"75","2020-09-21",27.5
"76","2020-09-22",29.190001
"77","2020-09-23",28.9
"78","2020-09-24",28.93
"79","2020-09-25",31.09
"80","2020-09-28",30.709999
"81","2020-09-29",30.870001
"82","2020-09-30",30.870001
"83","2020-10-01",31.01
"84","2020-10-02",30.33
"85","2020-10-05",31
"86","2020-10-06",30.08
"87","2020-10-07",30.5
"88","2020-10-08",29.440001
"89","2020-10-09",30.139999
"90","2020-10-12",29.559999
"91","2020-10-13",29.620001
"92","2020-10-14",29.780001
"93","2020-10-15",29.83
"94","2020-10-16",28.1
"95","2020-10-19",26.9
"96","2020-10-20",27.190001
"97","2020-10-21",26.469999
"98","2020-10-22",27.459999
"99","2020-10-23",27.620001
"100","2020-10-26",27.709999
"101","2020-10-27",27.889999
"102","2020-10-28",25.85
"103","2020-10-29",26
"104","2020-10-30",25.870001
"105","2020-11-02",25.959999
"106","2020-11-03",26.190001
"107","2020-11-04",28.16
"108","2020-11-05",27.92
"109","2020-11-06",26.26
"110","2020-11-09",26.66
"111","2020-11-10",25.799999
"112","2020-11-11",26.200001
"113","2020-11-12",26.74
"114","2020-11-13",27.5
"115","2020-11-16",27.620001
"116","2020-11-17",28
"117","2020-11-18",27.940001
"118","2020-11-19",27.15
"119","2020-11-20",28.9
"120","2020-11-23",28.370001
"121","2020-11-24",28.139999
"122","2020-11-25",29.09
"123","2020-11-27",29
