"","date","IONS"
"1","2007-01-03",10.93
"2","2007-01-04",11.3
"3","2007-01-05",11.32
"4","2007-01-08",11.16
"5","2007-01-09",11.21
"6","2007-01-10",11.33
"7","2007-01-11",11.95
"8","2007-01-12",12.37
"9","2007-01-16",12.08
"10","2007-01-17",11.25
"11","2007-01-18",10.99
"12","2007-01-19",11.04
"13","2007-01-22",10.67
"14","2007-01-23",10.4
"15","2007-01-24",10.74
"16","2007-01-25",10.46
"17","2007-01-26",10.43
"18","2007-01-29",10.77
"19","2007-01-30",10.3
"20","2007-01-31",10.39
"21","2007-02-01",10.77
"22","2007-02-02",10.51
"23","2007-02-05",10.5
"24","2007-02-06",10.38
"25","2007-02-07",10.36
"26","2007-02-08",10.55
"27","2007-02-09",10.15
"28","2007-02-12",10.07
"29","2007-02-13",10.01
"30","2007-02-14",10.03
"31","2007-02-15",10.24
"32","2007-02-16",10.07
"33","2007-02-20",10.1
"34","2007-02-21",9.91
"35","2007-02-22",9.89
"36","2007-02-23",9.71
"37","2007-02-26",9.48
"38","2007-02-27",9
"39","2007-02-28",9.12
"40","2007-03-01",9.14
"41","2007-03-02",8.86
"42","2007-03-05",8.37
"43","2007-03-06",9.01
"44","2007-03-07",9.36
"45","2007-03-08",9.82
"46","2007-03-09",9.46
"47","2007-03-12",9.38
"48","2007-03-13",9.09
"49","2007-03-14",8.95
"50","2007-03-15",9.12
"51","2007-03-16",8.96
"52","2007-03-19",9.07
"53","2007-03-20",8.97
"54","2007-03-21",9.59
"55","2007-03-22",10.25
"56","2007-03-23",10.14
"57","2007-03-26",9.86
"58","2007-03-27",9.62
"59","2007-03-28",9.61
"60","2007-03-29",9.43
"61","2007-03-30",9.27
"62","2007-04-02",9.22
"63","2007-04-03",9.4
"64","2007-04-04",9.68
"65","2007-04-05",9.67
"66","2007-04-09",10.11
"67","2007-04-10",9.71
"68","2007-04-11",9.61
"69","2007-04-12",9.79
"70","2007-04-13",9.75
"71","2007-04-16",9.88
"72","2007-04-17",9.67
"73","2007-04-18",9.66
"74","2007-04-19",9.66
"75","2007-04-20",9.48
"76","2007-04-23",9.6
"77","2007-04-24",9.92
"78","2007-04-25",10.25
"79","2007-04-26",10.3
"80","2007-04-27",10.19
"81","2007-04-30",10.23
"82","2007-05-01",9.92
"83","2007-05-02",10.22
"84","2007-05-03",9.91
"85","2007-05-04",10
"86","2007-05-07",9.95
"87","2007-05-08",9.91
"88","2007-05-09",10.24
"89","2007-05-10",9.85
"90","2007-05-11",9.88
"91","2007-05-14",9.65
"92","2007-05-15",9.6
"93","2007-05-16",9.86
"94","2007-05-17",9.89
"95","2007-05-18",9.94
"96","2007-05-21",10.07
"97","2007-05-22",9.93
"98","2007-05-23",10.04
"99","2007-05-24",9.7
"100","2007-05-25",9.94
"101","2007-05-29",10
"102","2007-05-30",10.14
"103","2007-05-31",10.06
"104","2007-06-01",9.99
"105","2007-06-04",9.88
"106","2007-06-05",9.67
"107","2007-06-06",9.54
"108","2007-06-07",9.16
"109","2007-06-08",9.16
"110","2007-06-11",9.01
"111","2007-06-12",8.86
"112","2007-06-13",8.99
"113","2007-06-14",8.95
"114","2007-06-15",9.31
"115","2007-06-18",8.98
"116","2007-06-19",9.13
"117","2007-06-20",9.33
"118","2007-06-21",9.61
"119","2007-06-22",9.53
"120","2007-06-25",9.19
"121","2007-06-26",9.14
"122","2007-06-27",9.65
"123","2007-06-28",9.81
"124","2007-06-29",9.68
"125","2007-07-02",9.77
"126","2007-07-03",10
"127","2007-07-05",10.05
"128","2007-07-06",10.07
"129","2007-07-09",11.8
"130","2007-07-10",11.64
"131","2007-07-11",11.45
"132","2007-07-12",11.96
"133","2007-07-13",11.77
"134","2007-07-16",11.13
"135","2007-07-17",10.91
"136","2007-07-18",10.94
"137","2007-07-19",11.52
"138","2007-07-20",11.04
"139","2007-07-23",10.85
"140","2007-07-24",10.43
"141","2007-07-25",10.44
"142","2007-07-26",10.06
"143","2007-07-27",9.99
"144","2007-07-30",10.14
"145","2007-07-31",10.41
"146","2007-08-01",10.23
"147","2007-08-02",10.08
"148","2007-08-03",9.74
"149","2007-08-06",10.33
"150","2007-08-07",10.69
"151","2007-08-08",11.37
"152","2007-08-09",11.76
"153","2007-08-10",11.08
"154","2007-08-13",11.58
"155","2007-08-14",11.42
"156","2007-08-15",11.35
"157","2007-08-16",11.65
"158","2007-08-17",11.9
"159","2007-08-20",12.24
"160","2007-08-21",12.86
"161","2007-08-22",12.72
"162","2007-08-23",12.58
"163","2007-08-24",12.67
"164","2007-08-27",12.47
"165","2007-08-28",11.96
"166","2007-08-29",12.27
"167","2007-08-30",12.17
"168","2007-08-31",12.34
"169","2007-09-04",12.73
"170","2007-09-05",12.47
"171","2007-09-06",12.74
"172","2007-09-07",12.74
"173","2007-09-10",12.74
"174","2007-09-11",12.9
"175","2007-09-12",12.76
"176","2007-09-13",13.3
"177","2007-09-14",14.13
"178","2007-09-17",14
"179","2007-09-18",14.38
"180","2007-09-19",14.61
"181","2007-09-20",14.47
"182","2007-09-21",14.91
"183","2007-09-24",14.55
"184","2007-09-25",14.77
"185","2007-09-26",15.1
"186","2007-09-27",15.35
"187","2007-09-28",14.97
"188","2007-10-01",15.26
"189","2007-10-02",15.49
"190","2007-10-03",15.75
"191","2007-10-04",15.49
"192","2007-10-05",16
"193","2007-10-08",16.639999
"194","2007-10-09",16.389999
"195","2007-10-10",15.86
"196","2007-10-11",16.48
"197","2007-10-12",16.83
"198","2007-10-15",17.370001
"199","2007-10-16",17.639999
"200","2007-10-17",17.540001
"201","2007-10-18",17.610001
"202","2007-10-19",16.889999
"203","2007-10-22",16.9
"204","2007-10-23",17.459999
"205","2007-10-24",17.700001
"206","2007-10-25",17.34
"207","2007-10-26",17.379999
"208","2007-10-29",17.190001
"209","2007-10-30",16.66
"210","2007-10-31",17.620001
"211","2007-11-01",16.77
"212","2007-11-02",16.870001
"213","2007-11-05",16.57
"214","2007-11-06",17.209999
"215","2007-11-07",16.379999
"216","2007-11-08",15.84
"217","2007-11-09",15.4
"218","2007-11-12",15.61
"219","2007-11-13",16.059999
"220","2007-11-14",16.08
"221","2007-11-15",16.440001
"222","2007-11-16",16.75
"223","2007-11-19",16.52
"224","2007-11-20",17.08
"225","2007-11-21",16.5
"226","2007-11-23",16.940001
"227","2007-11-26",17.059999
"228","2007-11-27",17.559999
"229","2007-11-28",17.48
"230","2007-11-29",17.530001
"231","2007-11-30",17.690001
"232","2007-12-03",17.68
"233","2007-12-04",17.02
"234","2007-12-05",17.18
"235","2007-12-06",17.33
"236","2007-12-07",16.799999
"237","2007-12-10",17.360001
"238","2007-12-11",16.9
"239","2007-12-12",16.950001
"240","2007-12-13",17.040001
"241","2007-12-14",16.469999
"242","2007-12-17",15.6
"243","2007-12-18",15.65
"244","2007-12-19",15.81
"245","2007-12-20",16.08
"246","2007-12-21",16.26
"247","2007-12-24",16.51
"248","2007-12-26",16.59
"249","2007-12-27",16.1
"250","2007-12-28",16.24
"251","2007-12-31",15.75
"252","2008-01-02",15.38
"253","2008-01-03",15.12
"254","2008-01-04",15.02
"255","2008-01-07",14.58
"256","2008-01-08",18.58
"257","2008-01-09",16.610001
"258","2008-01-10",17.4
"259","2008-01-11",17.1
"260","2008-01-14",16.690001
"261","2008-01-15",16.6
"262","2008-01-16",16.41
"263","2008-01-17",16.48
"264","2008-01-18",15.78
"265","2008-01-22",15.57
"266","2008-01-23",15.29
"267","2008-01-24",15.24
"268","2008-01-25",15.19
"269","2008-01-28",15.15
"270","2008-01-29",15.53
"271","2008-01-30",15.14
"272","2008-01-31",15.6
"273","2008-02-01",15.97
"274","2008-02-04",16.02
"275","2008-02-05",15.6
"276","2008-02-06",15.24
"277","2008-02-07",15.5
"278","2008-02-08",14.84
"279","2008-02-11",15.15
"280","2008-02-12",15.28
"281","2008-02-13",15.47
"282","2008-02-14",14.93
"283","2008-02-15",14.97
"284","2008-02-19",15.08
"285","2008-02-20",14.49
"286","2008-02-21",14.08
"287","2008-02-22",13.95
