"","date","TPX"
"1","2007-01-03",5.1275
"2","2007-01-04",5.0875
"3","2007-01-05",5.0725
"4","2007-01-08",5.13
"5","2007-01-09",5.125
"6","2007-01-10",5.1875
"7","2007-01-11",5.3725
"8","2007-01-12",5.4525
"9","2007-01-16",5.3075
"10","2007-01-17",5.26
"11","2007-01-18",5.25
"12","2007-01-19",5.3425
"13","2007-01-22",5.33
"14","2007-01-23",5.29
"15","2007-01-24",5.4
"16","2007-01-25",5.2725
"17","2007-01-26",5.845
"18","2007-01-29",6.0775
"19","2007-01-30",6.0825
"20","2007-01-31",5.95
"21","2007-02-01",5.9975
"22","2007-02-02",6.1075
"23","2007-02-05",6.1125
"24","2007-02-06",6.3125
"25","2007-02-07",6.2425
"26","2007-02-08",6.2575
"27","2007-02-09",6.1425
"28","2007-02-12",6.2075
"29","2007-02-13",6.34
"30","2007-02-14",6.52
"31","2007-02-15",6.5875
"32","2007-02-16",6.6475
"33","2007-02-20",6.505
"34","2007-02-21",6.555
"35","2007-02-22",6.4525
"36","2007-02-23",6.43
"37","2007-02-26",6.39
"38","2007-02-27",6.2025
"39","2007-02-28",6.2125
"40","2007-03-01",6.6725
"41","2007-03-02",6.4725
"42","2007-03-05",6.31
"43","2007-03-06",6.34
"44","2007-03-07",6.3425
"45","2007-03-08",6.4425
"46","2007-03-09",6.4025
"47","2007-03-12",6.4625
"48","2007-03-13",6.5525
"49","2007-03-14",6.5625
"50","2007-03-15",6.6225
"51","2007-03-16",6.45
"52","2007-03-19",6.49
"53","2007-03-20",6.57
"54","2007-03-21",6.7325
"55","2007-03-22",6.7075
"56","2007-03-23",6.7775
"57","2007-03-26",6.7225
"58","2007-03-27",6.5475
"59","2007-03-28",6.455
"60","2007-03-29",6.505
"61","2007-03-30",6.4975
"62","2007-04-02",6.5725
"63","2007-04-03",6.6275
"64","2007-04-04",6.6775
"65","2007-04-05",6.7425
"66","2007-04-09",6.72
"67","2007-04-10",6.7125
"68","2007-04-11",6.6475
"69","2007-04-12",6.7175
"70","2007-04-13",6.6875
"71","2007-04-16",6.875
"72","2007-04-17",6.8275
"73","2007-04-18",6.9975
"74","2007-04-19",7.1025
"75","2007-04-20",6.7375
"76","2007-04-23",6.6525
"77","2007-04-24",6.4925
"78","2007-04-25",6.6075
"79","2007-04-26",6.615
"80","2007-04-27",6.545
"81","2007-04-30",6.4925
"82","2007-05-01",6.5
"83","2007-05-02",6.495
"84","2007-05-03",6.68
"85","2007-05-04",6.7175
"86","2007-05-07",6.56
"87","2007-05-08",6.44
"88","2007-05-09",6.475
"89","2007-05-10",6.3875
"90","2007-05-11",6.3175
"91","2007-05-14",6.2125
"92","2007-05-15",6.105
"93","2007-05-16",6.17
"94","2007-05-17",6.085
"95","2007-05-18",6.0975
"96","2007-05-21",6.1775
"97","2007-05-22",6.145
"98","2007-05-23",6.23
"99","2007-05-24",6.1225
"100","2007-05-25",6.2375
"101","2007-05-29",6.2
"102","2007-05-30",6.24
"103","2007-05-31",6.34
"104","2007-06-01",6.5175
"105","2007-06-04",6.615
"106","2007-06-05",6.5175
"107","2007-06-06",6.555
"108","2007-06-07",6.5175
"109","2007-06-08",6.6525
"110","2007-06-11",6.6475
"111","2007-06-12",6.5075
"112","2007-06-13",6.495
"113","2007-06-14",6.5775
"114","2007-06-15",6.6675
"115","2007-06-18",6.7125
"116","2007-06-19",6.6175
"117","2007-06-20",6.5625
"118","2007-06-21",6.6775
"119","2007-06-22",6.565
"120","2007-06-25",6.505
"121","2007-06-26",6.4025
"122","2007-06-27",6.4675
"123","2007-06-28",6.4325
"124","2007-06-29",6.475
"125","2007-07-02",6.73
"126","2007-07-03",6.67
"127","2007-07-05",6.7375
"128","2007-07-06",6.785
"129","2007-07-09",6.85
"130","2007-07-10",6.9325
"131","2007-07-11",6.885
"132","2007-07-12",7.0175
"133","2007-07-13",7.2825
"134","2007-07-16",7.315
"135","2007-07-17",7.31
"136","2007-07-18",7.19
"137","2007-07-19",7.2075
"138","2007-07-20",8.045
"139","2007-07-23",8.3
"140","2007-07-24",7.8925
"141","2007-07-25",7.915
"142","2007-07-26",7.8575
"143","2007-07-27",7.8475
"144","2007-07-30",7.875
"145","2007-07-31",7.7875
"146","2007-08-01",7.97
"147","2007-08-02",7.75
"148","2007-08-03",7.415
"149","2007-08-06",7.3
"150","2007-08-07",7.62
"151","2007-08-08",8
"152","2007-08-09",7.6325
"153","2007-08-10",7.3325
"154","2007-08-13",7.345
"155","2007-08-14",7.1375
"156","2007-08-15",6.7775
"157","2007-08-16",6.9525
"158","2007-08-17",7.185
"159","2007-08-20",7.405
"160","2007-08-21",7.4675
"161","2007-08-22",7.6575
"162","2007-08-23",7.5
"163","2007-08-24",7.5625
"164","2007-08-27",7.265
"165","2007-08-28",6.8475
"166","2007-08-29",7.2425
"167","2007-08-30",7.095
"168","2007-08-31",7.225
"169","2007-09-04",7.375
"170","2007-09-05",7.7575
"171","2007-09-06",7.6375
"172","2007-09-07",7.8875
"173","2007-09-10",7.845
"174","2007-09-11",8.0925
"175","2007-09-12",8.2475
"176","2007-09-13",8.43
"177","2007-09-14",8.565
"178","2007-09-17",8.47
"179","2007-09-18",8.795
"180","2007-09-19",8.82
