"","date","MGA"
"1","2007-01-03",20.1325
"2","2007-01-04",19.855
"3","2007-01-05",19.4925
"4","2007-01-08",19.305
"5","2007-01-09",19.6
"6","2007-01-10",19.3225
"7","2007-01-11",19.5875
"8","2007-01-12",19.877501
"9","2007-01-16",19.885
"10","2007-01-17",20.105
"11","2007-01-18",20.15
"12","2007-01-19",20.17
"13","2007-01-22",19.862499
"14","2007-01-23",19.684999
"15","2007-01-24",19.7125
"16","2007-01-25",19.700001
"17","2007-01-26",19.627501
"18","2007-01-29",19.8925
"19","2007-01-30",19.7125
"20","2007-01-31",19.530001
"21","2007-02-01",19.6325
"22","2007-02-02",19.702499
"23","2007-02-05",19.862499
"24","2007-02-06",19.92
"25","2007-02-07",19.82
"26","2007-02-08",19.735001
"27","2007-02-09",19.737499
"28","2007-02-12",19.700001
"29","2007-02-13",20.025
"30","2007-02-14",20.120001
"31","2007-02-15",20.237499
"32","2007-02-16",20.297501
"33","2007-02-20",20.195
"34","2007-02-21",19.9175
"35","2007-02-22",20.2075
"36","2007-02-23",20.0075
"37","2007-02-26",19.907499
"38","2007-02-27",18.77
"39","2007-02-28",18.3925
"40","2007-03-01",18.145
"41","2007-03-02",18.174999
"42","2007-03-05",17.877501
"43","2007-03-06",18.17
"44","2007-03-07",18
"45","2007-03-08",18.1975
"46","2007-03-09",18.325001
"47","2007-03-12",18.415001
"48","2007-03-13",18.387501
"49","2007-03-14",18.532499
"50","2007-03-15",18.487499
"51","2007-03-16",18.495001
"52","2007-03-19",18.530001
"53","2007-03-20",18.797501
"54","2007-03-21",18.940001
"55","2007-03-22",18.752501
"56","2007-03-23",18.855
"57","2007-03-26",18.932501
"58","2007-03-27",18.805
"59","2007-03-28",18.870001
"60","2007-03-29",18.865
"61","2007-03-30",18.7775
"62","2007-04-02",18.540001
"63","2007-04-03",18.6875
"64","2007-04-04",18.877501
"65","2007-04-05",19.4275
"66","2007-04-09",19.657499
"67","2007-04-10",19.6175
"68","2007-04-11",19.612499
"69","2007-04-12",19.2775
"70","2007-04-13",19.195
"71","2007-04-16",19.665001
"72","2007-04-17",19.2225
"73","2007-04-18",19.4825
"74","2007-04-19",19.629999
"75","2007-04-20",19.780001
"76","2007-04-23",19.82
"77","2007-04-24",19.66
"78","2007-04-25",19.8925
"79","2007-04-26",19.942499
