"","date","UFPT"
"1","2007-01-03",5.64
"2","2007-01-04",5.41
"3","2007-01-05",5.05
"4","2007-01-08",4.82
"5","2007-01-09",4.97
"6","2007-01-10",4.8
"7","2007-01-11",4.8
"8","2007-01-12",4.71
"9","2007-01-16",4.66
"10","2007-01-17",4.79
"11","2007-01-18",4.85
"12","2007-01-19",4.6
"13","2007-01-22",4.76
"14","2007-01-23",4.81
"15","2007-01-24",4.86
"16","2007-01-25",4.67
"17","2007-01-26",4.6
"18","2007-01-29",4.6
"19","2007-01-30",4.57
"20","2007-01-31",4.6
"21","2007-02-01",4.58
"22","2007-02-02",4.65
"23","2007-02-05",4.7
"24","2007-02-06",4.71
"25","2007-02-07",4.64
"26","2007-02-08",4.63
"27","2007-02-09",4.68
"28","2007-02-12",4.64
"29","2007-02-13",4.58
"30","2007-02-14",4.63
"31","2007-02-15",4.62
"32","2007-02-16",4.65
"33","2007-02-20",4.62
"34","2007-02-21",4.64
"35","2007-02-22",4.61
"36","2007-02-23",4.63
"37","2007-02-26",4.64
"38","2007-02-27",4.55
"39","2007-02-28",4.64
"40","2007-03-01",4.64
"41","2007-03-02",4.59
"42","2007-03-05",4.55
"43","2007-03-06",4.55
"44","2007-03-07",4.89
"45","2007-03-08",4.82
"46","2007-03-09",4.84
"47","2007-03-12",4.89
"48","2007-03-13",4.85
"49","2007-03-14",4.71
"50","2007-03-15",4.8
"51","2007-03-16",4.77
"52","2007-03-19",4.77
"53","2007-03-20",4.76
"54","2007-03-21",4.79
"55","2007-03-22",4.79
"56","2007-03-23",4.83
"57","2007-03-26",4.79
"58","2007-03-27",4.63
"59","2007-03-28",4.6
"60","2007-03-29",4.52
"61","2007-03-30",4.68
"62","2007-04-02",4.57
"63","2007-04-03",4.71
"64","2007-04-04",4.74
"65","2007-04-05",4.74
"66","2007-04-09",4.79
"67","2007-04-10",4.88
"68","2007-04-11",4.85
"69","2007-04-12",4.85
"70","2007-04-13",4.85
"71","2007-04-16",4.95
"72","2007-04-17",4.99
"73","2007-04-18",5
"74","2007-04-19",5
"75","2007-04-20",5.02
"76","2007-04-23",5.02
"77","2007-04-24",5.02
"78","2007-04-25",5.05
"79","2007-04-26",5.08
"80","2007-04-27",5.2
"81","2007-04-30",5.22
"82","2007-05-01",5.28
"83","2007-05-02",5.66
"84","2007-05-03",5.74
"85","2007-05-04",5.71
"86","2007-05-07",6.4
"87","2007-05-08",5.6
"88","2007-05-09",5.75
"89","2007-05-10",5.9
"90","2007-05-11",5.99
"91","2007-05-14",6.4
"92","2007-05-15",5.87
"93","2007-05-16",6.08
"94","2007-05-17",5.84
"95","2007-05-18",5.75
"96","2007-05-21",5.66
"97","2007-05-22",5.73
"98","2007-05-23",5.82
"99","2007-05-24",5.72
"100","2007-05-25",5.75
"101","2007-05-29",5.7
"102","2007-05-30",5.45
"103","2007-05-31",5.57
"104","2007-06-01",5.57
"105","2007-06-04",5.7
"106","2007-06-05",5.31
"107","2007-06-06",5.06
"108","2007-06-07",5.1
"109","2007-06-08",5.35
"110","2007-06-11",5.12
"111","2007-06-12",5.36
"112","2007-06-13",5.44
"113","2007-06-14",5.19
"114","2007-06-15",5.3
"115","2007-06-18",5.17
"116","2007-06-19",5.25
"117","2007-06-20",5.29
"118","2007-06-21",5.3
"119","2007-06-22",5.25
"120","2007-06-25",5.08
"121","2007-06-26",5.12
"122","2007-06-27",5.15
"123","2007-06-28",5.13
"124","2007-06-29",5.11
"125","2007-07-02",5.19
"126","2007-07-03",5.29
"127","2007-07-05",5.3
"128","2007-07-06",5.29
"129","2007-07-09",5.28
"130","2007-07-10",5.3
"131","2007-07-11",5.32
"132","2007-07-12",5.3
"133","2007-07-13",5.25
"134","2007-07-16",5.3
"135","2007-07-17",5.5
"136","2007-07-18",5.51
"137","2007-07-19",5.64
"138","2007-07-20",5.49
"139","2007-07-23",5.63
"140","2007-07-24",5.46
"141","2007-07-25",5.42
"142","2007-07-26",5.15
"143","2007-07-27",5.05
"144","2007-07-30",4.98
"145","2007-07-31",4.89
"146","2007-08-01",4.75
"147","2007-08-02",4.67
"148","2007-08-03",4.61
"149","2007-08-06",4.55
"150","2007-08-07",4.51
"151","2007-08-08",5.35
"152","2007-08-09",5.24
"153","2007-08-10",5.2
"154","2007-08-13",5.16
"155","2007-08-14",5.23
"156","2007-08-15",5.15
"157","2007-08-16",4.9
"158","2007-08-17",4.92
"159","2007-08-20",4.87
"160","2007-08-21",5
"161","2007-08-22",4.97
"162","2007-08-23",4.97
"163","2007-08-24",4.98
"164","2007-08-27",5.08
"165","2007-08-28",5.08
"166","2007-08-29",5.14
"167","2007-08-30",5.06
"168","2007-08-31",5.06
"169","2007-09-04",4.98
"170","2007-09-05",4.99
"171","2007-09-06",5.18
"172","2007-09-07",5.05
"173","2007-09-10",5.14
"174","2007-09-11",5.15
"175","2007-09-12",5.09
"176","2007-09-13",5.01
"177","2007-09-14",5
"178","2007-09-17",5.09
"179","2007-09-18",5.09
"180","2007-09-19",5.03
"181","2007-09-20",4.99
"182","2007-09-21",4.97
"183","2007-09-24",5.13
"184","2007-09-25",5.1
"185","2007-09-26",5.08
"186","2007-09-27",5.12
"187","2007-09-28",5.14
"188","2007-10-01",5.17
"189","2007-10-02",5.18
"190","2007-10-03",5.12
"191","2007-10-04",5.16
"192","2007-10-05",5.35
"193","2007-10-08",5.35
"194","2007-10-09",5.25
"195","2007-10-10",5.37
"196","2007-10-11",5.4
"197","2007-10-12",5.27
"198","2007-10-15",5.48
"199","2007-10-16",5.52
"200","2007-10-17",5.46
"201","2007-10-18",5.46
"202","2007-10-19",5.53
