"","date","PFSI"
"222","2014-03-26",16.57
"223","2014-03-27",16.1
"224","2014-03-28",15.91
"225","2014-03-31",16.639999
"226","2014-04-01",17.280001
"227","2014-04-02",17.620001
"228","2014-04-03",17.799999
"229","2014-04-04",17.629999
"230","2014-04-07",17.42
"231","2014-04-08",17.52
"232","2014-04-09",17.559999
"233","2014-04-10",17
"234","2014-04-11",16.450001
"235","2014-04-14",16.280001
"236","2014-04-15",16.450001
"237","2014-04-16",16.450001
"238","2014-04-17",16.41
"239","2014-04-21",16.08
"240","2014-04-22",16.280001
"241","2014-04-23",16.01
"242","2014-04-24",16.040001
"243","2014-04-25",16.01
"244","2014-04-28",15.86
"245","2014-04-29",16.1
"246","2014-04-30",15.87
"247","2014-05-01",15.76
"248","2014-05-02",15.74
"249","2014-05-05",15.59
"250","2014-05-06",15.57
"251","2014-05-07",15.03
"252","2014-05-08",15.6
"253","2014-05-09",15.46
"254","2014-05-12",15.46
"255","2014-05-13",15.72
"256","2014-05-14",15.54
"257","2014-05-15",15.69
"258","2014-05-16",15.59
"259","2014-05-19",15.78
"260","2014-05-20",15.49
"261","2014-05-21",15.65
"262","2014-05-22",15.72
"263","2014-05-23",15.81
"264","2014-05-27",16.08
"265","2014-05-28",16.08
"266","2014-05-29",15.98
"267","2014-05-30",15.87
"268","2014-06-02",15.9
"269","2014-06-03",15.82
"270","2014-06-04",15.83
"271","2014-06-05",15.98
"272","2014-06-06",15.88
"273","2014-06-09",15.85
"274","2014-06-10",15.67
"275","2014-06-11",15.57
"276","2014-06-12",15.46
"277","2014-06-13",16.33
"278","2014-06-16",15.52
"279","2014-06-17",15.45
"280","2014-06-18",15.56
"281","2014-06-19",15.38
"282","2014-06-20",15.41
"283","2014-06-23",15.3
"284","2014-06-24",15.2
"285","2014-06-25",15.35
"286","2014-06-26",15.28
"287","2014-06-27",15.23
"288","2014-06-30",15.19
"289","2014-07-01",15.25
"290","2014-07-02",15.58
"291","2014-07-03",15.69
"292","2014-07-07",15.57
"293","2014-07-08",15.52
"294","2014-07-09",15.44
"295","2014-07-10",15.39
"296","2014-07-11",15.25
"297","2014-07-14",15.45
"298","2014-07-15",15.38
"299","2014-07-16",15.32
"300","2014-07-17",15.34
"301","2014-07-18",15.31
"302","2014-07-21",15.21
"303","2014-07-22",15.33
"304","2014-07-23",15.34
"305","2014-07-24",15.28
"306","2014-07-25",15.12
"307","2014-07-28",15.16
"308","2014-07-29",15.17
"309","2014-07-30",15.27
"310","2014-07-31",15.13
"311","2014-08-01",15.14
"312","2014-08-04",15.01
"313","2014-08-05",14.95
"314","2014-08-06",14.89
"315","2014-08-07",15
"316","2014-08-08",15.12
"317","2014-08-11",15.67
"318","2014-08-12",15.64
"319","2014-08-13",15.64
"320","2014-08-14",15.5
"321","2014-08-15",15.4
"322","2014-08-18",15.54
"323","2014-08-19",15.46
"324","2014-08-20",15.35
"325","2014-08-21",15.47
"326","2014-08-22",15.49
"327","2014-08-25",15.54
"328","2014-08-26",15.47
"329","2014-08-27",15.48
"330","2014-08-28",15.4
"331","2014-08-29",15.43
"332","2014-09-02",15.5
"333","2014-09-03",15.43
"334","2014-09-04",15.45
"335","2014-09-05",15.47
"336","2014-09-08",15.3
"337","2014-09-09",15.17
"338","2014-09-10",15.15
"339","2014-09-11",15.18
"340","2014-09-12",15.12
"341","2014-09-15",15.15
"342","2014-09-16",14.93
"343","2014-09-17",14.81
"344","2014-09-18",15.04
"345","2014-09-19",15.04
"346","2014-09-22",14.87
"347","2014-09-23",14.8
"348","2014-09-24",14.75
"349","2014-09-25",14.54
"350","2014-09-26",14.57
"351","2014-09-29",14.67
"352","2014-09-30",14.65
"353","2014-10-01",14.18
"354","2014-10-02",14.47
"355","2014-10-03",14.46
"356","2014-10-06",14.34
"357","2014-10-07",14.23
"358","2014-10-08",14.53
"359","2014-10-09",14.31
"360","2014-10-10",14.71
"361","2014-10-13",14.76
"362","2014-10-14",15.26
"363","2014-10-15",15.5
"364","2014-10-16",15.57
"365","2014-10-17",15.62
"366","2014-10-20",15.62
"367","2014-10-21",15.59
"368","2014-10-22",15.37
"369","2014-10-23",15.45
"370","2014-10-24",15.48
"371","2014-10-27",15.89
"372","2014-10-28",16.17
"373","2014-10-29",16
"374","2014-10-30",16.58
"375","2014-10-31",16.66
"376","2014-11-03",16.299999
"377","2014-11-04",16.200001
"378","2014-11-05",16.01
"379","2014-11-06",15.89
"380","2014-11-07",16.01
"381","2014-11-10",16.15
"382","2014-11-11",16.07
"383","2014-11-12",15.93
"384","2014-11-13",15.64
"385","2014-11-14",15.51
"386","2014-11-17",15.25
"387","2014-11-18",15.51
"388","2014-11-19",15.55
"389","2014-11-20",15.76
"390","2014-11-21",15.45
"391","2014-11-24",15.53
"392","2014-11-25",15.84
"393","2014-11-26",16.1
"394","2014-11-28",15.99
"395","2014-12-01",15.91
"396","2014-12-02",16.030001
"397","2014-12-03",16.209999
"398","2014-12-04",16.43
"399","2014-12-05",16.700001
"400","2014-12-08",16.58
"401","2014-12-09",16.870001
"402","2014-12-10",16.549999
"403","2014-12-11",16.77
"404","2014-12-12",16.68
"405","2014-12-15",16.48
"406","2014-12-16",16.700001
"407","2014-12-17",16.969999
"408","2014-12-18",17.110001
"409","2014-12-19",17.32
"410","2014-12-22",17.280001
"411","2014-12-23",17.379999
"412","2014-12-24",17.440001
"413","2014-12-26",17.469999
"414","2014-12-29",17.48
"415","2014-12-30",17.33
"416","2014-12-31",17.299999
"417","2015-01-02",17.120001
"418","2015-01-05",17.059999
"419","2015-01-06",17.16
"420","2015-01-07",17.299999
"421","2015-01-08",17.98
"422","2015-01-09",17.620001
"423","2015-01-12",17.639999
"424","2015-01-13",17.84
"425","2015-01-14",18.35
"426","2015-01-15",18.219999
"427","2015-01-16",18.370001
"428","2015-01-20",18.09
"429","2015-01-21",18.08
"430","2015-01-22",18.35
"431","2015-01-23",18.040001
"432","2015-01-26",18.02
"433","2015-01-27",17.610001
"434","2015-01-28",17.709999
"435","2015-01-29",18.16
"436","2015-01-30",18.02
"437","2015-02-02",18.290001
"438","2015-02-03",18.34
"439","2015-02-04",18.26
"440","2015-02-05",17.549999
"441","2015-02-06",17.549999
"442","2015-02-09",17.75
"443","2015-02-10",17.809999
"444","2015-02-11",17.809999
"445","2015-02-12",17.799999
"446","2015-02-13",17.82
"447","2015-02-17",18.059999
"448","2015-02-18",18.27
"449","2015-02-19",17.709999
"450","2015-02-20",17.559999
"451","2015-02-23",17.92
"452","2015-02-24",17.790001
"453","2015-02-25",17.59
"454","2015-02-26",17.74
"455","2015-02-27",17.459999
"456","2015-03-02",17.83
"457","2015-03-03",17.52
"458","2015-03-04",17.549999
"459","2015-03-05",17.67
"460","2015-03-06",17.27
"461","2015-03-09",17.35
"462","2015-03-10",17.26
"463","2015-03-11",17.459999
"464","2015-03-12",18.120001
"465","2015-03-13",18.16
"466","2015-03-16",18.549999
"467","2015-03-17",18.540001
"468","2015-03-18",18.42
"469","2015-03-19",18.23
"470","2015-03-20",17.91
"471","2015-03-23",17.719999
"472","2015-03-24",17.629999
"473","2015-03-25",16.98
"474","2015-03-26",16.75
"475","2015-03-27",16.59
"476","2015-03-30",17.120001
"477","2015-03-31",16.969999
"478","2015-04-01",17.049999
"479","2015-04-02",17.09
"480","2015-04-06",17.24
"481","2015-04-07",17.190001
"482","2015-04-08",17.15
"483","2015-04-09",17.27
"484","2015-04-10",17.49
"485","2015-04-13",17.18
"486","2015-04-14",17.389999
"487","2015-04-15",17.469999
"488","2015-04-16",17.59
"489","2015-04-17",17.440001
"490","2015-04-20",17.68
"491","2015-04-21",17.68
"492","2015-04-22",17.860001
"493","2015-04-23",17.610001
"494","2015-04-24",17.73
"495","2015-04-27",17.889999
"496","2015-04-28",18.51
"497","2015-04-29",18.709999
"498","2015-04-30",18.879999
"499","2015-05-01",18.360001
"500","2015-05-04",18.530001
"501","2015-05-05",18.309999
"502","2015-05-06",18.17
"503","2015-05-07",18.370001
"504","2015-05-08",18.709999
"505","2015-05-11",18.559999
"506","2015-05-12",18.299999
"507","2015-05-13",18
"508","2015-05-14",18.15
"509","2015-05-15",17.99
"510","2015-05-18",18.059999
"511","2015-05-19",18.129999
"512","2015-05-20",18.719999
"513","2015-05-21",18.639999
"514","2015-05-22",18.75
"515","2015-05-26",18.51
"516","2015-05-27",18.27
"517","2015-05-28",18.389999
"518","2015-05-29",18.75
"519","2015-06-01",19
"520","2015-06-02",19.15
"521","2015-06-03",19.26
"522","2015-06-04",19.129999
"523","2015-06-05",19.299999
"524","2015-06-08",19.27
"525","2015-06-09",19
"526","2015-06-10",19.389999
"527","2015-06-11",19.5
"528","2015-06-12",19.49
"529","2015-06-15",18.33
"530","2015-06-16",18.040001
"531","2015-06-17",17.549999
"532","2015-06-18",18.15
"533","2015-06-19",18
"534","2015-06-22",18.24
"535","2015-06-23",18.27
"536","2015-06-24",18.4
"537","2015-06-25",18.24
"538","2015-06-26",18.23
"539","2015-06-29",17.959999
"540","2015-06-30",18.120001
"541","2015-07-01",17.959999
"542","2015-07-02",17.76
"543","2015-07-06",17.700001
"544","2015-07-07",17.65
"545","2015-07-08",17.549999
"546","2015-07-09",17.469999
"547","2015-07-10",17.49
"548","2015-07-13",17.459999
"549","2015-07-14",17.610001
"550","2015-07-15",18.16
"551","2015-07-16",18.290001
"552","2015-07-17",18.18
"553","2015-07-20",17.940001
"554","2015-07-21",17.92
"555","2015-07-22",18.059999
"556","2015-07-23",18.309999
"557","2015-07-24",18.049999
"558","2015-07-27",17.549999
"559","2015-07-28",17.5
"560","2015-07-29",17.66
"561","2015-07-30",17.68
"562","2015-07-31",18.23
"563","2015-08-03",18.219999
"564","2015-08-04",17.99
"565","2015-08-05",17.98
"566","2015-08-06",17.440001
"567","2015-08-07",17.75
"568","2015-08-10",17.530001
"569","2015-08-11",17.559999
"570","2015-08-12",17.82
"571","2015-08-13",17.9
"572","2015-08-14",18.200001
