"","date","CHX"
"1","2018-04-27",38
"2","2018-04-30",38
"3","2018-05-01",37.5
"4","2018-05-02",37
"5","2018-05-03",34.75
"6","2018-05-04",34.5
"7","2018-05-07",35.75
"8","2018-05-08",36.150002
"9","2018-05-09",40.91
"10","2018-05-10",38.630001
"11","2018-05-11",38.049999
"12","2018-05-14",39.189999
"13","2018-05-15",40
"14","2018-05-16",42.099998
"15","2018-05-17",43.900002
"16","2018-05-18",44.889999
"17","2018-05-21",44.509998
"18","2018-05-22",44.709999
"19","2018-05-23",44.549999
"20","2018-05-24",45.529999
"21","2018-05-25",43.990002
"22","2018-05-29",43.860001
"23","2018-05-30",43.779999
"24","2018-05-31",43.189999
"25","2018-06-01",41.25
"26","2018-06-04",40.93
"27","2018-06-05",39.91
"28","2018-06-06",41.09
"29","2018-06-07",42.25
"30","2018-06-08",41.509998
"31","2018-06-11",42.080002
"32","2018-06-12",40.900002
"33","2018-06-13",39.869999
"34","2018-06-14",38.150002
"35","2018-06-15",37.549999
"36","2018-06-18",37.939999
"37","2018-06-19",37.779999
"38","2018-06-20",38.099998
"39","2018-06-21",36.93
"40","2018-06-22",38.689999
"41","2018-06-25",37.810001
"42","2018-06-26",38.360001
"43","2018-06-27",39.419998
"44","2018-06-28",39.93
"45","2018-06-29",41.75
"46","2018-07-02",41.23
"47","2018-07-03",40.27
"48","2018-07-05",38.75
"49","2018-07-06",39.529999
"50","2018-07-09",40.43
"51","2018-07-10",40.900002
"52","2018-07-11",40.16
"53","2018-07-12",40.470001
"54","2018-07-13",40.549999
"55","2018-07-16",37.959999
"56","2018-07-17",38.959999
"57","2018-07-18",38.509998
"58","2018-07-19",38.009998
"59","2018-07-20",37.549999
"60","2018-07-23",35.810001
"61","2018-07-24",35.939999
"62","2018-07-25",35.900002
"63","2018-07-26",39.139999
"64","2018-07-27",38.889999
"65","2018-07-30",40.32
"66","2018-07-31",41
"67","2018-08-01",40.049999
"68","2018-08-02",40.57
"69","2018-08-03",40.470001
"70","2018-08-06",41.290001
"71","2018-08-07",42.450001
"72","2018-08-08",42.57
"73","2018-08-09",42.34
"74","2018-08-10",43.23
"75","2018-08-13",42.5
"76","2018-08-14",43.799999
"77","2018-08-15",41.610001
"78","2018-08-16",43.360001
"79","2018-08-17",43.150002
"80","2018-08-20",43.259998
"81","2018-08-21",43.75
"82","2018-08-22",43.900002
"83","2018-08-23",43.450001
"84","2018-08-24",43.91
"85","2018-08-27",43.860001
"86","2018-08-28",44.18
"87","2018-08-29",45.27
"88","2018-08-30",44.48
"89","2018-08-31",45.220001
"90","2018-09-04",45.029999
"91","2018-09-05",44.580002
"92","2018-09-06",42.919998
"93","2018-09-07",43.580002
"94","2018-09-10",43.029999
"95","2018-09-11",43.860001
"96","2018-09-12",42.93
"97","2018-09-13",42.240002
"98","2018-09-14",42.509998
"99","2018-09-17",43.299999
"100","2018-09-18",43.779999
"101","2018-09-19",43.849998
"102","2018-09-20",44.970001
"103","2018-09-21",44.48
"104","2018-09-24",44.299999
"105","2018-09-25",44.790001
"106","2018-09-26",44.099998
"107","2018-09-27",44.029999
"108","2018-09-28",43.560001
"109","2018-10-01",43.759998
"110","2018-10-02",43.009998
"111","2018-10-03",44.82
"112","2018-10-04",44.599998
"113","2018-10-05",45.169998
"114","2018-10-08",45.25
"115","2018-10-09",45.419998
"116","2018-10-10",43.73
"117","2018-10-11",42.860001
"118","2018-10-12",42.450001
"119","2018-10-15",43.220001
"120","2018-10-16",43.900002
"121","2018-10-17",42.790001
"122","2018-10-18",41.09
"123","2018-10-19",40.689999
"124","2018-10-22",40.369999
"125","2018-10-23",38.66
"126","2018-10-24",37.119999
"127","2018-10-25",38.470001
"128","2018-10-26",39.099998
"129","2018-10-29",37.82
"130","2018-10-30",39.349998
"131","2018-10-31",38.990002
"132","2018-11-01",40.279999
"133","2018-11-02",41.5
"134","2018-11-05",40.560001
"135","2018-11-06",40.369999
"136","2018-11-07",40.52
"137","2018-11-08",38.919998
"138","2018-11-09",38.029999
"139","2018-11-12",37.73
"140","2018-11-13",36.189999
"141","2018-11-14",36.189999
"142","2018-11-15",36.619999
"143","2018-11-16",37.459999
"144","2018-11-19",37.900002
"145","2018-11-20",36.040001
"146","2018-11-21",36.759998
"147","2018-11-23",34.91
"148","2018-11-26",34.220001
"149","2018-11-27",34.060001
"150","2018-11-28",34.880001
"151","2018-11-29",35.060001
"152","2018-11-30",34.279999
"153","2018-12-03",34.740002
"154","2018-12-04",33.110001
"155","2018-12-06",32.189999
"156","2018-12-07",32.310001
"157","2018-12-10",30.389999
"158","2018-12-11",30.67
"159","2018-12-12",31.559999
"160","2018-12-13",31.59
"161","2018-12-14",31.34
"162","2018-12-17",29.68
"163","2018-12-18",30.620001
"164","2018-12-19",29.469999
"165","2018-12-20",29.18
"166","2018-12-21",27.49
"167","2018-12-24",26.610001
"168","2018-12-26",27.959999
"169","2018-12-27",27.6
"170","2018-12-28",27.360001
"171","2018-12-31",27.08
"172","2019-01-02",27.940001
"173","2019-01-03",28.25
"174","2019-01-04",31.049999
"175","2019-01-07",31.99
"176","2019-01-08",32.709999
"177","2019-01-09",32.150002
"178","2019-01-10",31.629999
"179","2019-01-11",31.360001
"180","2019-01-14",31.5
"181","2019-01-15",31.469999
"182","2019-01-16",32.119999
"183","2019-01-17",32.720001
"184","2019-01-18",33.98
"185","2019-01-22",33.619999
