"","date","VTRU"
"1","2020-09-18",16
"2","2020-09-21",14.96
"3","2020-09-22",14.48
"4","2020-09-23",14.03
"5","2020-09-24",14.2
"6","2020-09-25",13.755
"7","2020-09-28",13.73
"8","2020-09-29",13.04
"9","2020-09-30",12.98
"10","2020-10-01",13.36
"11","2020-10-02",13.24
"12","2020-10-05",13.57
"13","2020-10-06",13.31
"14","2020-10-07",13.24
"15","2020-10-08",13.26
"16","2020-10-09",13.72
"17","2020-10-12",13.61
"18","2020-10-13",13.66
"19","2020-10-14",14
"20","2020-10-15",14.38
"21","2020-10-16",14.21
"22","2020-10-19",13.5
"23","2020-10-20",13.82
"24","2020-10-21",13.5
"25","2020-10-22",12.63
"26","2020-10-23",12.36
"27","2020-10-26",12.29
"28","2020-10-27",12.25
"29","2020-10-28",11.81
"30","2020-10-29",11.77
"31","2020-10-30",11.45
"32","2020-11-02",11.75
"33","2020-11-03",12.41
"34","2020-11-04",14.08
"35","2020-11-05",14.24
"36","2020-11-06",14.19
"37","2020-11-09",14.5
"38","2020-11-10",13.88
"39","2020-11-11",14.2
"40","2020-11-12",14.6
"41","2020-11-13",14.45
"42","2020-11-16",14.4
"43","2020-11-17",14
"44","2020-11-18",14.02
"45","2020-11-19",13.9
"46","2020-11-20",13.9
"47","2020-11-23",14.23
"48","2020-11-24",14.15
"49","2020-11-25",14.17
"50","2020-11-27",14.1
