"","date","LMNR"
"1","2007-01-03",26.5
"2","2007-01-04",26.5
"3","2007-01-05",26.5
"4","2007-01-08",26.5
"5","2007-01-09",25
"6","2007-01-10",24.475
"7","2007-01-11",24
"8","2007-01-12",25
"9","2007-01-16",25.5
"10","2007-01-17",25.5
"11","2007-01-18",25.5
"12","2007-01-19",25
"13","2007-01-22",25
"14","2007-01-23",26
"15","2007-01-24",26
"16","2007-01-25",25.1
"17","2007-01-26",25.1
"18","2007-01-29",25.1
"19","2007-01-30",23.799999
"20","2007-01-31",23.799999
"21","2007-02-01",23.799999
"22","2007-02-02",26
"23","2007-02-05",25.200001
"24","2007-02-06",26.5
"25","2007-02-07",26.18
"26","2007-02-08",26.18
"27","2007-02-09",26.18
"28","2007-02-12",26.18
"29","2007-02-13",26.18
"30","2007-02-14",26.18
"31","2007-02-15",26.18
"32","2007-02-16",26.18
"33","2007-02-20",26.18
"34","2007-02-21",26.18
"35","2007-02-22",26.18
"36","2007-02-23",26.18
"37","2007-02-26",26
"38","2007-02-27",26
"39","2007-02-28",26
"40","2007-03-01",26
"41","2007-03-02",26
"42","2007-03-05",24
"43","2007-03-06",24
"44","2007-03-07",25.6
"45","2007-03-08",25.6
"46","2007-03-09",25.6
"47","2007-03-12",25.6
"48","2007-03-13",25.299999
"49","2007-03-14",25.299999
"50","2007-03-15",24.200001
"51","2007-03-16",25
"52","2007-03-19",25
"53","2007-03-20",25
"54","2007-03-21",25.299999
"55","2007-03-22",25.299999
"56","2007-03-23",24.299999
"57","2007-03-26",24.299999
"58","2007-03-27",24.299999
"59","2007-03-28",25.4
"60","2007-03-29",25.4
"61","2007-03-30",25.5
"62","2007-04-02",25.5
"63","2007-04-03",25.5
"64","2007-04-04",25.5
"65","2007-04-05",26.75
"66","2007-04-09",26.75
"67","2007-04-10",26.75
"68","2007-04-11",26.75
"69","2007-04-12",27.5
"70","2007-04-13",28.1
"71","2007-04-16",29
"72","2007-04-17",29
"73","2007-04-18",29
"74","2007-04-19",30
"75","2007-04-20",30
"76","2007-04-23",30
"77","2007-04-24",32.5
"78","2007-04-25",33.400002
"79","2007-04-26",33
