"","date","HR"
"1","2007-01-03",39.700001
"2","2007-01-04",39.650002
"3","2007-01-05",39
"4","2007-01-08",38.700001
"5","2007-01-09",39.32
"6","2007-01-10",39.75
"7","2007-01-11",40.32
"8","2007-01-12",40.799999
"9","2007-01-16",41.32
"10","2007-01-17",41.16
"11","2007-01-18",40.860001
"12","2007-01-19",41.389999
"13","2007-01-22",40.669998
"14","2007-01-23",40.900002
"15","2007-01-24",41.169998
"16","2007-01-25",41.34
"17","2007-01-26",41.900002
"18","2007-01-29",42.080002
"19","2007-01-30",42.099998
"20","2007-01-31",42.380001
"21","2007-02-01",42.459999
"22","2007-02-02",42.25
"23","2007-02-05",42.689999
"24","2007-02-06",43.040001
"25","2007-02-07",44.02
"26","2007-02-08",43.509998
"27","2007-02-09",42.689999
"28","2007-02-12",42.290001
"29","2007-02-13",43.169998
"30","2007-02-14",43.060001
"31","2007-02-15",43.16
"32","2007-02-16",43.099998
"33","2007-02-20",43.369999
"34","2007-02-21",43.18
"35","2007-02-22",42.810001
"36","2007-02-23",41.959999
"37","2007-02-26",41.450001
"38","2007-02-27",38.299999
"39","2007-02-28",38.740002
"40","2007-03-01",38.18
"41","2007-03-02",37.099998
"42","2007-03-05",35.040001
"43","2007-03-06",36.110001
"44","2007-03-07",36.630001
"45","2007-03-08",37.099998
"46","2007-03-09",37.049999
"47","2007-03-12",36.889999
"48","2007-03-13",35.639999
"49","2007-03-14",36.09
"50","2007-03-15",36.049999
"51","2007-03-16",35.990002
"52","2007-03-19",36.360001
"53","2007-03-20",36.639999
"54","2007-03-21",37.360001
"55","2007-03-22",37.16
"56","2007-03-23",37.200001
"57","2007-03-26",36.369999
"58","2007-03-27",36.060001
"59","2007-03-28",36
"60","2007-03-29",36.779999
"61","2007-03-30",37.299999
"62","2007-04-02",37.900002
"63","2007-04-03",38.810001
"64","2007-04-04",38.84
"65","2007-04-05",38.639999
"66","2007-04-09",38.459999
"67","2007-04-10",38.66
"68","2007-04-11",38.490002
"69","2007-04-12",34.220001
"70","2007-04-13",34.419998
"71","2007-04-16",34.470001
"72","2007-04-17",34.540001
"73","2007-04-18",34.360001
"74","2007-04-19",34.169998
"75","2007-04-20",34.299999
"76","2007-04-23",34.52
"77","2007-04-24",34.619999
"78","2007-04-25",34.59
"79","2007-04-26",34.5
"80","2007-04-27",34.560001
"81","2007-04-30",34.060001
"82","2007-05-01",33.57
"83","2007-05-02",34.009998
"84","2007-05-03",33.419998
"85","2007-05-04",33.029999
"86","2007-05-07",33.209999
"87","2007-05-08",33.400002
"88","2007-05-09",34.189999
"89","2007-05-10",33.52
"90","2007-05-11",33.240002
"91","2007-05-14",33.130001
"92","2007-05-15",32.650002
"93","2007-05-16",32.16
"94","2007-05-17",31.5
"95","2007-05-18",31.17
"96","2007-05-21",31.4
"97","2007-05-22",31.809999
"98","2007-05-23",31.02
"99","2007-05-24",30.139999
"100","2007-05-25",30.5
"101","2007-05-29",31.52
"102","2007-05-30",32.619999
"103","2007-05-31",32.77
"104","2007-06-01",32.939999
"105","2007-06-04",32.939999
"106","2007-06-05",31.780001
"107","2007-06-06",31.379999
"108","2007-06-07",30.4
"109","2007-06-08",30.530001
"110","2007-06-11",29.92
"111","2007-06-12",29.110001
"112","2007-06-13",29.34
"113","2007-06-14",29.129999
"114","2007-06-15",29.309999
"115","2007-06-18",28.9
"116","2007-06-19",29
"117","2007-06-20",28.34
"118","2007-06-21",28.77
"119","2007-06-22",28.780001
"120","2007-06-25",27.9
"121","2007-06-26",27.75
"122","2007-06-27",28.15
"123","2007-06-28",27.860001
"124","2007-06-29",27.780001
"125","2007-07-02",28.77
"126","2007-07-03",28.459999
"127","2007-07-05",28.6
"128","2007-07-06",28.700001
"129","2007-07-09",28.370001
"130","2007-07-10",27.360001
"131","2007-07-11",27.1
"132","2007-07-12",27.469999
"133","2007-07-13",27.84
"134","2007-07-16",27.59
"135","2007-07-17",27.120001
"136","2007-07-18",27.32
"137","2007-07-19",27.27
"138","2007-07-20",26.67
"139","2007-07-23",26.059999
"140","2007-07-24",25.049999
"141","2007-07-25",25.34
"142","2007-07-26",24.98
"143","2007-07-27",23.85
"144","2007-07-30",24.110001
"145","2007-07-31",23.219999
"146","2007-08-01",23.530001
"147","2007-08-02",23.15
"148","2007-08-03",22.139999
"149","2007-08-06",22.870001
"150","2007-08-07",23.24
"151","2007-08-08",24.65
"152","2007-08-09",24.75
"153","2007-08-10",24.709999
"154","2007-08-13",24.08
"155","2007-08-14",23.690001
"156","2007-08-15",23.110001
"157","2007-08-16",24.02
"158","2007-08-17",24.84
"159","2007-08-20",24.870001
"160","2007-08-21",24.84
"161","2007-08-22",24.790001
"162","2007-08-23",24.610001
"163","2007-08-24",24.59
"164","2007-08-27",23.99
"165","2007-08-28",23.57
"166","2007-08-29",24.16
"167","2007-08-30",24.129999
"168","2007-08-31",24.969999
"169","2007-09-04",25.209999
"170","2007-09-05",24.26
"171","2007-09-06",24.049999
"172","2007-09-07",23.42
"173","2007-09-10",23.25
"174","2007-09-11",24.219999
"175","2007-09-12",24.629999
"176","2007-09-13",25.18
"177","2007-09-14",25.549999
"178","2007-09-17",25.700001
"179","2007-09-18",26.4
"180","2007-09-19",26.5
