"","date","RMBS"
"1","2007-01-03",19.16
"2","2007-01-04",19.5
"3","2007-01-05",19.17
"4","2007-01-08",18.83
"5","2007-01-09",18.66
"6","2007-01-10",18.950001
"7","2007-01-11",19.379999
"8","2007-01-12",19.299999
"9","2007-01-16",18.98
"10","2007-01-17",19.1
"11","2007-01-18",17.99
"12","2007-01-19",17.85
"13","2007-01-22",17.469999
"14","2007-01-23",17.48
"15","2007-01-24",18.190001
"16","2007-01-25",17.389999
"17","2007-01-26",18.959999
"18","2007-01-29",18.25
"19","2007-01-30",18.57
"20","2007-01-31",18.59
"21","2007-02-01",18.690001
"22","2007-02-02",18.92
"23","2007-02-05",23.5
"24","2007-02-06",22.299999
"25","2007-02-07",22.309999
"26","2007-02-08",23.17
"27","2007-02-09",22.35
"28","2007-02-12",21.860001
"29","2007-02-13",21.85
"30","2007-02-14",22
"31","2007-02-15",22.450001
"32","2007-02-16",22.639999
"33","2007-02-20",22.18
"34","2007-02-21",21.950001
"35","2007-02-22",21.9
"36","2007-02-23",21.790001
"37","2007-02-26",21.41
"38","2007-02-27",20.200001
"39","2007-02-28",19.92
"40","2007-03-01",20.309999
"41","2007-03-02",19.620001
"42","2007-03-05",19.25
"43","2007-03-06",19.82
"44","2007-03-07",19.950001
"45","2007-03-08",20.040001
"46","2007-03-09",20.299999
"47","2007-03-12",20.530001
"48","2007-03-13",19.91
"49","2007-03-14",20.23
"50","2007-03-15",20.280001
"51","2007-03-16",20.07
"52","2007-03-19",19.83
"53","2007-03-20",21.049999
"54","2007-03-21",21.15
"55","2007-03-22",21.629999
"56","2007-03-23",21.549999
"57","2007-03-26",21.67
"58","2007-03-27",21.73
"59","2007-03-28",21.4
"60","2007-03-29",21.32
"61","2007-03-30",21.25
"62","2007-04-02",21.139999
"63","2007-04-03",21.23
"64","2007-04-04",21.74
"65","2007-04-05",21.799999
"66","2007-04-09",21.209999
"67","2007-04-10",20.93
"68","2007-04-11",20.940001
"69","2007-04-12",20.74
"70","2007-04-13",20.9
"71","2007-04-16",20.65
"72","2007-04-17",20.719999
"73","2007-04-18",20.809999
