"","date","LPG"
"1","2014-05-08",18.639999
"2","2014-05-09",19
"3","2014-05-12",19.1
"4","2014-05-13",19.059999
"5","2014-05-14",19.059999
"6","2014-05-15",18.549999
"7","2014-05-16",19
"8","2014-05-19",19.07
"9","2014-05-20",19.139999
"10","2014-05-21",19.08
"11","2014-05-22",19.709999
"12","2014-05-23",19.65
"13","2014-05-27",19.65
"14","2014-05-28",19.700001
"15","2014-05-29",19.99
"16","2014-05-30",20.309999
"17","2014-06-02",20.379999
"18","2014-06-03",20.639999
"19","2014-06-04",20.530001
"20","2014-06-05",20.58
"21","2014-06-06",21.530001
"22","2014-06-09",20.83
"23","2014-06-10",21.68
"24","2014-06-11",21.799999
"25","2014-06-12",21.75
"26","2014-06-13",21.629999
"27","2014-06-16",20.73
"28","2014-06-17",21.15
"29","2014-06-18",22.08
"30","2014-06-19",22.35
"31","2014-06-20",22.700001
"32","2014-06-23",22.92
"33","2014-06-24",23.33
"34","2014-06-25",22.549999
"35","2014-06-26",23.459999
"36","2014-06-27",23.09
"37","2014-06-30",22.99
"38","2014-07-01",23.190001
"39","2014-07-02",22.780001
"40","2014-07-03",23.469999
"41","2014-07-07",22.360001
"42","2014-07-08",22.68
"43","2014-07-09",22.629999
"44","2014-07-10",22.85
"45","2014-07-11",22.690001
"46","2014-07-14",22.68
"47","2014-07-15",22.48
"48","2014-07-16",22.26
"49","2014-07-17",21.889999
"50","2014-07-18",22.02
"51","2014-07-21",21.59
"52","2014-07-22",21.860001
"53","2014-07-23",22.1
"54","2014-07-24",22.200001
"55","2014-07-25",22.139999
"56","2014-07-28",21.559999
"57","2014-07-29",21.66
"58","2014-07-30",20.889999
"59","2014-07-31",20.07
"60","2014-08-01",20.530001
"61","2014-08-04",20.549999
"62","2014-08-05",20.219999
"63","2014-08-06",19.76
"64","2014-08-07",19.530001
"65","2014-08-08",19.629999
"66","2014-08-11",19.629999
"67","2014-08-12",19.200001
"68","2014-08-13",19.59
"69","2014-08-14",19.67
"70","2014-08-15",19.790001
"71","2014-08-18",19.82
"72","2014-08-19",19.780001
"73","2014-08-20",19.67
"74","2014-08-21",19.74
"75","2014-08-22",19.709999
"76","2014-08-25",19.41
"77","2014-08-26",19.540001
"78","2014-08-27",19.530001
"79","2014-08-28",19.559999
"80","2014-08-29",19.629999
"81","2014-09-02",19.459999
"82","2014-09-03",19.34
"83","2014-09-04",19.02
"84","2014-09-05",18.98
"85","2014-09-08",18.9
"86","2014-09-09",18.91
"87","2014-09-10",19.209999
"88","2014-09-11",19.67
"89","2014-09-12",19.700001
"90","2014-09-15",19.5
"91","2014-09-16",19.290001
"92","2014-09-17",19.51
"93","2014-09-18",19.469999
"94","2014-09-19",19.309999
"95","2014-09-22",18.950001
"96","2014-09-23",18.75
"97","2014-09-24",18.799999
"98","2014-09-25",18.129999
"99","2014-09-26",18.26
"100","2014-09-29",18.299999
"101","2014-09-30",17.82
"102","2014-10-01",17.6
"103","2014-10-02",17.450001
"104","2014-10-03",17.67
"105","2014-10-06",17.799999
"106","2014-10-07",17.18
"107","2014-10-08",17.01
"108","2014-10-09",16.58
"109","2014-10-10",15.43
"110","2014-10-13",15.22
"111","2014-10-14",15.53
"112","2014-10-15",15.2
"113","2014-10-16",15.68
"114","2014-10-17",15.84
"115","2014-10-20",15.65
"116","2014-10-21",15.99
"117","2014-10-22",15.41
"118","2014-10-23",15.31
"119","2014-10-24",15.2
"120","2014-10-27",14.73
"121","2014-10-28",14.96
"122","2014-10-29",14.46
"123","2014-10-30",14.22
"124","2014-10-31",14.33
"125","2014-11-03",14.21
"126","2014-11-04",14.03
"127","2014-11-05",14.22
"128","2014-11-06",15.07
"129","2014-11-07",15.24
"130","2014-11-10",15.49
"131","2014-11-11",15.19
"132","2014-11-12",15.3
"133","2014-11-13",15.11
"134","2014-11-14",15.51
"135","2014-11-17",15.71
"136","2014-11-18",15.72
"137","2014-11-19",15.48
"138","2014-11-20",15.41
"139","2014-11-21",15.2
"140","2014-11-24",15.16
"141","2014-11-25",15.13
"142","2014-11-26",14.86
"143","2014-11-28",13.59
"144","2014-12-01",12.29
"145","2014-12-02",12.69
"146","2014-12-03",12.91
"147","2014-12-04",12.75
"148","2014-12-05",12.35
"149","2014-12-08",11.04
"150","2014-12-09",10.78
"151","2014-12-10",10.46
"152","2014-12-11",10.23
"153","2014-12-12",10.71
"154","2014-12-15",10.7
"155","2014-12-16",10.78
"156","2014-12-17",11.51
"157","2014-12-18",12.3
"158","2014-12-19",12.67
"159","2014-12-22",13.02
"160","2014-12-23",13.11
"161","2014-12-24",13.2
"162","2014-12-26",13.58
"163","2014-12-29",13.61
"164","2014-12-30",13.63
"165","2014-12-31",13.89
"166","2015-01-02",13.48
"167","2015-01-05",12.36
"168","2015-01-06",11.51
"169","2015-01-07",11.5
"170","2015-01-08",11.81
"171","2015-01-09",12.23
"172","2015-01-12",12.38
"173","2015-01-13",12.11
"174","2015-01-14",11.52
"175","2015-01-15",11.39
"176","2015-01-16",12.21
"177","2015-01-20",11.6
"178","2015-01-21",12.08
"179","2015-01-22",11.99
"180","2015-01-23",12.08
"181","2015-01-26",11.8
"182","2015-01-27",11.83
"183","2015-01-28",10.72
"184","2015-01-29",10.42
"185","2015-01-30",11.27
"186","2015-02-02",11.48
"187","2015-02-03",12.3
"188","2015-02-04",11.91
"189","2015-02-05",12.45
"190","2015-02-06",11.76
"191","2015-02-09",11.27
"192","2015-02-10",11.78
"193","2015-02-11",12.04
"194","2015-02-12",12.56
"195","2015-02-13",12.67
"196","2015-02-17",12.63
"197","2015-02-18",12.7
"198","2015-02-19",12.84
"199","2015-02-20",12.33
"200","2015-02-23",12.5
"201","2015-02-24",13
"202","2015-02-25",12.62
"203","2015-02-26",12.44
"204","2015-02-27",12.28
"205","2015-03-02",11.83
"206","2015-03-03",11.85
"207","2015-03-04",12.11
"208","2015-03-05",12.05
"209","2015-03-06",12.04
"210","2015-03-09",11.68
"211","2015-03-10",11.83
"212","2015-03-11",11.87
"213","2015-03-12",12.22
"214","2015-03-13",11.97
"215","2015-03-16",11.75
"216","2015-03-17",11.73
"217","2015-03-18",12
"218","2015-03-19",11.76
"219","2015-03-20",11.86
"220","2015-03-23",12.08
"221","2015-03-24",12.06
"222","2015-03-25",12.65
"223","2015-03-26",12.51
"224","2015-03-27",12.89
"225","2015-03-30",12.93
"226","2015-03-31",13.03
"227","2015-04-01",13.07
"228","2015-04-02",13.48
"229","2015-04-06",13.55
