"","date","ARPO"
"1","2018-02-16",4.5
"2","2018-02-20",4.4
"3","2018-02-21",4.75
"4","2018-02-22",4.583
"5","2018-02-23",4.5
"6","2018-02-26",4.85
"7","2018-02-27",4.45
"8","2018-02-28",4.9
"9","2018-03-01",4.9
"10","2018-03-02",4.6
"11","2018-03-05",4.55
"12","2018-03-06",4.35
"13","2018-03-07",4.2
"14","2018-03-08",4.55
"15","2018-03-09",4.45
"16","2018-03-12",4.5
"17","2018-03-13",4.45
"18","2018-03-14",4.35
"19","2018-03-15",4.5
"20","2018-03-16",4.83
"21","2018-03-19",5
"22","2018-03-20",5
"23","2018-03-21",5
"24","2018-03-22",5
"25","2018-03-23",5
"26","2018-03-26",4.9
"27","2018-03-27",5
"28","2018-03-28",5
"29","2018-03-29",4.75
"30","2018-04-02",4.9
"31","2018-04-03",4.95
"32","2018-04-04",4.9
"33","2018-04-05",4.8
"34","2018-04-06",4.79
"35","2018-04-09",4.63
"36","2018-04-10",5
"37","2018-04-11",4.47
"38","2018-04-12",4.45
"39","2018-04-13",4.2
"40","2018-04-16",4
"41","2018-04-17",3.89
"42","2018-04-18",3.8
"43","2018-04-19",3.8
"44","2018-04-20",3.8
"45","2018-04-23",3.59
"46","2018-04-24",3.58
"47","2018-04-25",3.59
"48","2018-04-26",3.66
"49","2018-04-27",3.64
"50","2018-04-30",3.55
"51","2018-05-01",3.49
"52","2018-05-02",3.43
"53","2018-05-03",3.44
"54","2018-05-04",3.5
"55","2018-05-07",3.54
"56","2018-05-08",3.39
"57","2018-05-09",3.62
"58","2018-05-10",3.5
"59","2018-05-11",3.56
"60","2018-05-14",3.75
"61","2018-05-15",4.05
"62","2018-05-16",4.04
"63","2018-05-17",4.08
"64","2018-05-18",4.11
"65","2018-05-21",4.1
"66","2018-05-22",4.1
"67","2018-05-23",4.05
"68","2018-05-24",4
"69","2018-05-25",4
"70","2018-05-29",3.9
"71","2018-05-30",3.9
"72","2018-05-31",3.9
"73","2018-06-01",3.93
"74","2018-06-04",3.59
"75","2018-06-05",3.6
"76","2018-06-06",3.6
"77","2018-06-07",3.9
"78","2018-06-08",3.79
"79","2018-06-11",3.8
"80","2018-06-12",3.8
"81","2018-06-13",3.75
"82","2018-06-14",3.75
"83","2018-06-15",3.75
"84","2018-06-18",3.75
"85","2018-06-19",3.8
"86","2018-06-20",4
"87","2018-06-21",4.07
"88","2018-06-22",4.2
"89","2018-06-25",4.55
"90","2018-06-26",3.9
"91","2018-06-27",3.88
"92","2018-06-28",4.19
"93","2018-06-29",4.15
"94","2018-07-02",4.099
"95","2018-07-03",4.19
"96","2018-07-05",4.05
"97","2018-07-06",4.11
"98","2018-07-09",4.27
"99","2018-07-10",4.18
"100","2018-07-11",4.12
"101","2018-07-12",4.15
"102","2018-07-13",4.15
"103","2018-07-16",4.19
"104","2018-07-17",4.16
"105","2018-07-18",4.08
"106","2018-07-19",4.09
"107","2018-07-20",4.17
"108","2018-07-23",4.18
"109","2018-07-24",4.18
"110","2018-07-25",4.2
"111","2018-07-26",4.097
"112","2018-07-27",4.06
"113","2018-07-30",4.05
"114","2018-07-31",3.93
"115","2018-08-01",3.86
"116","2018-08-02",3.63
"117","2018-08-03",3.63
"118","2018-08-06",3.89
"119","2018-08-07",3.56
"120","2018-08-08",3.55
"121","2018-08-09",3.485
"122","2018-08-10",3.75
"123","2018-08-13",3.754
"124","2018-08-14",3.69
"125","2018-08-15",3.33
"126","2018-08-16",3.62
"127","2018-08-17",3.9
"128","2018-08-20",3.7
"129","2018-08-21",3.75
"130","2018-08-22",3.79
"131","2018-08-23",3.55
"132","2018-08-24",3.35
"133","2018-08-27",3.43
"134","2018-08-28",3.55
"135","2018-08-29",3.48
"136","2018-08-30",3.61
"137","2018-08-31",3.57
"138","2018-09-04",3.49
"139","2018-09-05",3.35
"140","2018-09-06",3.4
"141","2018-09-07",3.49
"142","2018-09-10",3.71
"143","2018-09-11",3.82
"144","2018-09-12",3.5
"145","2018-09-13",3.61
"146","2018-09-14",3.54
"147","2018-09-17",3.52
"148","2018-09-18",3.79
"149","2018-09-19",3.73
"150","2018-09-20",3.7
"151","2018-09-21",3.39
"152","2018-09-24",3.2
"153","2018-09-25",3.14
"154","2018-09-26",3.04
"155","2018-09-27",3.14
"156","2018-09-28",3.09
"157","2018-10-01",2.89
"158","2018-10-02",2.965
"159","2018-10-03",2.95
"160","2018-10-04",2.97
"161","2018-10-05",2.98
"162","2018-10-08",2.95
"163","2018-10-09",2.8
"164","2018-10-10",2.71
"165","2018-10-11",2.54
"166","2018-10-12",2.6
"167","2018-10-15",2.52
"168","2018-10-16",2.3
"169","2018-10-17",2.31
"170","2018-10-18",2.32
"171","2018-10-19",2.2
"172","2018-10-22",2.07
"173","2018-10-23",2.03
"174","2018-10-24",1.88
"175","2018-10-25",2.11
"176","2018-10-26",2.05
"177","2018-10-29",1.97
"178","2018-10-30",1.92
"179","2018-10-31",1.91
"180","2018-11-01",2.2
"181","2018-11-02",2.1
"182","2018-11-05",2.05
"183","2018-11-06",2.13
"184","2018-11-07",2.1
"185","2018-11-08",2.1
"186","2018-11-09",1.98
"187","2018-11-12",1.88
"188","2018-11-13",2
"189","2018-11-14",1.94
"190","2018-11-15",1.99
"191","2018-11-16",1.95
"192","2018-11-19",1.97
"193","2018-11-20",1.96
"194","2018-11-21",1.94
"195","2018-11-23",1.99
"196","2018-11-26",1.82
"197","2018-11-27",1.8
"198","2018-11-28",1.92
"199","2018-11-29",2
"200","2018-11-30",1.9
"201","2018-12-03",2.1
"202","2018-12-04",2.1
"203","2018-12-06",2.1
"204","2018-12-07",2.08
"205","2018-12-10",2.12
"206","2018-12-11",2.02
"207","2018-12-12",2.01
"208","2018-12-13",1.99
"209","2018-12-14",2.04
"210","2018-12-17",1.9
"211","2018-12-18",1.97
"212","2018-12-19",1.81
"213","2018-12-20",1.8
"214","2018-12-21",1.73
"215","2018-12-24",1.66
"216","2018-12-26",1.6
"217","2018-12-27",1.6
"218","2018-12-28",1.71
"219","2018-12-31",1.7
"220","2019-01-02",1.99
"221","2019-01-03",2.07
"222","2019-01-04",2.125
"223","2019-01-07",2.13
"224","2019-01-08",2.4
"225","2019-01-09",2.35
"226","2019-01-10",2.395
"227","2019-01-11",3
"228","2019-01-14",2.89
"229","2019-01-15",2.89
"230","2019-01-16",2.91
"231","2019-01-17",3.06
"232","2019-01-18",3.3
"233","2019-01-22",3.56
"234","2019-01-23",3.51
"235","2019-01-24",3.79
"236","2019-01-25",3.93
"237","2019-01-28",3.96
"238","2019-01-29",4.18
"239","2019-01-30",3.88
"240","2019-01-31",3.48
"241","2019-02-01",3.45
"242","2019-02-04",3.37
"243","2019-02-05",3.59
"244","2019-02-06",3.72
"245","2019-02-07",3.71
"246","2019-02-08",3.45
"247","2019-02-11",3.46
"248","2019-02-12",3.4
"249","2019-02-13",3.415
"250","2019-02-14",3.42
"251","2019-02-15",3.27
"252","2019-02-19",3.07
"253","2019-02-20",3.12
"254","2019-02-21",3.02
"255","2019-02-22",2.85
"256","2019-02-25",2.92
"257","2019-02-26",3.22
"258","2019-02-27",2.99
"259","2019-02-28",2.99
"260","2019-03-01",2.97
"261","2019-03-04",2.86
"262","2019-03-05",3.03
"263","2019-03-06",2.98
"264","2019-03-07",3.07
"265","2019-03-08",3.5
"266","2019-03-11",3.64
"267","2019-03-12",3.67
"268","2019-03-13",4.03
"269","2019-03-14",4.13
"270","2019-03-15",4.25
"271","2019-03-18",1.22
"272","2019-03-19",1.12
"273","2019-03-20",1.05
"274","2019-03-21",1.08
"275","2019-03-22",1.12
