"","date","IHC"
"1","2007-01-03",21.92
"2","2007-01-04",21.940001
"3","2007-01-05",21
"4","2007-01-08",21
"5","2007-01-09",21.1
"6","2007-01-10",21.15
"7","2007-01-11",21.25
"8","2007-01-12",21.07
"9","2007-01-16",20.75
"10","2007-01-17",20.91
"11","2007-01-18",20.5
"12","2007-01-19",20.549999
"13","2007-01-22",20.629999
"14","2007-01-23",20.75
"15","2007-01-24",20.85
"16","2007-01-25",20.57
"17","2007-01-26",20.879999
"18","2007-01-29",21.700001
"19","2007-01-30",22.040001
"20","2007-01-31",22.65
"21","2007-02-01",23.030001
"22","2007-02-02",23.93
"23","2007-02-05",23.74
"24","2007-02-06",23.59
"25","2007-02-07",23.5
"26","2007-02-08",23.35
"27","2007-02-09",23.26
"28","2007-02-12",23.48
"29","2007-02-13",24.35
"30","2007-02-14",24.209999
"31","2007-02-15",23.76
"32","2007-02-16",23.469999
"33","2007-02-20",23.77
"34","2007-02-21",23.76
"35","2007-02-22",23.84
"36","2007-02-23",23.83
"37","2007-02-26",23.540001
"38","2007-02-27",21.950001
"39","2007-02-28",21.450001
"40","2007-03-01",21.549999
"41","2007-03-02",21.040001
"42","2007-03-05",20.9
"43","2007-03-06",21.77
"44","2007-03-07",21.34
"45","2007-03-08",21.16
"46","2007-03-09",21.620001
"47","2007-03-12",21.82
"48","2007-03-13",21.1
"49","2007-03-14",21.5
"50","2007-03-15",21.59
"51","2007-03-16",21.639999
"52","2007-03-19",21.57
"53","2007-03-20",21.49
"54","2007-03-21",21.34
"55","2007-03-22",21.4
"56","2007-03-23",21.35
"57","2007-03-26",21.33
"58","2007-03-27",21.190001
"59","2007-03-28",21.209999
"60","2007-03-29",21.309999
"61","2007-03-30",21.639999
"62","2007-04-02",20.940001
"63","2007-04-03",21.49
"64","2007-04-04",21
"65","2007-04-05",21.26
"66","2007-04-09",21.059999
"67","2007-04-10",21.120001
"68","2007-04-11",21.25
"69","2007-04-12",21.17
"70","2007-04-13",21.25
"71","2007-04-16",21.75
"72","2007-04-17",21.549999
"73","2007-04-18",21.49
"74","2007-04-19",21.59
"75","2007-04-20",21.799999
"76","2007-04-23",21.6
"77","2007-04-24",21.290001
"78","2007-04-25",21.6
"79","2007-04-26",21.52
"80","2007-04-27",21.34
"81","2007-04-30",21.35
"82","2007-05-01",21.24
"83","2007-05-02",21.41
"84","2007-05-03",21.23
"85","2007-05-04",21.24
"86","2007-05-07",21.35
"87","2007-05-08",21.540001
"88","2007-05-09",21.42
"89","2007-05-10",20.98
"90","2007-05-11",21.889999
"91","2007-05-14",21.51
"92","2007-05-15",20.99
"93","2007-05-16",21.129999
"94","2007-05-17",20.92
"95","2007-05-18",21.16
"96","2007-05-21",21.27
"97","2007-05-22",21.57
"98","2007-05-23",21.610001
"99","2007-05-24",21.48
"100","2007-05-25",21.780001
"101","2007-05-29",21.459999
"102","2007-05-30",21.940001
"103","2007-05-31",22.110001
"104","2007-06-01",22.1
"105","2007-06-04",22.02
"106","2007-06-05",22.049999
"107","2007-06-06",22.059999
"108","2007-06-07",22.030001
"109","2007-06-08",22.059999
"110","2007-06-11",21.75
"111","2007-06-12",20.940001
"112","2007-06-13",20.93
"113","2007-06-14",20.450001
"114","2007-06-15",21.73
"115","2007-06-18",21.889999
"116","2007-06-19",21.67
"117","2007-06-20",20.66
"118","2007-06-21",20.129999
"119","2007-06-22",19.549999
"120","2007-06-25",19.9
"121","2007-06-26",19.950001
"122","2007-06-27",20.379999
"123","2007-06-28",20.6
"124","2007-06-29",20.43
"125","2007-07-02",20.969999
"126","2007-07-03",20.75
"127","2007-07-05",20.6
"128","2007-07-06",21.219999
"129","2007-07-09",20.84
"130","2007-07-10",20.52
"131","2007-07-11",20.58
