"","date","ARDX"
"1","2014-06-19",14.11
"2","2014-06-20",14.31
"3","2014-06-23",15.15
"4","2014-06-24",15.81
"5","2014-06-25",15.45
"6","2014-06-26",15.54
"7","2014-06-27",15.96
"8","2014-06-30",15.97
"9","2014-07-01",17.74
"10","2014-07-02",19.440001
"11","2014-07-03",20.440001
"12","2014-07-07",19
"13","2014-07-08",17.700001
"14","2014-07-09",17.92
"15","2014-07-10",16.5
"16","2014-07-11",17.75
"17","2014-07-14",16.51
"18","2014-07-15",16.5
"19","2014-07-16",16.389999
"20","2014-07-17",16.24
"21","2014-07-18",16.200001
"22","2014-07-21",15.2
"23","2014-07-22",16.25
"24","2014-07-23",15.91
"25","2014-07-24",15.79
"26","2014-07-25",15.69
"27","2014-07-28",15.37
"28","2014-07-29",15.65
"29","2014-07-30",15.2
"30","2014-07-31",14.46
"31","2014-08-01",13.23
"32","2014-08-04",13.39
"33","2014-08-05",13.02
"34","2014-08-06",12.36
"35","2014-08-07",12.03
"36","2014-08-08",11.7
"37","2014-08-11",11.86
"38","2014-08-12",11.97
"39","2014-08-13",12.09
"40","2014-08-14",11.99
"41","2014-08-15",11.65
"42","2014-08-18",12.24
"43","2014-08-19",12.46
"44","2014-08-20",12.885
"45","2014-08-21",12.46
"46","2014-08-22",12.6
"47","2014-08-25",13.24
"48","2014-08-26",13.44
"49","2014-08-27",13.9
"50","2014-08-28",14.93
"51","2014-08-29",14.96
"52","2014-09-02",14.62
"53","2014-09-03",14.37
"54","2014-09-04",14.175
"55","2014-09-05",13.98
"56","2014-09-08",14.32
"57","2014-09-09",13.75
"58","2014-09-10",13.76
"59","2014-09-11",12.98
"60","2014-09-12",12.7
"61","2014-09-15",13.91
"62","2014-09-16",13.69
"63","2014-09-17",13.04
"64","2014-09-18",13.24
"65","2014-09-19",12.71
"66","2014-09-22",12.89
"67","2014-09-23",14.01
"68","2014-09-24",14.08
"69","2014-09-25",13.95
"70","2014-09-26",14.14
"71","2014-09-29",14.39
"72","2014-09-30",14.21
"73","2014-10-01",19
"74","2014-10-02",19.379999
"75","2014-10-03",22.48
"76","2014-10-06",24.129999
"77","2014-10-07",22.450001
"78","2014-10-08",21
"79","2014-10-09",19.01
"80","2014-10-10",19.610001
"81","2014-10-13",20.24
"82","2014-10-14",20
"83","2014-10-15",19.08
"84","2014-10-16",20.77
"85","2014-10-17",20.790001
"86","2014-10-20",19.98
"87","2014-10-21",21.16
"88","2014-10-22",23.5
"89","2014-10-23",22.98
"90","2014-10-24",21.35
"91","2014-10-27",20.09
"92","2014-10-28",20.299999
"93","2014-10-29",20.389999
"94","2014-10-30",19.91
"95","2014-10-31",21.93
"96","2014-11-03",22.58
"97","2014-11-04",22.42
"98","2014-11-05",23.139999
"99","2014-11-06",24.01
"100","2014-11-07",23.49
"101","2014-11-10",22.690001
"102","2014-11-11",21.91
"103","2014-11-12",21.6
"104","2014-11-13",21.65
"105","2014-11-14",21.639999
"106","2014-11-17",20.26
"107","2014-11-18",21.33
"108","2014-11-19",20.969999
"109","2014-11-20",22.17
"110","2014-11-21",22.809999
"111","2014-11-24",23.84
"112","2014-11-25",23.92
"113","2014-11-26",26.27
"114","2014-11-28",26.77
"115","2014-12-01",27.809999
"116","2014-12-02",29.200001
"117","2014-12-03",32.889999
"118","2014-12-04",32.740002
"119","2014-12-05",32.830002
"120","2014-12-08",30.870001
"121","2014-12-09",30.17
"122","2014-12-10",28.75
"123","2014-12-11",28.459999
"124","2014-12-12",30.35
"125","2014-12-15",23.059999
"126","2014-12-16",23.32
"127","2014-12-17",23.43
"128","2014-12-18",24.049999
"129","2014-12-19",23.860001
"130","2014-12-22",23.9
"131","2014-12-23",22.709999
"132","2014-12-24",20.969999
"133","2014-12-26",21.440001
"134","2014-12-29",20.23
"135","2014-12-30",19.030001
"136","2014-12-31",18.889999
"137","2015-01-02",20.26
"138","2015-01-05",21.959999
"139","2015-01-06",23.02
"140","2015-01-07",23.33
"141","2015-01-08",23.549999
"142","2015-01-09",23.5
"143","2015-01-12",23.75
"144","2015-01-13",23.790001
"145","2015-01-14",24.32
"146","2015-01-15",24.27
"147","2015-01-16",25.57
"148","2015-01-20",25.379999
