"","date","AUDC"
"1","2007-01-03",9.55
"2","2007-01-04",9.46
"3","2007-01-05",9.47
"4","2007-01-08",9.8
"5","2007-01-09",9.58
"6","2007-01-10",9.5
"7","2007-01-11",9.52
"8","2007-01-12",9.53
"9","2007-01-16",9.51
"10","2007-01-17",9.5
"11","2007-01-18",9.54
"12","2007-01-19",9.73
"13","2007-01-22",9.77
"14","2007-01-23",9.99
"15","2007-01-24",10.25
"16","2007-01-25",10.17
"17","2007-01-26",10.11
"18","2007-01-29",10.15
"19","2007-01-30",10.1
"20","2007-01-31",9.9
"21","2007-02-01",10.08
"22","2007-02-02",10
"23","2007-02-05",9.75
"24","2007-02-06",10.12
"25","2007-02-07",10.24
"26","2007-02-08",10.29
"27","2007-02-09",10.18
"28","2007-02-12",10.11
"29","2007-02-13",10.09
"30","2007-02-14",10.16
"31","2007-02-15",10.19
"32","2007-02-16",10.2
"33","2007-02-20",10.08
"34","2007-02-21",10.1
"35","2007-02-22",10.03
"36","2007-02-23",10.22
"37","2007-02-26",10.13
"38","2007-02-27",9.9
"39","2007-02-28",9.75
"40","2007-03-01",9.64
"41","2007-03-02",9.6
"42","2007-03-05",9.38
"43","2007-03-06",9.59
"44","2007-03-07",9.4
"45","2007-03-08",9.44
"46","2007-03-09",9.42
"47","2007-03-12",9.6
"48","2007-03-13",9.54
"49","2007-03-14",7.44
"50","2007-03-15",6.83
"51","2007-03-16",6.84
"52","2007-03-19",6.77
"53","2007-03-20",6.68
"54","2007-03-21",6.82
"55","2007-03-22",6.88
"56","2007-03-23",6.8
"57","2007-03-26",6.85
"58","2007-03-27",6.79
"59","2007-03-28",6.79
"60","2007-03-29",6.8
"61","2007-03-30",6.76
"62","2007-04-02",6.61
"63","2007-04-03",6.65
"64","2007-04-04",6.69
"65","2007-04-05",6.74
"66","2007-04-09",6.74
"67","2007-04-10",6.71
"68","2007-04-11",6.64
"69","2007-04-12",6.74
"70","2007-04-13",6.81
"71","2007-04-16",6.9
"72","2007-04-17",6.93
"73","2007-04-18",7.03
"74","2007-04-19",6.94
"75","2007-04-20",7.02
"76","2007-04-23",6.97
"77","2007-04-24",7.01
"78","2007-04-25",6.96
"79","2007-04-26",6.9
"80","2007-04-27",6.9
"81","2007-04-30",6.7
"82","2007-05-01",6.44
"83","2007-05-02",6.03
"84","2007-05-03",6.1
"85","2007-05-04",6.06
"86","2007-05-07",5.97
"87","2007-05-08",5.91
"88","2007-05-09",6.02
"89","2007-05-10",5.8
"90","2007-05-11",5.8
"91","2007-05-14",5.86
"92","2007-05-15",5.75
"93","2007-05-16",5.68
"94","2007-05-17",5.62
"95","2007-05-18",5.61
"96","2007-05-21",5.64
"97","2007-05-22",5.7
"98","2007-05-23",5.75
"99","2007-05-24",5.67
"100","2007-05-25",5.64
"101","2007-05-29",5.59
"102","2007-05-30",5.5
"103","2007-05-31",5.32
"104","2007-06-01",5.47
"105","2007-06-04",5.54
"106","2007-06-05",5.52
"107","2007-06-06",5.56
"108","2007-06-07",5.5
"109","2007-06-08",5.48
"110","2007-06-11",5.49
"111","2007-06-12",5.43
"112","2007-06-13",5.37
"113","2007-06-14",5.39
"114","2007-06-15",5.43
"115","2007-06-18",5.51
"116","2007-06-19",5.67
"117","2007-06-20",5.6
"118","2007-06-21",5.7
"119","2007-06-22",5.72
"120","2007-06-25",5.61
"121","2007-06-26",5.55
"122","2007-06-27",5.52
"123","2007-06-28",5.63
"124","2007-06-29",5.62
"125","2007-07-02",5.8
"126","2007-07-03",5.84
"127","2007-07-05",6.04
"128","2007-07-06",6.07
"129","2007-07-09",6
"130","2007-07-10",5.99
"131","2007-07-11",6.12
"132","2007-07-12",6.07
"133","2007-07-13",6.09
"134","2007-07-16",6.04
"135","2007-07-17",6.28
"136","2007-07-18",6.32
"137","2007-07-19",6.5
"138","2007-07-20",6.35
"139","2007-07-23",6.34
"140","2007-07-24",6.07
"141","2007-07-25",5.96
"142","2007-07-26",5.78
"143","2007-07-27",5.66
"144","2007-07-30",5.64
"145","2007-07-31",5.56
"146","2007-08-01",5.5
"147","2007-08-02",5.44
"148","2007-08-03",5.3
"149","2007-08-06",5.11
"150","2007-08-07",5.49
"151","2007-08-08",5.44
"152","2007-08-09",5.24
