"","date","ARA"
"1","2016-04-20",22
"2","2016-04-21",26.5
"3","2016-04-22",26.6
"4","2016-04-25",26.889999
"5","2016-04-26",28.139999
"6","2016-04-27",27.5
"7","2016-04-28",27.5
"8","2016-04-29",28.120001
"9","2016-05-02",27.799999
"10","2016-05-03",27.76
"11","2016-05-04",27.799999
"12","2016-05-05",27.530001
"13","2016-05-06",27.27
"14","2016-05-09",27.59
"15","2016-05-10",27.58
"16","2016-05-11",27.9
"17","2016-05-12",27.23
"18","2016-05-13",27.709999
"19","2016-05-16",28.35
"20","2016-05-17",27.6
"21","2016-05-18",27.52
"22","2016-05-19",27.65
"23","2016-05-20",27.610001
"24","2016-05-23",27.48
"25","2016-05-24",27.33
"26","2016-05-25",27.059999
"27","2016-05-26",27.290001
"28","2016-05-27",27.200001
"29","2016-05-31",27.99
"30","2016-06-01",28.030001
"31","2016-06-02",28.25
"32","2016-06-03",28.26
"33","2016-06-06",28.91
"34","2016-06-07",28.51
"35","2016-06-08",28.6
"36","2016-06-09",29
"37","2016-06-10",28.959999
"38","2016-06-13",29.209999
"39","2016-06-14",28.9
"40","2016-06-15",28.559999
"41","2016-06-16",27.74
"42","2016-06-17",27.379999
"43","2016-06-20",27.110001
"44","2016-06-21",27.15
"45","2016-06-22",26.299999
"46","2016-06-23",27.950001
"47","2016-06-24",28.110001
"48","2016-06-27",27.67
"49","2016-06-28",28.4
"50","2016-06-29",29
"51","2016-06-30",28.969999
"52","2016-07-01",28.530001
"53","2016-07-05",25.709999
"54","2016-07-06",25.5
"55","2016-07-07",25.690001
"56","2016-07-08",25.68
"57","2016-07-11",27.379999
"58","2016-07-12",27.01
"59","2016-07-13",26.799999
"60","2016-07-14",26.35
"61","2016-07-15",25.959999
"62","2016-07-18",25.780001
"63","2016-07-19",25.639999
"64","2016-07-20",26.57
"65","2016-07-21",26.59
"66","2016-07-22",26.6
"67","2016-07-25",26.610001
"68","2016-07-26",26.59
"69","2016-07-27",24.41
"70","2016-07-28",23.98
"71","2016-07-29",23.85
"72","2016-08-01",22.700001
"73","2016-08-02",21.870001
"74","2016-08-03",22.870001
"75","2016-08-04",22.790001
"76","2016-08-05",22.85
"77","2016-08-08",22.68
"78","2016-08-09",22.75
"79","2016-08-10",23.780001
"80","2016-08-11",23.299999
"81","2016-08-12",22.98
"82","2016-08-15",23.34
"83","2016-08-16",23.59
"84","2016-08-17",22.709999
"85","2016-08-18",22.120001
"86","2016-08-19",19.809999
"87","2016-08-22",20.33
"88","2016-08-23",21.65
"89","2016-08-24",21.540001
"90","2016-08-25",21.58
"91","2016-08-26",21.35
"92","2016-08-29",22.01
"93","2016-08-30",22.209999
"94","2016-08-31",21.23
"95","2016-09-01",20.76
"96","2016-09-02",21.07
"97","2016-09-06",21.309999
"98","2016-09-07",21.07
"99","2016-09-08",20.68
"100","2016-09-09",19.950001
"101","2016-09-12",20.190001
"102","2016-09-13",19.690001
"103","2016-09-14",19.440001
"104","2016-09-15",19.610001
"105","2016-09-16",19.27
"106","2016-09-19",18.790001
"107","2016-09-20",18.549999
"108","2016-09-21",18.67
"109","2016-09-22",19.219999
"110","2016-09-23",19.110001
"111","2016-09-26",18.780001
"112","2016-09-27",18.700001
"113","2016-09-28",18.66
"114","2016-09-29",18.030001
"115","2016-09-30",18.27
"116","2016-10-03",17.73
"117","2016-10-04",17.74
"118","2016-10-05",17.879999
"119","2016-10-06",17.700001
"120","2016-10-07",17.6
"121","2016-10-10",17.91
"122","2016-10-11",17.58
"123","2016-10-12",18.1
"124","2016-10-13",17.85
"125","2016-10-14",18.02
"126","2016-10-17",17.76
"127","2016-10-18",17.66
"128","2016-10-19",18.309999
"129","2016-10-20",18.24
"130","2016-10-21",18.15
"131","2016-10-24",18.59
"132","2016-10-25",18.91
"133","2016-10-26",18.799999
"134","2016-10-27",17.870001
"135","2016-10-28",17.07
"136","2016-10-31",17.66
"137","2016-11-01",17.790001
"138","2016-11-02",18.049999
"139","2016-11-03",17.129999
"140","2016-11-04",17.42
"141","2016-11-07",18.549999
"142","2016-11-08",18.27
"143","2016-11-09",18.58
"144","2016-11-10",18.01
"145","2016-11-11",19.57
"146","2016-11-14",20.17
"147","2016-11-15",22.25
"148","2016-11-16",22.940001
"149","2016-11-17",24.93
