"","date","SAMA"
"1","2019-01-09",9.65
"2","2019-01-10",9.7
"3","2019-01-11",9.65
"4","2019-01-14",9.63
"5","2019-01-15",9.63
"6","2019-01-16",9.58
"7","2019-01-17",9.628
"8","2019-01-18",9.628
"9","2019-01-22",9.628
"10","2019-01-23",9.65
"11","2019-01-24",9.6
"12","2019-01-25",9.6
"13","2019-01-28",9.64
"14","2019-01-29",9.67
"15","2019-01-30",9.67
"16","2019-01-31",9.67
"17","2019-02-01",9.67
"18","2019-02-04",9.67
"19","2019-02-05",9.67
"20","2019-02-06",9.72
"21","2019-02-07",9.651
"22","2019-02-08",9.7
"23","2019-02-11",9.72
"24","2019-02-12",9.72
"25","2019-02-13",9.75
"26","2019-02-14",9.75
"27","2019-02-15",9.75
"28","2019-02-19",9.7
"29","2019-02-20",9.71
"30","2019-02-21",9.71
"31","2019-02-22",9.78
"32","2019-02-25",9.78
"33","2019-02-26",9.78
"34","2019-02-27",9.78
"35","2019-02-28",9.78
"36","2019-03-01",9.78
"37","2019-03-04",9.78
"38","2019-03-05",9.78
"39","2019-03-06",9.78
"40","2019-03-07",9.78
"41","2019-03-08",9.78
"42","2019-03-11",9.72
"43","2019-03-12",9.72
"44","2019-03-13",9.72
"45","2019-03-14",9.77
"46","2019-03-15",9.75
"47","2019-03-18",9.75
"48","2019-03-19",9.75
"49","2019-03-20",9.75
"50","2019-03-21",9.75
"51","2019-03-22",9.75
"52","2019-03-25",9.75
"53","2019-03-26",9.75
"54","2019-03-27",9.75
"55","2019-03-28",9.75
"56","2019-03-29",9.75
"57","2019-04-01",9.75
"58","2019-04-02",9.75
"59","2019-04-03",9.75
"60","2019-04-04",9.75
"61","2019-04-05",9.75
"62","2019-04-08",9.75
"63","2019-04-09",9.82
"64","2019-04-10",9.82
"65","2019-04-11",9.82
"66","2019-04-12",9.82
"67","2019-04-15",9.82
"68","2019-04-16",9.82
"69","2019-04-17",9.82
"70","2019-04-18",9.83
"71","2019-04-22",9.879
"72","2019-04-23",9.879
"73","2019-04-24",9.879
"74","2019-04-25",9.85
"75","2019-04-26",9.85
"76","2019-04-29",9.84
"77","2019-04-30",9.84
"78","2019-05-01",9.84
"79","2019-05-02",9.84
"80","2019-05-03",9.84
"81","2019-05-06",9.82
"82","2019-05-07",9.86
"83","2019-05-08",9.86
"84","2019-05-09",9.86
"85","2019-05-10",9.86
"86","2019-05-13",9.86
"87","2019-05-14",9.86
"88","2019-05-15",9.94
"89","2019-05-16",9.94
"90","2019-05-17",9.94
"91","2019-05-20",9.94
"92","2019-05-21",9.94
