"","date","GNRS"
"1","2020-05-22",9.61
"2","2020-05-26",9.61
"3","2020-05-27",9.7
"4","2020-05-28",9.7
"5","2020-05-29",9.7
"6","2020-06-01",9.7
"7","2020-06-02",9.7
"8","2020-06-03",9.7
"9","2020-06-04",9.7
"10","2020-06-05",9.7
"11","2020-06-08",9.7
"12","2020-06-09",9.7
"13","2020-06-10",9.75
"14","2020-06-11",9.75
"15","2020-06-12",9.75
"16","2020-06-15",9.7
"17","2020-06-16",9.818
"18","2020-06-17",9.75
"19","2020-06-18",9.75
"20","2020-06-19",9.79
"21","2020-06-22",9.79
"22","2020-06-23",9.85
"23","2020-06-24",9.81
"24","2020-06-25",9.786
"25","2020-06-26",9.8
"26","2020-06-29",9.85
"27","2020-06-30",9.82
"28","2020-07-01",9.86
"29","2020-07-02",9.87
"30","2020-07-06",9.87
"31","2020-07-07",9.85
"32","2020-07-08",9.88
"33","2020-07-09",9.87
"34","2020-07-10",9.95
"35","2020-07-13",9.92
"36","2020-07-14",9.92
"37","2020-07-15",10.05
"38","2020-07-16",10.05
"39","2020-07-17",10.05
"40","2020-07-20",10.05
"41","2020-07-21",10.01
"42","2020-07-22",10.01
"43","2020-07-23",10.027
"44","2020-07-24",9.88
"45","2020-07-27",9.893
"46","2020-07-28",9.85
"47","2020-07-29",9.75
"48","2020-07-30",9.75
"49","2020-07-31",9.76
"50","2020-08-03",9.88
"51","2020-08-04",9.75
"52","2020-08-05",9.75
"53","2020-08-06",9.75
"54","2020-08-07",9.8
"55","2020-08-10",9.8
"56","2020-08-11",9.8
"57","2020-08-12",9.8
"58","2020-08-13",9.8
"59","2020-08-14",9.8
"60","2020-08-17",9.82
"61","2020-08-18",9.79
"62","2020-08-19",9.8
"63","2020-08-20",9.85
"64","2020-08-21",9.85
"65","2020-08-24",9.85
"66","2020-08-25",9.85
"67","2020-08-26",9.899
"68","2020-08-27",9.899
"69","2020-08-28",9.85
"70","2020-08-31",9.89
"71","2020-09-01",9.9
"72","2020-09-02",9.9
"73","2020-09-03",9.85
"74","2020-09-04",9.88
"75","2020-09-08",9.855
"76","2020-09-09",9.855
"77","2020-09-10",9.8
"78","2020-09-11",9.8
"79","2020-09-14",9.83
"80","2020-09-15",9.82
"81","2020-09-16",9.845
"82","2020-09-17",9.8
"83","2020-09-18",9.84
"84","2020-09-21",9.84
"85","2020-09-22",9.82
"86","2020-09-23",9.77
"87","2020-09-24",9.82
"88","2020-09-25",9.8
"89","2020-09-28",9.8
"90","2020-09-29",9.83
"91","2020-09-30",9.77
"92","2020-10-01",9.83
"93","2020-10-02",9.77
"94","2020-10-05",9.8
"95","2020-10-06",9.77
"96","2020-10-07",9.75
"97","2020-10-08",9.775
"98","2020-10-09",9.75
"99","2020-10-12",9.762
"100","2020-10-13",9.785
"101","2020-10-14",9.8
"102","2020-10-15",9.8
"103","2020-10-16",9.8
"104","2020-10-19",9.8
"105","2020-10-20",9.74
"106","2020-10-21",9.75
"107","2020-10-22",9.74
"108","2020-10-23",9.74
"109","2020-10-26",9.75
"110","2020-10-27",9.74
"111","2020-10-28",9.74
"112","2020-10-29",9.74
"113","2020-10-30",9.72
"114","2020-11-02",9.73
"115","2020-11-03",9.75
"116","2020-11-04",9.79
"117","2020-11-05",9.761
"118","2020-11-06",9.78
"119","2020-11-09",9.79
"120","2020-11-10",9.81
"121","2020-11-11",9.84
"122","2020-11-12",9.88
"123","2020-11-13",9.841
"124","2020-11-16",9.82
"125","2020-11-17",9.8
"126","2020-11-18",9.845
"127","2020-11-19",9.8
"128","2020-11-20",9.84
"129","2020-11-23",9.84
"130","2020-11-24",9.87
"131","2020-11-25",9.89
"132","2020-11-27",9.84
