"","date","HURC"
"1","2007-01-03",32.73
"2","2007-01-04",32.32
"3","2007-01-05",31.77
"4","2007-01-08",30.75
"5","2007-01-09",31.99
"6","2007-01-10",31.33
"7","2007-01-11",31.1
"8","2007-01-12",31.950001
"9","2007-01-16",31.48
"10","2007-01-17",31.42
"11","2007-01-18",31.780001
"12","2007-01-19",32.25
"13","2007-01-22",31.950001
"14","2007-01-23",31.559999
"15","2007-01-24",32.299999
"16","2007-01-25",31.51
"17","2007-01-26",31.77
"18","2007-01-29",32.099998
"19","2007-01-30",32.790001
"20","2007-01-31",33.110001
"21","2007-02-01",33.959999
"22","2007-02-02",34.48
"23","2007-02-05",34.25
"24","2007-02-06",34.110001
"25","2007-02-07",33.700001
"26","2007-02-08",34.950001
"27","2007-02-09",35.139999
"28","2007-02-12",34.720001
"29","2007-02-13",34.720001
"30","2007-02-14",34.759998
"31","2007-02-15",35.16
"32","2007-02-16",42.75
"33","2007-02-20",44.91
"34","2007-02-21",45.490002
"35","2007-02-22",45.599998
"36","2007-02-23",44.48
"37","2007-02-26",44.310001
"38","2007-02-27",41.869999
"39","2007-02-28",38.68
"40","2007-03-01",38.560001
"41","2007-03-02",39.91
"42","2007-03-05",40.060001
"43","2007-03-06",43.799999
"44","2007-03-07",43.709999
"45","2007-03-08",44.490002
"46","2007-03-09",44.279999
"47","2007-03-12",44.299999
"48","2007-03-13",42.810001
"49","2007-03-14",42.27
"50","2007-03-15",44.009998
"51","2007-03-16",44.119999
"52","2007-03-19",44.34
"53","2007-03-20",46.09
"54","2007-03-21",46.919998
"55","2007-03-22",45.720001
"56","2007-03-23",42.150002
"57","2007-03-26",42.240002
"58","2007-03-27",41.560001
"59","2007-03-28",41.470001
"60","2007-03-29",40.810001
"61","2007-03-30",42.849998
"62","2007-04-02",41.650002
"63","2007-04-03",41.650002
"64","2007-04-04",41.91
"65","2007-04-05",41.93
"66","2007-04-09",41.720001
"67","2007-04-10",40.099998
"68","2007-04-11",40.580002
"69","2007-04-12",41.029999
"70","2007-04-13",40.77
"71","2007-04-16",42.130001
"72","2007-04-17",42.990002
"73","2007-04-18",42.540001
"74","2007-04-19",42.200001
"75","2007-04-20",42.77
"76","2007-04-23",43.689999
"77","2007-04-24",42.93
"78","2007-04-25",43.48
"79","2007-04-26",44.5
"80","2007-04-27",45.700001
"81","2007-04-30",44.110001
"82","2007-05-01",43.5
"83","2007-05-02",44.849998
"84","2007-05-03",45.279999
"85","2007-05-04",45.099998
"86","2007-05-07",46.549999
"87","2007-05-08",47.07
"88","2007-05-09",47.549999
"89","2007-05-10",48.490002
"90","2007-05-11",49.360001
"91","2007-05-14",49.580002
"92","2007-05-15",47.099998
"93","2007-05-16",47.77
"94","2007-05-17",47.119999
"95","2007-05-18",42.939999
"96","2007-05-21",44.369999
"97","2007-05-22",45.799999
"98","2007-05-23",45.669998
"99","2007-05-24",44.599998
