"","date","LASR"
"221","2019-03-13",21.48
"222","2019-03-14",20.92
"223","2019-03-15",22.110001
"224","2019-03-18",22.26
"225","2019-03-19",22.5
"226","2019-03-20",22.5
"227","2019-03-21",23.110001
"228","2019-03-22",22.389999
"229","2019-03-25",20.790001
"230","2019-03-26",21.27
"231","2019-03-27",21.809999
"232","2019-03-28",22
"233","2019-03-29",22.280001
"234","2019-04-01",22.860001
"235","2019-04-02",23.1
"236","2019-04-03",23.549999
"237","2019-04-04",24.02
"238","2019-04-05",24.85
"239","2019-04-08",24.6
"240","2019-04-09",23.98
"241","2019-04-10",24.040001
"242","2019-04-11",23.219999
"243","2019-04-12",23.49
"244","2019-04-15",23.969999
"245","2019-04-16",24.48
"246","2019-04-17",24.27
"247","2019-04-18",24.469999
"248","2019-04-22",24.799999
"249","2019-04-23",25.059999
"250","2019-04-24",25.23
"251","2019-04-25",25.5
"252","2019-04-26",26.02
"253","2019-04-29",25.9
"254","2019-04-30",26.129999
"255","2019-05-01",26.209999
"256","2019-05-02",25.74
"257","2019-05-03",26.700001
"258","2019-05-06",25.83
"259","2019-05-07",25.709999
"260","2019-05-08",24.139999
"261","2019-05-09",24.950001
"262","2019-05-10",25.030001
"263","2019-05-13",22.49
"264","2019-05-14",23.370001
"265","2019-05-15",23.549999
"266","2019-05-16",22.5
"267","2019-05-17",21.16
"268","2019-05-20",20.67
"269","2019-05-21",20.92
"270","2019-05-22",21.02
"271","2019-05-23",19.459999
"272","2019-05-24",19.629999
"273","2019-05-28",19.549999
"274","2019-05-29",19.08
"275","2019-05-30",19.379999
"276","2019-05-31",18.690001
"277","2019-06-03",18.49
"278","2019-06-04",19.16
"279","2019-06-05",19.27
"280","2019-06-06",19
"281","2019-06-07",19.09
"282","2019-06-10",18.790001
"283","2019-06-11",18.059999
"284","2019-06-12",18.75
"285","2019-06-13",18.6
"286","2019-06-14",18.49
"287","2019-06-17",18.450001
"288","2019-06-18",18.98
"289","2019-06-19",18.870001
"290","2019-06-20",19.219999
"291","2019-06-21",19.23
"292","2019-06-24",18.83
"293","2019-06-25",18.08
"294","2019-06-26",17.98
"295","2019-06-27",18.469999
"296","2019-06-28",19.200001
"297","2019-07-01",19.58
"298","2019-07-02",18.950001
"299","2019-07-03",18.85
"300","2019-07-05",18.57
"301","2019-07-08",17.879999
"302","2019-07-09",17.200001
"303","2019-07-10",16.84
"304","2019-07-11",16.219999
"305","2019-07-12",16.389999
"306","2019-07-15",15.95
"307","2019-07-16",15.56
"308","2019-07-17",15.44
"309","2019-07-18",15
"310","2019-07-19",15.2
"311","2019-07-22",16.18
"312","2019-07-23",17
"313","2019-07-24",17.469999
"314","2019-07-25",17.129999
"315","2019-07-26",17.18
"316","2019-07-29",16.719999
"317","2019-07-30",17.040001
"318","2019-07-31",16.440001
"319","2019-08-01",15.63
"320","2019-08-02",15.31
"321","2019-08-05",14.43
"322","2019-08-06",13.93
"323","2019-08-07",14.56
"324","2019-08-08",14.76
"325","2019-08-09",14.6
"326","2019-08-12",14.45
"327","2019-08-13",14.85
"328","2019-08-14",14.14
"329","2019-08-15",13.92
"330","2019-08-16",14.14
"331","2019-08-19",14.45
"332","2019-08-20",14.19
"333","2019-08-21",14.39
"334","2019-08-22",14.35
"335","2019-08-23",13.65
"336","2019-08-26",13.29
"337","2019-08-27",12.7
"338","2019-08-28",12.73
"339","2019-08-29",12.88
"340","2019-08-30",12.92
"341","2019-09-03",13.37
"342","2019-09-04",13.64
"343","2019-09-05",14.78
"344","2019-09-06",14.86
"345","2019-09-09",15.43
"346","2019-09-10",16.059999
"347","2019-09-11",16.33
"348","2019-09-12",16.459999
"349","2019-09-13",16.440001
"350","2019-09-16",16.42
"351","2019-09-17",16.01
"352","2019-09-18",16.059999
"353","2019-09-19",16.030001
"354","2019-09-20",15.81
"355","2019-09-23",15.35
"356","2019-09-24",15.06
"357","2019-09-25",15.3
"358","2019-09-26",15.26
"359","2019-09-27",15.36
"360","2019-09-30",15.66
"361","2019-10-01",14.82
"362","2019-10-02",14.81
"363","2019-10-03",14.69
"364","2019-10-04",14.745
"365","2019-10-07",14.73
"366","2019-10-08",14.42
"367","2019-10-09",14.4
"368","2019-10-10",14.57
"369","2019-10-11",14.45
"370","2019-10-14",13.705
"371","2019-10-15",13.82
"372","2019-10-16",13.67
"373","2019-10-17",14.17
"374","2019-10-18",13.47
"375","2019-10-21",13.55
"376","2019-10-22",14.2
"377","2019-10-23",14
"378","2019-10-24",13.92
"379","2019-10-25",14.19
"380","2019-10-28",14.6
"381","2019-10-29",13.33
"382","2019-10-30",13.62
"383","2019-10-31",13.36
"384","2019-11-01",14.1
"385","2019-11-04",14.61
"386","2019-11-05",15.92
"387","2019-11-06",16.809999
"388","2019-11-07",16.98
"389","2019-11-08",16.57
"390","2019-11-11",16.76
"391","2019-11-12",17.15
"392","2019-11-13",17.120001
"393","2019-11-14",16.959999
"394","2019-11-15",20.620001
"395","2019-11-18",19.889999
"396","2019-11-19",19.82
"397","2019-11-20",19.99
"398","2019-11-21",19.959999
"399","2019-11-22",19.49
"400","2019-11-25",19.790001
"401","2019-11-26",19.809999
"402","2019-11-27",19.83
"403","2019-11-29",19.93
"404","2019-12-02",19.370001
"405","2019-12-03",19.209999
"406","2019-12-04",19.84
"407","2019-12-05",19.719999
"408","2019-12-06",19.84
"409","2019-12-09",19.280001
"410","2019-12-10",19.129999
"411","2019-12-11",19.68
"412","2019-12-12",20.4
"413","2019-12-13",19.889999
"414","2019-12-16",20.639999
"415","2019-12-17",20.35
"416","2019-12-18",20.09
"417","2019-12-19",19.940001
"418","2019-12-20",19.6
"419","2019-12-23",19.540001
"420","2019-12-24",19.42
"421","2019-12-26",19.99
"422","2019-12-27",19.709999
"423","2019-12-30",20.059999
"424","2019-12-31",20.280001
"425","2020-01-02",20.219999
"426","2020-01-03",19.799999
"427","2020-01-06",20.059999
"428","2020-01-07",20.370001
"429","2020-01-08",21.299999
"430","2020-01-09",20.889999
"431","2020-01-10",20.4
"432","2020-01-13",20.959999
"433","2020-01-14",21.08
"434","2020-01-15",21.129999
"435","2020-01-16",21.65
"436","2020-01-17",21.52
"437","2020-01-21",21.290001
"438","2020-01-22",20.83
"439","2020-01-23",21.15
"440","2020-01-24",20.540001
"441","2020-01-27",19.6
"442","2020-01-28",19.43
"443","2020-01-29",18.74
"444","2020-01-30",18.9
"445","2020-01-31",17.57
"446","2020-02-03",17.66
"447","2020-02-04",19.219999
"448","2020-02-05",20.07
"449","2020-02-06",20.309999
"450","2020-02-07",19.42
"451","2020-02-10",19.360001
"452","2020-02-11",20.08
"453","2020-02-12",20.93
"454","2020-02-13",20.620001
"455","2020-02-14",19.49
"456","2020-02-18",18.549999
"457","2020-02-19",19.99
"458","2020-02-20",19.83
"459","2020-02-21",17.885
"460","2020-02-24",16.92
"461","2020-02-25",16.280001
"462","2020-02-26",15.94
"463","2020-02-27",15.23
"464","2020-02-28",16.51
"465","2020-03-02",16.389999
"466","2020-03-03",15.34
"467","2020-03-04",16.200001
"468","2020-03-05",15.55
"469","2020-03-06",14.89
"470","2020-03-09",13.45
"471","2020-03-10",13.25
"472","2020-03-11",12.22
"473","2020-03-12",10.56
"474","2020-03-13",12.44
"475","2020-03-16",11.62
"476","2020-03-17",13.22
"477","2020-03-18",11.57
"478","2020-03-19",11.72
"479","2020-03-20",10.04
"480","2020-03-23",9.49
"481","2020-03-24",10.6
"482","2020-03-25",12.21
"483","2020-03-26",12.41
"484","2020-03-27",11.28
"485","2020-03-30",10.85
"486","2020-03-31",10.49
"487","2020-04-01",9.86
"488","2020-04-02",9.55
"489","2020-04-03",9.39
"490","2020-04-06",10.42
"491","2020-04-07",12.1
"492","2020-04-08",13.01
"493","2020-04-09",13.83
"494","2020-04-13",13.26
"495","2020-04-14",13.71
"496","2020-04-15",13.52
"497","2020-04-16",13.19
"498","2020-04-17",14.26
"499","2020-04-20",13.53
"500","2020-04-21",13.39
"501","2020-04-22",13.93
"502","2020-04-23",13.93
"503","2020-04-24",14.3
"504","2020-04-27",14.86
"505","2020-04-28",15.7
"506","2020-04-29",17.01
"507","2020-04-30",15.76
"508","2020-05-01",14.79
"509","2020-05-04",15.17
"510","2020-05-05",16.76
"511","2020-05-06",17.889999
"512","2020-05-07",20.27
"513","2020-05-08",21.27
"514","2020-05-11",22.620001
"515","2020-05-12",22.440001
"516","2020-05-13",22.35
"517","2020-05-14",22.139999
"518","2020-05-15",21.379999
"519","2020-05-18",21.860001
"520","2020-05-19",22.35
"521","2020-05-20",22.690001
"522","2020-05-21",22.48
"523","2020-05-22",22.67
"524","2020-05-26",21.200001
"525","2020-05-27",20.950001
"526","2020-05-28",21.5
"527","2020-05-29",21.559999
"528","2020-06-01",21.809999
"529","2020-06-02",21.85
"530","2020-06-03",22.75
"531","2020-06-04",23.99
"532","2020-06-05",24.4
"533","2020-06-08",24.9
"534","2020-06-09",25.129999
"535","2020-06-10",23.35
"536","2020-06-11",20.73
"537","2020-06-12",22.559999
"538","2020-06-15",23
"539","2020-06-16",22.4
"540","2020-06-17",23.34
"541","2020-06-18",23.18
"542","2020-06-19",22.370001
"543","2020-06-22",22.799999
"544","2020-06-23",22.950001
"545","2020-06-24",22.309999
"546","2020-06-25",22.549999
"547","2020-06-26",21.139999
"548","2020-06-29",20.49
"549","2020-06-30",22.26
"550","2020-07-01",21.76
"551","2020-07-02",22.540001
"552","2020-07-06",23.110001
"553","2020-07-07",22.42
"554","2020-07-08",22.139999
"555","2020-07-09",23.07
