"","date","SBRA"
"1","2007-01-03",38.25
"2","2007-01-04",38.16
"3","2007-01-05",37.950001
"4","2007-01-08",38.549999
"5","2007-01-09",38.310001
"6","2007-01-10",38.25
"7","2007-01-11",38.849998
"8","2007-01-12",38.790001
"9","2007-01-16",39.599998
"10","2007-01-17",38.91
"11","2007-01-18",37.32
"12","2007-01-19",37.470001
"13","2007-01-22",36.57
"14","2007-01-23",36.810001
"15","2007-01-24",37.049999
"16","2007-01-25",36.09
"17","2007-01-26",35.880001
"18","2007-01-29",36.029999
"19","2007-01-30",36
"20","2007-01-31",36.959999
"21","2007-02-01",37.59
"22","2007-02-02",37.68
"23","2007-02-05",38.880001
"24","2007-02-06",39.869999
"25","2007-02-07",40.080002
"26","2007-02-08",40.200001
"27","2007-02-09",40.23
"28","2007-02-12",40.560001
"29","2007-02-13",40.950001
"30","2007-02-14",41.099998
"31","2007-02-15",42.060001
"32","2007-02-16",40.98
"33","2007-02-20",41.52
"34","2007-02-21",40.740002
"35","2007-02-22",40.32
"36","2007-02-23",39.990002
"37","2007-02-26",39.720001
"38","2007-02-27",37.59
"39","2007-02-28",39.450001
"40","2007-03-01",38.939999
"41","2007-03-02",36.810001
"42","2007-03-05",36.119999
"43","2007-03-06",37.650002
"44","2007-03-07",37.200001
"45","2007-03-08",37.380001
"46","2007-03-09",38.43
"47","2007-03-12",38.52
"48","2007-03-13",36.779999
"49","2007-03-14",36.689999
"50","2007-03-15",37.080002
"51","2007-03-16",36.240002
"52","2007-03-19",37.049999
"53","2007-03-20",36.599998
"54","2007-03-21",36.09
"55","2007-03-22",36.509998
"56","2007-03-23",38.849998
"57","2007-03-26",38.73
"58","2007-03-27",37.830002
"59","2007-03-28",37.529999
"60","2007-03-29",37.380001
"61","2007-03-30",37.049999
"62","2007-04-02",36.599998
"63","2007-04-03",37.470001
"64","2007-04-04",37.349998
"65","2007-04-05",37.68
"66","2007-04-09",37.110001
"67","2007-04-10",37.110001
"68","2007-04-11",36.599998
"69","2007-04-12",37.110001
"70","2007-04-13",37.259998
"71","2007-04-16",37.41
"72","2007-04-17",36.720001
"73","2007-04-18",36.75
"74","2007-04-19",36.84
"75","2007-04-20",36.57
"76","2007-04-23",36.900002
"77","2007-04-24",36.630001
"78","2007-04-25",36.720001
"79","2007-04-26",37.650002
"80","2007-04-27",37.889999
"81","2007-04-30",37.619999
"82","2007-05-01",36.990002
"83","2007-05-02",39.029999
"84","2007-05-03",40.02
"85","2007-05-04",40.23
