"","date","FNLC"
"1","2007-01-03",16.629999
"2","2007-01-04",16.75
"3","2007-01-05",16.639999
"4","2007-01-08",16.629999
"5","2007-01-09",16.700001
"6","2007-01-10",16.700001
"7","2007-01-11",16.700001
"8","2007-01-12",16.49
"9","2007-01-16",16.610001
"10","2007-01-17",16.610001
"11","2007-01-18",16.41
"12","2007-01-19",16.309999
"13","2007-01-22",16.32
"14","2007-01-23",16.48
"15","2007-01-24",16.48
"16","2007-01-25",16.209999
"17","2007-01-26",16.549999
"18","2007-01-29",16.540001
"19","2007-01-30",16.5
"20","2007-01-31",16.530001
"21","2007-02-01",16.59
"22","2007-02-02",16.540001
"23","2007-02-05",16.549999
"24","2007-02-06",16.549999
"25","2007-02-07",16.360001
"26","2007-02-08",16.35
"27","2007-02-09",16.5
"28","2007-02-12",16.5
"29","2007-02-13",16.360001
"30","2007-02-14",16.360001
"31","2007-02-15",16.49
"32","2007-02-16",16.5
"33","2007-02-20",16.299999
"34","2007-02-21",16.4
"35","2007-02-22",16.4
"36","2007-02-23",16.450001
"37","2007-02-26",16.58
"38","2007-02-27",16.48
"39","2007-02-28",16.57
"40","2007-03-01",16.57
"41","2007-03-02",16.5
"42","2007-03-05",16.370001
"43","2007-03-06",16.360001
"44","2007-03-07",16.360001
"45","2007-03-08",16.360001
"46","2007-03-09",16.360001
"47","2007-03-12",16.24
"48","2007-03-13",16.120001
"49","2007-03-14",16.27
"50","2007-03-15",16.059999
"51","2007-03-16",16.110001
"52","2007-03-19",16.190001
"53","2007-03-20",15.95
"54","2007-03-21",15.95
"55","2007-03-22",15.95
"56","2007-03-23",16.200001
"57","2007-03-26",16
"58","2007-03-27",15.89
"59","2007-03-28",15.99
"60","2007-03-29",15.9
"61","2007-03-30",15.92
"62","2007-04-02",15.78
"63","2007-04-03",15.92
"64","2007-04-04",15.95
"65","2007-04-05",15.85
"66","2007-04-09",16.049999
"67","2007-04-10",16
"68","2007-04-11",16.110001
"69","2007-04-12",15.91
"70","2007-04-13",16.049999
"71","2007-04-16",16.040001
"72","2007-04-17",16.049999
"73","2007-04-18",16.120001
"74","2007-04-19",16.1
"75","2007-04-20",16.15
"76","2007-04-23",16.25
"77","2007-04-24",16.15
"78","2007-04-25",16.15
