"","date","KDMN"
"1","2016-07-27",9.7
"2","2016-07-28",9.6
"3","2016-07-29",8.95
"4","2016-08-01",9.57
"5","2016-08-02",9.74
"6","2016-08-03",9.9
"7","2016-08-04",9.88
"8","2016-08-05",10
"9","2016-08-08",10.04
"10","2016-08-09",10
"11","2016-08-10",10.01
"12","2016-08-11",9.95
"13","2016-08-12",9.95
"14","2016-08-15",10.18
"15","2016-08-16",10.23
"16","2016-08-17",10.049
"17","2016-08-18",10.05
"18","2016-08-19",9.97
"19","2016-08-22",10.01
"20","2016-08-23",10.04
"21","2016-08-24",10
"22","2016-08-25",10.04
"23","2016-08-26",10.06
"24","2016-08-29",10.03
"25","2016-08-30",9.91
"26","2016-08-31",9.75
"27","2016-09-01",9.35
"28","2016-09-02",9.47
"29","2016-09-06",9.24
"30","2016-09-07",9.33
"31","2016-09-08",9.29
"32","2016-09-09",8.76
"33","2016-09-12",8.31
"34","2016-09-13",7.99
"35","2016-09-14",7.77
"36","2016-09-15",7.63
"37","2016-09-16",7.37
"38","2016-09-19",7.81
"39","2016-09-20",8.05
"40","2016-09-21",7.91
"41","2016-09-22",7.76
"42","2016-09-23",8
"43","2016-09-26",7.68
"44","2016-09-27",7.3
"45","2016-09-28",7.4
"46","2016-09-29",7.12
"47","2016-09-30",7.34
"48","2016-10-03",7.37
"49","2016-10-04",7.27
"50","2016-10-05",7.3
"51","2016-10-06",7.17
"52","2016-10-07",7.06
"53","2016-10-10",6.97
"54","2016-10-11",6.65
"55","2016-10-12",6.68
"56","2016-10-13",6.35
"57","2016-10-14",6.36
"58","2016-10-17",6.52
"59","2016-10-18",6.51
"60","2016-10-19",6.4
"61","2016-10-20",6.41
"62","2016-10-21",6.29
"63","2016-10-24",6.38
"64","2016-10-25",6.29
"65","2016-10-26",6.23
"66","2016-10-27",6.01
"67","2016-10-28",5.05
"68","2016-10-31",4.55
"69","2016-11-01",4.71
"70","2016-11-02",4.5
"71","2016-11-03",4.58
"72","2016-11-04",4.65
"73","2016-11-07",4.71
"74","2016-11-08",4.68
"75","2016-11-09",5.48
"76","2016-11-10",5.43
"77","2016-11-11",6.56
"78","2016-11-14",6.66
"79","2016-11-15",6.37
"80","2016-11-16",6.1
"81","2016-11-17",6.11
"82","2016-11-18",6.04
"83","2016-11-21",5.85
"84","2016-11-22",5.5
"85","2016-11-23",5.48
"86","2016-11-25",5.48
"87","2016-11-28",5.39
"88","2016-11-29",5.17
"89","2016-11-30",4.99
"90","2016-12-01",4.98
"91","2016-12-02",5
"92","2016-12-05",5
"93","2016-12-06",5.23
"94","2016-12-07",5.01
"95","2016-12-08",4.9
"96","2016-12-09",4.8
"97","2016-12-12",4.75
"98","2016-12-13",4.7
"99","2016-12-14",4.69
"100","2016-12-15",4.66
"101","2016-12-16",4.39
"102","2016-12-19",4.23
"103","2016-12-20",4.43
"104","2016-12-21",5.65
"105","2016-12-22",5.11
"106","2016-12-23",5.11
"107","2016-12-27",5.48
"108","2016-12-28",5.22
"109","2016-12-29",5.15
"110","2016-12-30",5.35
"111","2017-01-03",5.4
"112","2017-01-04",5.35
"113","2017-01-05",4.78
"114","2017-01-06",5.02
"115","2017-01-09",4.99
"116","2017-01-10",5.02
"117","2017-01-11",4.98
"118","2017-01-12",4.98
"119","2017-01-13",4.99
"120","2017-01-17",4.94
"121","2017-01-18",4.94
"122","2017-01-19",4.86
"123","2017-01-20",4.96
"124","2017-01-23",4.86
"125","2017-01-24",4.86
"126","2017-01-25",4.53
"127","2017-01-26",3.93
"128","2017-01-27",3.94
"129","2017-01-30",3.78
"130","2017-01-31",4.05
"131","2017-02-01",4
"132","2017-02-02",3.84
"133","2017-02-03",3.99
"134","2017-02-06",3.99
"135","2017-02-07",3.92
"136","2017-02-08",3.77
"137","2017-02-09",3.82
"138","2017-02-10",3.8
"139","2017-02-13",3.88
"140","2017-02-14",3.97
"141","2017-02-15",3.97
"142","2017-02-16",4
"143","2017-02-17",4
"144","2017-02-21",4
"145","2017-02-22",3.88
"146","2017-02-23",3.67
"147","2017-02-24",3.59
"148","2017-02-27",3.84
"149","2017-02-28",3.71
"150","2017-03-01",3.65
"151","2017-03-02",3.57
"152","2017-03-03",3.55
"153","2017-03-06",3.59
"154","2017-03-07",3.36
"155","2017-03-08",3.42
"156","2017-03-09",3.28
"157","2017-03-10",3.25
"158","2017-03-13",3.32
