"","date","CAC"
"190","2007-10-03",23.133333
"191","2007-10-04",23.093334
"192","2007-10-05",23.066668
"193","2007-10-08",23.200001
"194","2007-10-09",23.113333
"195","2007-10-10",22.973333
"196","2007-10-11",22.799999
"197","2007-10-12",22.926666
"198","2007-10-15",23.066668
"199","2007-10-16",23.066668
"200","2007-10-17",22.92
"201","2007-10-18",22.786667
"202","2007-10-19",22.686666
"203","2007-10-22",22.360001
"204","2007-10-23",22.186666
"205","2007-10-24",22.193333
"206","2007-10-25",22.08
"207","2007-10-26",21.940001
"208","2007-10-29",21.266666
"209","2007-10-30",21.5
"210","2007-10-31",22.113333
"211","2007-11-01",21.799999
"212","2007-11-02",21.6
"213","2007-11-05",21.666666
"214","2007-11-06",21.98
"215","2007-11-07",21.933332
"216","2007-11-08",22.559999
"217","2007-11-09",22.133333
"218","2007-11-12",22.620001
"219","2007-11-13",22.226667
"220","2007-11-14",22.053333
"221","2007-11-15",21.799999
"222","2007-11-16",21.24
"223","2007-11-19",21.166666
"224","2007-11-20",20.860001
"225","2007-11-21",21
"226","2007-11-23",21.013334
"227","2007-11-26",20.34
"228","2007-11-27",20.299999
"229","2007-11-28",20.493334
"230","2007-11-29",20
"231","2007-11-30",19.686666
"232","2007-12-03",19.233334
"233","2007-12-04",19.1
"234","2007-12-05",19.246666
"235","2007-12-06",19.233334
"236","2007-12-07",19.333334
"237","2007-12-10",19.366667
"238","2007-12-11",19.393333
"239","2007-12-12",19.546667
"240","2007-12-13",19.360001
"241","2007-12-14",19.826666
"242","2007-12-17",19.846666
"243","2007-12-18",19.879999
"244","2007-12-19",19.833334
"245","2007-12-20",18.973333
"246","2007-12-21",18.9
"247","2007-12-24",19
"248","2007-12-26",19.253334
"249","2007-12-27",19.153334
"250","2007-12-28",18.906666
"251","2007-12-31",18.926666
"252","2008-01-02",18.633333
"253","2008-01-03",18.906666
"254","2008-01-04",19.066668
"255","2008-01-07",19.386667
"256","2008-01-08",21
"257","2008-01-09",20.366667
"258","2008-01-10",20.946667
"259","2008-01-11",21.333334
"260","2008-01-14",20.833334
"261","2008-01-15",21.206667
"262","2008-01-16",21.466667
"263","2008-01-17",20.313334
"264","2008-01-18",20.986666
"265","2008-01-22",20.953333
"266","2008-01-23",21.333334
"267","2008-01-24",21.266666
"268","2008-01-25",19.913334
"269","2008-01-28",20.959999
"270","2008-01-29",21.333334
"271","2008-01-30",21.333334
"272","2008-01-31",21.593334
"273","2008-02-01",22.666666
"274","2008-02-04",22.533333
"275","2008-02-05",22.6
"276","2008-02-06",22.733334
"277","2008-02-07",22
"278","2008-02-08",22.346666
"279","2008-02-11",22.666666
"280","2008-02-12",22.959999
"281","2008-02-13",23.206667
"282","2008-02-14",22.553333
"283","2008-02-15",22.459999
"284","2008-02-19",22.219999
"285","2008-02-20",22.186666
"286","2008-02-21",22.146667
"287","2008-02-22",21.113333
"288","2008-02-25",20.906666
"289","2008-02-26",21.046667
"290","2008-02-27",21.333334
"291","2008-02-28",21.42
"292","2008-02-29",21.166666
"293","2008-03-03",20.719999
"294","2008-03-04",21
"295","2008-03-05",21.106667
"296","2008-03-06",20.933332
"297","2008-03-07",21.16
"298","2008-03-10",20.860001
"299","2008-03-11",21.326666
"300","2008-03-12",21.346666
"301","2008-03-13",21.666666
"302","2008-03-14",21.266666
"303","2008-03-17",21.626667
"304","2008-03-18",20.833334
"305","2008-03-19",21.633333
"306","2008-03-20",21.526667
"307","2008-03-24",22.799999
"308","2008-03-25",22.733334
"309","2008-03-26",22.82
"310","2008-03-27",22.666666
"311","2008-03-28",22.286667
"312","2008-03-31",22.426666
"313","2008-04-01",22.346666
"314","2008-04-02",22.459999
"315","2008-04-03",22.366667
"316","2008-04-04",22.200001
"317","2008-04-07",22.799999
"318","2008-04-08",22.006666
