"","date","MMSI"
"1","2007-01-03",12.72
"2","2007-01-04",13.024
"3","2007-01-05",12.872
"4","2007-01-08",12.784
"5","2007-01-09",12.744
"6","2007-01-10",12.312
"7","2007-01-11",12.352
"8","2007-01-12",12.392
"9","2007-01-16",12.352
"10","2007-01-17",12.24
"11","2007-01-18",12
"12","2007-01-19",12
"13","2007-01-22",11.872
"14","2007-01-23",12.04
"15","2007-01-24",12.208
"16","2007-01-25",12.16
"17","2007-01-26",12.264
"18","2007-01-29",12.656
"19","2007-01-30",12.584
"20","2007-01-31",12.608
"21","2007-02-01",12.792
"22","2007-02-02",13.096
"23","2007-02-05",12.992
"24","2007-02-06",13.152
"25","2007-02-07",13.032
"26","2007-02-08",13.064
"27","2007-02-09",12.976
"28","2007-02-12",12.968
"29","2007-02-13",13.104
"30","2007-02-14",12.936
"31","2007-02-15",12.72
"32","2007-02-16",12.592
"33","2007-02-20",12.448
"34","2007-02-21",12.304
"35","2007-02-22",12.256
"36","2007-02-23",12.096
"37","2007-02-26",12.376
"38","2007-02-27",11.384
"39","2007-02-28",11.256
"40","2007-03-01",10.384
"41","2007-03-02",10.144
"42","2007-03-05",10.144
"43","2007-03-06",10.104
"44","2007-03-07",10.112
"45","2007-03-08",10.208
"46","2007-03-09",10.376
"47","2007-03-12",10.464
"48","2007-03-13",10.16
"49","2007-03-14",10.168
"50","2007-03-15",10.192
"51","2007-03-16",10.144
"52","2007-03-19",10.16
"53","2007-03-20",10.2
"54","2007-03-21",10.32
"55","2007-03-22",10.352
"56","2007-03-23",10.4
"57","2007-03-26",10.424
"58","2007-03-27",10.464
"59","2007-03-28",10.312
"60","2007-03-29",10.192
"61","2007-03-30",10.04
"62","2007-04-02",10.24
"63","2007-04-03",10.624
"64","2007-04-04",10.4
"65","2007-04-05",10.456
"66","2007-04-09",10.312
"67","2007-04-10",10.28
"68","2007-04-11",10.024
"69","2007-04-12",10.184
"70","2007-04-13",10.248
"71","2007-04-16",10.264
"72","2007-04-17",10.256
"73","2007-04-18",10.104
"74","2007-04-19",9.8
"75","2007-04-20",9.848
"76","2007-04-23",9.552
"77","2007-04-24",9.816
"78","2007-04-25",9.704
"79","2007-04-26",9.592
"80","2007-04-27",9.52
"81","2007-04-30",9.224
"82","2007-05-01",9.04
"83","2007-05-02",9.584
"84","2007-05-03",9.624
"85","2007-05-04",9.8
"86","2007-05-07",10.048
"87","2007-05-08",10.072
"88","2007-05-09",10.208
"89","2007-05-10",10.128
"90","2007-05-11",10.328
"91","2007-05-14",10.216
"92","2007-05-15",9.928
"93","2007-05-16",9.88
"94","2007-05-17",9.688
"95","2007-05-18",9.536
"96","2007-05-21",9.496
"97","2007-05-22",9.592
"98","2007-05-23",9.552
"99","2007-05-24",9.544
"100","2007-05-25",9.528
"101","2007-05-29",9.464
"102","2007-05-30",9.464
"103","2007-05-31",9.16
"104","2007-06-01",9.336
"105","2007-06-04",9.408
"106","2007-06-05",9.408
"107","2007-06-06",9.408
"108","2007-06-07",9.296
"109","2007-06-08",9.472
"110","2007-06-11",9.272
"111","2007-06-12",9.2
"112","2007-06-13",9.64
"113","2007-06-14",9.592
