"","date","NTCT"
"1","2007-01-03",8.15
"2","2007-01-04",8.26
"3","2007-01-05",8.06
"4","2007-01-08",8.38
"5","2007-01-09",8.49
"6","2007-01-10",8.48
"7","2007-01-11",8.38
"8","2007-01-12",8.59
"9","2007-01-16",8.74
"10","2007-01-17",8.74
"11","2007-01-18",8.57
"12","2007-01-19",8.66
"13","2007-01-22",8.36
"14","2007-01-23",8.46
"15","2007-01-24",8.63
"16","2007-01-25",8.57
"17","2007-01-26",8.5
"18","2007-01-29",8.58
"19","2007-01-30",8.49
"20","2007-01-31",8.35
"21","2007-02-01",8.54
"22","2007-02-02",8.91
"23","2007-02-05",8.79
"24","2007-02-06",8.77
"25","2007-02-07",8.79
"26","2007-02-08",8.82
"27","2007-02-09",8.88
"28","2007-02-12",8.85
"29","2007-02-13",8.91
"30","2007-02-14",8.8
"31","2007-02-15",8.9
"32","2007-02-16",8.99
"33","2007-02-20",8.98
"34","2007-02-21",9
"35","2007-02-22",8.99
"36","2007-02-23",8.68
"37","2007-02-26",8.73
"38","2007-02-27",8.2
"39","2007-02-28",8.63
"40","2007-03-01",8.48
"41","2007-03-02",8.35
"42","2007-03-05",8.53
"43","2007-03-06",8.9
"44","2007-03-07",8.67
"45","2007-03-08",8.64
"46","2007-03-09",8.82
"47","2007-03-12",8.63
"48","2007-03-13",8.48
"49","2007-03-14",8.88
"50","2007-03-15",8.68
"51","2007-03-16",8.44
"52","2007-03-19",8.68
"53","2007-03-20",8.84
"54","2007-03-21",9.16
"55","2007-03-22",9.16
"56","2007-03-23",9.43
"57","2007-03-26",8.99
"58","2007-03-27",8.91
"59","2007-03-28",8.87
"60","2007-03-29",9
"61","2007-03-30",9.05
"62","2007-04-02",9.05
"63","2007-04-03",8.96
"64","2007-04-04",8.82
"65","2007-04-05",8.92
"66","2007-04-09",8.82
"67","2007-04-10",8.99
"68","2007-04-11",8.83
"69","2007-04-12",8.9
"70","2007-04-13",8.9
"71","2007-04-16",8.98
"72","2007-04-17",8.48
"73","2007-04-18",8.49
"74","2007-04-19",8.33
"75","2007-04-20",8.81
"76","2007-04-23",8.54
"77","2007-04-24",8.55
"78","2007-04-25",8.61
"79","2007-04-26",8.69
"80","2007-04-27",8.41
"81","2007-04-30",8.23
"82","2007-05-01",8.34
"83","2007-05-02",8.18
"84","2007-05-03",8.35
"85","2007-05-04",8.39
"86","2007-05-07",7.98
"87","2007-05-08",7.68
"88","2007-05-09",7.56
"89","2007-05-10",7.25
"90","2007-05-11",7.7
"91","2007-05-14",7.67
"92","2007-05-15",7.67
"93","2007-05-16",7.73
"94","2007-05-17",7.51
"95","2007-05-18",7.53
"96","2007-05-21",7.54
"97","2007-05-22",7.77
"98","2007-05-23",7.62
"99","2007-05-24",7.46
"100","2007-05-25",7.9
"101","2007-05-29",7.86
"102","2007-05-30",7.92
"103","2007-05-31",8.09
"104","2007-06-01",8.14
"105","2007-06-04",8.28
"106","2007-06-05",8.25
"107","2007-06-06",8.13
"108","2007-06-07",8.05
"109","2007-06-08",8.04
"110","2007-06-11",8
"111","2007-06-12",7.62
"112","2007-06-13",7.6
"113","2007-06-14",7.93
"114","2007-06-15",8.02
"115","2007-06-18",8.11
"116","2007-06-19",8.4
"117","2007-06-20",8.15
"118","2007-06-21",8
"119","2007-06-22",8.15
"120","2007-06-25",8.75
"121","2007-06-26",8.75
"122","2007-06-27",8.72
"123","2007-06-28",8.68
"124","2007-06-29",8.67
"125","2007-07-02",8.59
"126","2007-07-03",8.41
"127","2007-07-05",8.61
"128","2007-07-06",8.7
"129","2007-07-09",8.74
"130","2007-07-10",8.69
"131","2007-07-11",8.67
"132","2007-07-12",8.79
"133","2007-07-13",8.82
"134","2007-07-16",8.91
"135","2007-07-17",9.05
"136","2007-07-18",9.1
"137","2007-07-19",9.1
"138","2007-07-20",8.88
"139","2007-07-23",9.01
"140","2007-07-24",8.76
"141","2007-07-25",8.96
"142","2007-07-26",8.82
"143","2007-07-27",9.45
"144","2007-07-30",10.04
"145","2007-07-31",9.71
