"","date","CHI"
"1","2007-01-03",20.09
"2","2007-01-04",20.120001
"3","2007-01-05",20.049999
"4","2007-01-08",20
"5","2007-01-09",19.940001
"6","2007-01-10",19.83
"7","2007-01-11",19.870001
"8","2007-01-12",19.870001
"9","2007-01-16",19.969999
"10","2007-01-17",20.02
"11","2007-01-18",20.059999
"12","2007-01-19",20.129999
"13","2007-01-22",20.17
"14","2007-01-23",20.200001
"15","2007-01-24",20.27
"16","2007-01-25",20.280001
"17","2007-01-26",20.309999
"18","2007-01-29",20.26
"19","2007-01-30",20.27
"20","2007-01-31",20.35
"21","2007-02-01",20.33
"22","2007-02-02",20.389999
"23","2007-02-05",20.370001
"24","2007-02-06",20.34
"25","2007-02-07",20.27
"26","2007-02-08",20.25
"27","2007-02-09",20.209999
"28","2007-02-12",20.17
"29","2007-02-13",20.379999
"30","2007-02-14",20.35
"31","2007-02-15",20.26
"32","2007-02-16",20.299999
"33","2007-02-20",20.24
"34","2007-02-21",20.200001
"35","2007-02-22",20.139999
"36","2007-02-23",20.200001
"37","2007-02-26",20.299999
"38","2007-02-27",20.09
"39","2007-02-28",20.280001
"40","2007-03-01",20.110001
"41","2007-03-02",20.059999
"42","2007-03-05",19.809999
"43","2007-03-06",19.870001
"44","2007-03-07",20.030001
"45","2007-03-08",19.91
"46","2007-03-09",19.959999
"47","2007-03-12",20.030001
"48","2007-03-13",19.860001
"49","2007-03-14",19.84
"50","2007-03-15",20.049999
"51","2007-03-16",19.969999
"52","2007-03-19",20.01
"53","2007-03-20",20
"54","2007-03-21",20.09
"55","2007-03-22",20.08
"56","2007-03-23",20.17
"57","2007-03-26",20.15
"58","2007-03-27",20.290001
"59","2007-03-28",20.200001
"60","2007-03-29",20.129999
"61","2007-03-30",20.24
"62","2007-04-02",20.18
"63","2007-04-03",20.27
"64","2007-04-04",20.379999
"65","2007-04-05",20.4
"66","2007-04-09",20.33
"67","2007-04-10",20.35
"68","2007-04-11",20.33
"69","2007-04-12",20.27
"70","2007-04-13",20.27
"71","2007-04-16",20.24
"72","2007-04-17",20.129999
"73","2007-04-18",20.190001
"74","2007-04-19",20.24
"75","2007-04-20",20.209999
"76","2007-04-23",20.18
"77","2007-04-24",20.26
"78","2007-04-25",20.24
"79","2007-04-26",20.24
"80","2007-04-27",20.24
"81","2007-04-30",20.17
"82","2007-05-01",20.42
"83","2007-05-02",20.49
"84","2007-05-03",20.41
"85","2007-05-04",20.459999
"86","2007-05-07",20.450001
"87","2007-05-08",20.469999
"88","2007-05-09",20.23
"89","2007-05-10",20.24
"90","2007-05-11",20.26
"91","2007-05-14",20.33
"92","2007-05-15",20.24
"93","2007-05-16",20.280001
"94","2007-05-17",20.18
"95","2007-05-18",20.16
"96","2007-05-21",20.059999
"97","2007-05-22",20.030001
"98","2007-05-23",20.02
"99","2007-05-24",20
"100","2007-05-25",19.98
"101","2007-05-29",20.209999
"102","2007-05-30",20.360001
"103","2007-05-31",20.35
"104","2007-06-01",20.24
"105","2007-06-04",20.290001
"106","2007-06-05",20.280001
"107","2007-06-06",20.18
"108","2007-06-07",19.700001
"109","2007-06-08",19.799999
"110","2007-06-11",20.219999
"111","2007-06-12",19.9
"112","2007-06-13",20.15
"113","2007-06-14",20.030001
"114","2007-06-15",20.049999
"115","2007-06-18",20.08
"116","2007-06-19",19.99
"117","2007-06-20",19.950001
"118","2007-06-21",19.870001
"119","2007-06-22",19.780001
"120","2007-06-25",19.58
"121","2007-06-26",18.84
"122","2007-06-27",19.34
"123","2007-06-28",19.459999
"124","2007-06-29",19.4
"125","2007-07-02",19.299999
"126","2007-07-03",19.360001
"127","2007-07-05",19.4
"128","2007-07-06",19.459999
"129","2007-07-09",19.6
"130","2007-07-10",19.25
"131","2007-07-11",19.08
"132","2007-07-12",18.98
"133","2007-07-13",18.379999
"134","2007-07-16",17.860001
"135","2007-07-17",17.93
"136","2007-07-18",17.49
"137","2007-07-19",17.67
"138","2007-07-20",17.6
"139","2007-07-23",16.799999
"140","2007-07-24",16.690001
"141","2007-07-25",16.639999
"142","2007-07-26",16.860001
"143","2007-07-27",17.389999
"144","2007-07-30",17.309999
"145","2007-07-31",17.59
"146","2007-08-01",17.209999
"147","2007-08-02",17.360001
"148","2007-08-03",17.49
"149","2007-08-06",17.299999
"150","2007-08-07",17
"151","2007-08-08",17.120001
"152","2007-08-09",16.99
"153","2007-08-10",16.41
"154","2007-08-13",16.75
"155","2007-08-14",15.86
"156","2007-08-15",15.38
"157","2007-08-16",15.15
"158","2007-08-17",16.799999
"159","2007-08-20",16.530001
"160","2007-08-21",16.709999
"161","2007-08-22",16.870001
"162","2007-08-23",16.84
"163","2007-08-24",16.719999
"164","2007-08-27",16.639999
"165","2007-08-28",16.629999
"166","2007-08-29",16.389999
"167","2007-08-30",16.190001
"168","2007-08-31",16.57
"169","2007-09-04",17.07
"170","2007-09-05",17.370001
"171","2007-09-06",17.42
"172","2007-09-07",17.41
"173","2007-09-10",17.26
"174","2007-09-11",16.98
"175","2007-09-12",16.700001
"176","2007-09-13",16.35
"177","2007-09-14",16.27
"178","2007-09-17",16.120001
"179","2007-09-18",16.700001
"180","2007-09-19",17.049999
"181","2007-09-20",16.860001
"182","2007-09-21",17.02
"183","2007-09-24",17.08
"184","2007-09-25",17.370001
"185","2007-09-26",17.35
"186","2007-09-27",17.309999
"187","2007-09-28",17.200001
"188","2007-10-01",17.09
"189","2007-10-02",17.049999
"190","2007-10-03",17.09
"191","2007-10-04",16.950001
"192","2007-10-05",17.07
"193","2007-10-08",17.09
"194","2007-10-09",17.030001
"195","2007-10-10",17.09
"196","2007-10-11",17.059999
"197","2007-10-12",17.07
"198","2007-10-15",17.059999
"199","2007-10-16",16.9
"200","2007-10-17",16.85
"201","2007-10-18",16.91
"202","2007-10-19",16.93
"203","2007-10-22",16.77
"204","2007-10-23",16.82
"205","2007-10-24",16.85
"206","2007-10-25",16.9
"207","2007-10-26",16.92
"208","2007-10-29",16.92
"209","2007-10-30",16.9
"210","2007-10-31",16.9
"211","2007-11-01",16.58
"212","2007-11-02",16.25
"213","2007-11-05",15.92
"214","2007-11-06",15.95
"215","2007-11-07",15.07
"216","2007-11-08",15.12
"217","2007-11-09",15.05
"218","2007-11-12",14.78
"219","2007-11-13",15.11
"220","2007-11-14",15.29
"221","2007-11-15",15.04
"222","2007-11-16",15.07
"223","2007-11-19",15.01
"224","2007-11-20",14.94
"225","2007-11-21",14.72
"226","2007-11-23",14.71
"227","2007-11-26",14.28
"228","2007-11-27",13.81
"229","2007-11-28",14.19
"230","2007-11-29",14.32
"231","2007-11-30",14.74
"232","2007-12-03",15.04
"233","2007-12-04",14.95
"234","2007-12-05",15
"235","2007-12-06",14.83
"236","2007-12-07",14.53
"237","2007-12-10",14.4
"238","2007-12-11",14.03
"239","2007-12-12",13.98
"240","2007-12-13",14.21
"241","2007-12-14",14.1
"242","2007-12-17",13.99
"243","2007-12-18",13.89
"244","2007-12-19",13.66
"245","2007-12-20",14.14
"246","2007-12-21",14.35
"247","2007-12-24",15.13
"248","2007-12-26",15.24
"249","2007-12-27",14.91
"250","2007-12-28",14.5
"251","2007-12-31",14.55
"252","2008-01-02",14.82
"253","2008-01-03",15.02
"254","2008-01-04",15.05
"255","2008-01-07",15.05
"256","2008-01-08",15.24
"257","2008-01-09",15.26
"258","2008-01-10",15.6
"259","2008-01-11",15.63
"260","2008-01-14",15.75
"261","2008-01-15",15.89
"262","2008-01-16",15.82
"263","2008-01-17",15
"264","2008-01-18",14.91
"265","2008-01-22",14.96
"266","2008-01-23",15.06
"267","2008-01-24",15.63
"268","2008-01-25",15.81
"269","2008-01-28",15.77
"270","2008-01-29",15.8
"271","2008-01-30",15.83
"272","2008-01-31",16
"273","2008-02-01",16.200001
"274","2008-02-04",16.34
"275","2008-02-05",16.09
"276","2008-02-06",16.049999
"277","2008-02-07",15.91
"278","2008-02-08",15.97
