"","date","ANIP"
"1","2007-01-03",100.800003
"2","2007-01-04",100.800003
"3","2007-01-05",100.800003
"4","2007-01-08",105.839996
"5","2007-01-09",106.919998
"6","2007-01-10",104.400002
"7","2007-01-11",102.959999
"8","2007-01-12",100.800003
"9","2007-01-16",97.919998
"10","2007-01-17",102.599998
"11","2007-01-18",102.599998
"12","2007-01-19",100.800003
"13","2007-01-22",102.959999
"14","2007-01-23",104.400002
"15","2007-01-24",108.360001
"16","2007-01-25",113.400002
"17","2007-01-26",116.279999
"18","2007-01-29",122.400002
"19","2007-01-30",125.639999
"20","2007-01-31",124.199997
"21","2007-02-01",128.520004
"22","2007-02-02",128.520004
"23","2007-02-05",127.440002
"24","2007-02-06",128.520004
"25","2007-02-07",127.080002
"26","2007-02-08",128.880005
"27","2007-02-09",128.880005
"28","2007-02-12",124.559998
"29","2007-02-13",128.880005
"30","2007-02-14",128.160004
"31","2007-02-15",129.600006
"32","2007-02-16",129.600006
"33","2007-02-20",131.039993
"34","2007-02-21",132.479996
"35","2007-02-22",145.800003
"36","2007-02-23",153
"37","2007-02-26",159.839996
"38","2007-02-27",156.600006
"39","2007-02-28",157.320007
"40","2007-03-01",164.880005
"41","2007-03-02",161.639999
"42","2007-03-05",158.399994
"43","2007-03-06",165.240005
"44","2007-03-07",164.160004
"45","2007-03-08",168.839996
"46","2007-03-09",163.080002
"47","2007-03-12",165.240005
"48","2007-03-13",163.080002
"49","2007-03-14",158.399994
"50","2007-03-15",155.880005
"51","2007-03-16",155.520004
"52","2007-03-19",159.839996
"53","2007-03-20",158.399994
"54","2007-03-21",168.479996
"55","2007-03-22",165.960007
"56","2007-03-23",168.479996
"57","2007-03-26",165.240005
"58","2007-03-27",165.600006
"59","2007-03-28",179.639999
"60","2007-03-29",195.479996
"61","2007-03-30",214.919998
"62","2007-04-02",210.600006
"63","2007-04-03",203.399994
"64","2007-04-04",210.240005
"65","2007-04-05",208.800003
"66","2007-04-09",210.240005
"67","2007-04-10",229.679993
"68","2007-04-11",221.759995
"69","2007-04-12",221.039993
"70","2007-04-13",220.320007
"71","2007-04-16",236.160004
"72","2007-04-17",244.080002
"73","2007-04-18",235.440002
"74","2007-04-19",231.839996
"75","2007-04-20",231.839996
"76","2007-04-23",236.880005
"77","2007-04-24",236.160004
"78","2007-04-25",234
"79","2007-04-26",240.479996
"80","2007-04-27",242.639999
"81","2007-04-30",252
"82","2007-05-01",246.240005
"83","2007-05-02",243
"84","2007-05-03",245.520004
"85","2007-05-04",243
"86","2007-05-07",261
"87","2007-05-08",276.480011
"88","2007-05-09",272.160004
"89","2007-05-10",264.959991
"90","2007-05-11",263.880005
"91","2007-05-14",266.040009
"92","2007-05-15",247.320007
"93","2007-05-16",238.679993
"94","2007-05-17",245.880005
"95","2007-05-18",254.160004
"96","2007-05-21",250.199997
"97","2007-05-22",249.119995
"98","2007-05-23",239.399994
"99","2007-05-24",246.600006
"100","2007-05-25",234
"101","2007-05-29",240.839996
"102","2007-05-30",245.880005
"103","2007-05-31",245.520004
"104","2007-06-01",245.880005
"105","2007-06-04",244.440002
"106","2007-06-05",242.639999
"107","2007-06-06",241.199997
"108","2007-06-07",237.600006
"109","2007-06-08",242.279999
"110","2007-06-11",244.080002
"111","2007-06-12",244.080002
"112","2007-06-13",246.600006
"113","2007-06-14",247.679993
"114","2007-06-15",243
"115","2007-06-18",239.399994
"116","2007-06-19",238.679993
"117","2007-06-20",235.080002
"118","2007-06-21",235.800003
"119","2007-06-22",233.639999
"120","2007-06-25",228.600006
"121","2007-06-26",226.800003
"122","2007-06-27",228.600006
"123","2007-06-28",228.960007
"124","2007-06-29",228.240005
"125","2007-07-02",228.600006
"126","2007-07-03",226.800003
"127","2007-07-05",226.080002
"128","2007-07-06",223.559998
"129","2007-07-09",224.279999
"130","2007-07-10",226.440002
"131","2007-07-11",232.919998
"132","2007-07-12",240.839996
"133","2007-07-13",239.039993
"134","2007-07-16",238.320007
"135","2007-07-17",239.039993
"136","2007-07-18",236.880005
"137","2007-07-19",235.080002
"138","2007-07-20",228.600006
"139","2007-07-23",227.160004
"140","2007-07-24",223.199997
"141","2007-07-25",226.080002
"142","2007-07-26",215.639999
"143","2007-07-27",205.199997
"144","2007-07-30",201.600006
"145","2007-07-31",198.720001
"146","2007-08-01",197.639999
"147","2007-08-02",204.479996
"148","2007-08-03",210.600006
