"","date","MYOV"
"1","2016-10-27",13.26
"2","2016-10-28",13
"3","2016-10-31",12.11
"4","2016-11-01",11.66
"5","2016-11-02",11.04
"6","2016-11-03",11.5
"7","2016-11-04",12.3
"8","2016-11-07",12.01
"9","2016-11-08",10.94
"10","2016-11-09",10.45
"11","2016-11-10",12.11
"12","2016-11-11",11.53
"13","2016-11-14",11.04
"14","2016-11-15",11.3
"15","2016-11-16",11.93
"16","2016-11-17",11
"17","2016-11-18",11.25
"18","2016-11-21",11.21
"19","2016-11-22",11.03
"20","2016-11-23",11.91
"21","2016-11-25",14.25
"22","2016-11-28",12.9
"23","2016-11-29",12.86
"24","2016-11-30",12.6
"25","2016-12-01",11.91
"26","2016-12-02",11.35
"27","2016-12-05",10.95
"28","2016-12-06",10.7
"29","2016-12-07",10.59
"30","2016-12-08",10.7
"31","2016-12-09",11.29
"32","2016-12-12",11
"33","2016-12-13",11.79
"34","2016-12-14",11.08
"35","2016-12-15",10.8
"36","2016-12-16",11.51
"37","2016-12-19",11.19
"38","2016-12-20",11.03
"39","2016-12-21",11.01
"40","2016-12-22",10.96
"41","2016-12-23",11.4
"42","2016-12-27",10.93
"43","2016-12-28",10.99
"44","2016-12-29",12.61
"45","2016-12-30",12.44
"46","2017-01-03",11.84
"47","2017-01-04",12.19
"48","2017-01-05",12
"49","2017-01-06",12.12
"50","2017-01-09",11.85
"51","2017-01-10",11.61
"52","2017-01-11",12.11
"53","2017-01-12",11.89
"54","2017-01-13",11.89
"55","2017-01-17",11.8
"56","2017-01-18",11.75
"57","2017-01-19",11.36
"58","2017-01-20",11.27
"59","2017-01-23",11.16
"60","2017-01-24",11.1
"61","2017-01-25",10.85
"62","2017-01-26",10.95
"63","2017-01-27",10.95
"64","2017-01-30",10.83
"65","2017-01-31",11.14
"66","2017-02-01",10.9
"67","2017-02-02",11.01
"68","2017-02-03",10.95
"69","2017-02-06",10.67
"70","2017-02-07",10.47
"71","2017-02-08",10.5
"72","2017-02-09",10.42
"73","2017-02-10",10.86
"74","2017-02-13",10.83
"75","2017-02-14",10.84
"76","2017-02-15",11.19
"77","2017-02-16",11.09
"78","2017-02-17",11.2
"79","2017-02-21",11.21
"80","2017-02-22",10.85
"81","2017-02-23",10.84
"82","2017-02-24",11.11
"83","2017-02-27",11.23
"84","2017-02-28",10.9
"85","2017-03-01",11.76
"86","2017-03-02",11.96
"87","2017-03-03",11.75
"88","2017-03-06",11.62
"89","2017-03-07",11.84
"90","2017-03-08",12.04
"91","2017-03-09",12.06
"92","2017-03-10",12.65
"93","2017-03-13",12.4
"94","2017-03-14",12.15
"95","2017-03-15",12.36
"96","2017-03-16",12.29
"97","2017-03-17",12.23
"98","2017-03-20",12.04
"99","2017-03-21",11.45
"100","2017-03-22",11.41
"101","2017-03-23",11.34
"102","2017-03-24",11.53
"103","2017-03-27",11.88
"104","2017-03-28",11.36
"105","2017-03-29",11.62
"106","2017-03-30",11.56
"107","2017-03-31",11.74
"108","2017-04-03",11.25
"109","2017-04-04",11.34
"110","2017-04-05",11.01
"111","2017-04-06",11.17
"112","2017-04-07",11.01
"113","2017-04-10",11.24
"114","2017-04-11",11.36
"115","2017-04-12",11.21
"116","2017-04-13",11.49
"117","2017-04-17",11.79
"118","2017-04-18",11.82
"119","2017-04-19",12
"120","2017-04-20",12.17
"121","2017-04-21",12.23
"122","2017-04-24",12.24
"123","2017-04-25",12.93
"124","2017-04-26",13.09
"125","2017-04-27",13.04
"126","2017-04-28",12.99
"127","2017-05-01",12.66
"128","2017-05-02",12.58
"129","2017-05-03",12.33
"130","2017-05-04",12.33
"131","2017-05-05",12.02
"132","2017-05-08",12.19
"133","2017-05-09",12.55
"134","2017-05-10",12.84
"135","2017-05-11",12.86
"136","2017-05-12",12.76
"137","2017-05-15",12.68
"138","2017-05-16",12.09
"139","2017-05-17",11.71
"140","2017-05-18",11.64
"141","2017-05-19",11.66
"142","2017-05-22",12.02
"143","2017-05-23",12.42
"144","2017-05-24",12.75
"145","2017-05-25",13
"146","2017-05-26",13.3
"147","2017-05-30",13.58
