"","date","RDNT"
"1","2007-01-03",4.55
"2","2007-01-04",4.65
"3","2007-01-05",4.76
"4","2007-01-08",4.74
"5","2007-01-09",4.7
"6","2007-01-10",4.75
"7","2007-01-11",4.85
"8","2007-01-12",4.83
"9","2007-01-16",5.07
"10","2007-01-17",5.28
"11","2007-01-18",5.48
"12","2007-01-19",5.5
"13","2007-01-22",5.29
"14","2007-01-23",5.47
"15","2007-01-24",5.67
"16","2007-01-25",5.58
"17","2007-01-26",5.7
"18","2007-01-29",5.91
"19","2007-01-30",5.94
"20","2007-01-31",6
"21","2007-02-01",6
"22","2007-02-02",5.82
"23","2007-02-05",5.9
"24","2007-02-06",5.82
"25","2007-02-07",5.75
"26","2007-02-08",5.97
"27","2007-02-09",5.9
"28","2007-02-12",6
"29","2007-02-13",6.24
"30","2007-02-14",6.35
"31","2007-02-15",6.12
"32","2007-02-16",6.2
"33","2007-02-20",6.4
"34","2007-02-21",6.49
"35","2007-02-22",6.35
"36","2007-02-23",6.29
"37","2007-02-26",6.38
"38","2007-02-27",5.99
"39","2007-02-28",6
"40","2007-03-01",5.98
"41","2007-03-02",5.83
"42","2007-03-05",5.8
"43","2007-03-06",5.95
"44","2007-03-07",5.9
"45","2007-03-08",5.83
"46","2007-03-09",5.76
"47","2007-03-12",5.7
"48","2007-03-13",5.59
"49","2007-03-14",5.51
"50","2007-03-15",5.62
"51","2007-03-16",5.48
"52","2007-03-19",5.68
"53","2007-03-20",5.65
"54","2007-03-21",5.43
"55","2007-03-22",5.61
"56","2007-03-23",5.75
"57","2007-03-26",5.75
"58","2007-03-27",5.75
"59","2007-03-28",5.59
"60","2007-03-29",5.6
"61","2007-03-30",5.71
"62","2007-04-02",5.75
"63","2007-04-03",5.88
"64","2007-04-04",6.34
"65","2007-04-05",6.39
"66","2007-04-09",6.38
"67","2007-04-10",6.33
"68","2007-04-11",6.29
"69","2007-04-12",6.29
"70","2007-04-13",6.4
"71","2007-04-16",6.26
"72","2007-04-17",6.16
"73","2007-04-18",6.39
"74","2007-04-19",6.26
"75","2007-04-20",6.32
"76","2007-04-23",6.27
"77","2007-04-24",6.34
"78","2007-04-25",6.36
"79","2007-04-26",6.3
"80","2007-04-27",6.29
"81","2007-04-30",6.24
"82","2007-05-01",6.18
"83","2007-05-02",6.3
"84","2007-05-03",6.35
"85","2007-05-04",6.35
"86","2007-05-07",6.25
"87","2007-05-08",6.19
"88","2007-05-09",6.2
"89","2007-05-10",5.97
"90","2007-05-11",5.99
"91","2007-05-14",5.75
"92","2007-05-15",5.68
"93","2007-05-16",5.48
"94","2007-05-17",5.66
"95","2007-05-18",5.68
"96","2007-05-21",5.947
"97","2007-05-22",6.54
"98","2007-05-23",6.55
"99","2007-05-24",6.55
"100","2007-05-25",6.589
"101","2007-05-29",6.75
"102","2007-05-30",6.77
"103","2007-05-31",6.8
"104","2007-06-01",6.849
"105","2007-06-04",7.14
"106","2007-06-05",7.3
"107","2007-06-06",7.22
"108","2007-06-07",7.9
"109","2007-06-08",8
"110","2007-06-11",8.06
"111","2007-06-12",8.07
"112","2007-06-13",8.1
"113","2007-06-14",8.19
"114","2007-06-15",8.27
"115","2007-06-18",9.17
"116","2007-06-19",9.1
"117","2007-06-20",9.17
"118","2007-06-21",9.14
"119","2007-06-22",9.2
"120","2007-06-25",9.25
"121","2007-06-26",9.13
"122","2007-06-27",9.3
"123","2007-06-28",9.37
"124","2007-06-29",9.53
"125","2007-07-02",9.74
"126","2007-07-03",9.8
"127","2007-07-05",10.1
"128","2007-07-06",10.57
"129","2007-07-09",10.34
"130","2007-07-10",10.17
"131","2007-07-11",10.09
"132","2007-07-12",9.9
"133","2007-07-13",9.66
"134","2007-07-16",9.5
"135","2007-07-17",9.83
"136","2007-07-18",9.64
"137","2007-07-19",9.99
"138","2007-07-20",9.69
"139","2007-07-23",9.6
"140","2007-07-24",8.9
"141","2007-07-25",8.46
"142","2007-07-26",8.39
"143","2007-07-27",8.43
"144","2007-07-30",9.07
"145","2007-07-31",9.29
"146","2007-08-01",8.8
"147","2007-08-02",8.88
"148","2007-08-03",8.45
"149","2007-08-06",8.22
"150","2007-08-07",8.65
"151","2007-08-08",9.48
"152","2007-08-09",9.2
"153","2007-08-10",8.62
"154","2007-08-13",8.75
"155","2007-08-14",8.68
"156","2007-08-15",8.87
"157","2007-08-16",8.87
"158","2007-08-17",9.06
"159","2007-08-20",8.86
"160","2007-08-21",8.6
"161","2007-08-22",8.84
"162","2007-08-23",8.8
"163","2007-08-24",8.8
"164","2007-08-27",8.82
"165","2007-08-28",8.59
"166","2007-08-29",8.58
"167","2007-08-30",8.48
"168","2007-08-31",9
"169","2007-09-04",9.41
"170","2007-09-05",9.36
"171","2007-09-06",9.52
"172","2007-09-07",9.43
"173","2007-09-10",9.24
"174","2007-09-11",9.04
"175","2007-09-12",8.8
"176","2007-09-13",8.61
"177","2007-09-14",8.71
"178","2007-09-17",8.33
"179","2007-09-18",8.58
"180","2007-09-19",8.61
"181","2007-09-20",8.58
"182","2007-09-21",8.45
"183","2007-09-24",8.36
"184","2007-09-25",8.47
"185","2007-09-26",8.36
"186","2007-09-27",8.53
"187","2007-09-28",8.9
"188","2007-10-01",8.74
"189","2007-10-02",8.91
"190","2007-10-03",8.76
"191","2007-10-04",8.77
"192","2007-10-05",8.76
"193","2007-10-08",8.45
"194","2007-10-09",8.64
"195","2007-10-10",8.72
"196","2007-10-11",9.01
"197","2007-10-12",9.03
"198","2007-10-15",8.97
"199","2007-10-16",8.89
"200","2007-10-17",8.9
"201","2007-10-18",8.99
"202","2007-10-19",9.01
"203","2007-10-22",9
"204","2007-10-23",9.41
"205","2007-10-24",9.45
"206","2007-10-25",9.81
"207","2007-10-26",9.9
"208","2007-10-29",10.11
"209","2007-10-30",10
"210","2007-10-31",10.02
"211","2007-11-01",9.74
"212","2007-11-02",9.61
"213","2007-11-05",9.62
"214","2007-11-06",9.52
"215","2007-11-07",9.6
"216","2007-11-08",9.47
"217","2007-11-09",9.17
"218","2007-11-12",8.9
"219","2007-11-13",9
"220","2007-11-14",9.05
"221","2007-11-15",9
"222","2007-11-16",9.39
"223","2007-11-19",9.15
"224","2007-11-20",9.08
"225","2007-11-21",8.94
"226","2007-11-23",9.24
"227","2007-11-26",8.95
"228","2007-11-27",9
"229","2007-11-28",9.16
"230","2007-11-29",9.35
"231","2007-11-30",9.4
"232","2007-12-03",9.56
"233","2007-12-04",9.4
"234","2007-12-05",9.45
"235","2007-12-06",9.93
"236","2007-12-07",10.08
"237","2007-12-10",10.11
"238","2007-12-11",10
"239","2007-12-12",9.92
"240","2007-12-13",9.98
"241","2007-12-14",9.81
"242","2007-12-17",9.56
"243","2007-12-18",9.64
"244","2007-12-19",9.61
"245","2007-12-20",9.72
"246","2007-12-21",9.9
"247","2007-12-24",9.92
"248","2007-12-26",10.08
"249","2007-12-27",10.09
"250","2007-12-28",9.93
"251","2007-12-31",10.15
"252","2008-01-02",9.23
"253","2008-01-03",9.28
"254","2008-01-04",9.09
"255","2008-01-07",9.05
"256","2008-01-08",9.29
"257","2008-01-09",9.38
"258","2008-01-10",9.67
"259","2008-01-11",9.63
"260","2008-01-14",9.64
"261","2008-01-15",9.51
"262","2008-01-16",9.65
"263","2008-01-17",9.29
"264","2008-01-18",9.11
"265","2008-01-22",8.89
"266","2008-01-23",8.97
"267","2008-01-24",9.4
"268","2008-01-25",9.48
"269","2008-01-28",9.48
"270","2008-01-29",9.34
"271","2008-01-30",8.8
"272","2008-01-31",9.01
"273","2008-02-01",9.05
"274","2008-02-04",8.64
"275","2008-02-05",8.16
"276","2008-02-06",8.31
"277","2008-02-07",8.32
"278","2008-02-08",8.08
"279","2008-02-11",7.95
"280","2008-02-12",8.2
"281","2008-02-13",8.48
"282","2008-02-14",8.01
"283","2008-02-15",7.74
"284","2008-02-19",7.71
"285","2008-02-20",7.55
"286","2008-02-21",7.65
"287","2008-02-22",7.39
"288","2008-02-25",7.67
"289","2008-02-26",8.46
"290","2008-02-27",8.5
"291","2008-02-28",8.19
"292","2008-02-29",8.11
"293","2008-03-03",8.21
"294","2008-03-04",8.03
"295","2008-03-05",8.14
"296","2008-03-06",7.94
"297","2008-03-07",7.9
"298","2008-03-10",7.61
"299","2008-03-11",7.5
"300","2008-03-12",7.78
"301","2008-03-13",7.56
"302","2008-03-14",7.08
"303","2008-03-17",6.59
"304","2008-03-18",6.4
"305","2008-03-19",6.46
"306","2008-03-20",6.65
"307","2008-03-24",6.23
"308","2008-03-25",6.71
"309","2008-03-26",6.76
"310","2008-03-27",6.85
"311","2008-03-28",6.97
"312","2008-03-31",7.04
"313","2008-04-01",7.56
"314","2008-04-02",7.9
"315","2008-04-03",7.79
"316","2008-04-04",7.8
"317","2008-04-07",7.61
"318","2008-04-08",7.51
"319","2008-04-09",7.47
"320","2008-04-10",7.36
"321","2008-04-11",7.25
"322","2008-04-14",6.99
"323","2008-04-15",7.02
"324","2008-04-16",7.4
"325","2008-04-17",7.37
"326","2008-04-18",7.35
"327","2008-04-21",7.25
"328","2008-04-22",7.04
"329","2008-04-23",7.14
"330","2008-04-24",6.98
"331","2008-04-25",7.1
"332","2008-04-28",6.89
"333","2008-04-29",6.86
"334","2008-04-30",7
"335","2008-05-01",6.9
"336","2008-05-02",6.9
"337","2008-05-05",6.89
"338","2008-05-06",6.94
"339","2008-05-07",6.93
"340","2008-05-08",6.84
"341","2008-05-09",6.41
"342","2008-05-12",6.61
"343","2008-05-13",6.85
"344","2008-05-14",6.63
"345","2008-05-15",6.58
"346","2008-05-16",6.51
"347","2008-05-19",6.38
"348","2008-05-20",6.15
"349","2008-05-21",6.17
"350","2008-05-22",6.65
"351","2008-05-23",6.43
"352","2008-05-27",6.5
"353","2008-05-28",6.4
"354","2008-05-29",6.27
"355","2008-05-30",6.52
"356","2008-06-02",6.36
"357","2008-06-03",6.3
"358","2008-06-04",6.15
"359","2008-06-05",6.24
"360","2008-06-06",6.265
