"","date","PFLT"
"1","2011-04-08",13.4
"2","2011-04-11",13.36
"3","2011-04-12",13.18
"4","2011-04-13",13.16
"5","2011-04-14",13.35
"6","2011-04-15",13.22
"7","2011-04-18",13.1
"8","2011-04-19",13
"9","2011-04-20",12.88
"10","2011-04-21",12.9
"11","2011-04-25",12.8
"12","2011-04-26",12.78
"13","2011-04-27",12.85
"14","2011-04-28",12.9
"15","2011-04-29",13
"16","2011-05-02",12.99
"17","2011-05-03",12.89
"18","2011-05-04",13.29
"19","2011-05-05",13.4
"20","2011-05-06",13.7
"21","2011-05-09",13.22
"22","2011-05-10",13.36
"23","2011-05-11",13.35
"24","2011-05-12",13.35
"25","2011-05-13",13.15
"26","2011-05-16",13.11
"27","2011-05-17",13.2
"28","2011-05-18",12.97
"29","2011-05-19",13
"30","2011-05-20",13
"31","2011-05-23",12.99
"32","2011-05-24",12.92
"33","2011-05-25",13.07
"34","2011-05-26",13.15
"35","2011-05-27",13.08
"36","2011-05-31",13.33
"37","2011-06-01",13.15
"38","2011-06-02",12.88
"39","2011-06-03",12.8
"40","2011-06-06",12.87
"41","2011-06-07",12.96
"42","2011-06-08",12.77
"43","2011-06-09",12.84
"44","2011-06-10",12.8
"45","2011-06-13",12.8
"46","2011-06-14",12.75
"47","2011-06-15",12.68
"48","2011-06-16",12.53
"49","2011-06-17",12.52
"50","2011-06-20",12.44
"51","2011-06-21",12.42
"52","2011-06-22",12.29
"53","2011-06-23",12.27
"54","2011-06-24",12.46
"55","2011-06-27",12.5
"56","2011-06-28",12.4
"57","2011-06-29",12.73
"58","2011-06-30",12.69
"59","2011-07-01",12.69
"60","2011-07-05",12.46
"61","2011-07-06",12.62
"62","2011-07-07",12.75
"63","2011-07-08",12.76
"64","2011-07-11",12.65
"65","2011-07-12",12.85
"66","2011-07-13",12.58
"67","2011-07-14",12.56
"68","2011-07-15",12.69
"69","2011-07-18",12.52
"70","2011-07-19",12.5
"71","2011-07-20",12.47
"72","2011-07-21",12.46
"73","2011-07-22",12.35
"74","2011-07-25",12.18
"75","2011-07-26",12.01
"76","2011-07-27",11.95
"77","2011-07-28",11.9
"78","2011-07-29",11.9
"79","2011-08-01",11.8
"80","2011-08-02",11.9
"81","2011-08-03",11.93
"82","2011-08-04",11.74
"83","2011-08-05",11.65
"84","2011-08-08",11.25
"85","2011-08-09",11
"86","2011-08-10",10.61
"87","2011-08-11",10.7
"88","2011-08-12",10.69
"89","2011-08-15",11.29
"90","2011-08-16",11.4
"91","2011-08-17",11.74
"92","2011-08-18",11.29
"93","2011-08-19",11.33
"94","2011-08-22",11.15
"95","2011-08-23",11.43
"96","2011-08-24",11.63
"97","2011-08-25",11.63
"98","2011-08-26",11.89
"99","2011-08-29",11.96
"100","2011-08-30",11.89
"101","2011-08-31",11.94
"102","2011-09-01",11.94
"103","2011-09-02",11.8
"104","2011-09-06",11.66
"105","2011-09-07",11.41
"106","2011-09-08",11.18
"107","2011-09-09",11.18
"108","2011-09-12",11.27
"109","2011-09-13",11.1
"110","2011-09-14",11.13
"111","2011-09-15",11.01
"112","2011-09-16",10.86
"113","2011-09-19",10.83
"114","2011-09-20",10.72
"115","2011-09-21",10.66
"116","2011-09-22",10.87
"117","2011-09-23",10.63
"118","2011-09-26",10.6
"119","2011-09-27",10.34
"120","2011-09-28",10.46
"121","2011-09-29",10.52
"122","2011-09-30",10.55
"123","2011-10-03",10.46
"124","2011-10-04",10.01
"125","2011-10-05",10.09
"126","2011-10-06",10.25
"127","2011-10-07",10.12
"128","2011-10-10",10.36
"129","2011-10-11",10.3
"130","2011-10-12",10.4
"131","2011-10-13",10.18
"132","2011-10-14",10.34
"133","2011-10-17",10.31
"134","2011-10-18",10.42
"135","2011-10-19",10.36
"136","2011-10-20",10.4
"137","2011-10-21",10.5
"138","2011-10-24",10.61
"139","2011-10-25",10.49
"140","2011-10-26",10.5
"141","2011-10-27",10.85
"142","2011-10-28",10.87
"143","2011-10-31",10.78
"144","2011-11-01",10.75
"145","2011-11-02",10.57
"146","2011-11-03",10.48
"147","2011-11-04",10.58
"148","2011-11-07",10.49
"149","2011-11-08",10.6
"150","2011-11-09",10.45
"151","2011-11-10",10.35
"152","2011-11-11",10.5
"153","2011-11-14",10.41
"154","2011-11-15",10.52
"155","2011-11-16",10.48
"156","2011-11-17",10.24
"157","2011-11-18",10.25
"158","2011-11-21",10.25
"159","2011-11-22",10.45
"160","2011-11-23",10.37
"161","2011-11-25",10.32
"162","2011-11-28",10.4
"163","2011-11-29",10.31
"164","2011-11-30",10.58
"165","2011-12-01",10.53
"166","2011-12-02",10.72
"167","2011-12-05",10.47
"168","2011-12-06",10.74
"169","2011-12-07",10.74
"170","2011-12-08",10.79
"171","2011-12-09",11.03
"172","2011-12-12",11
"173","2011-12-13",10.97
"174","2011-12-14",10.7
"175","2011-12-15",10.58
"176","2011-12-16",10.61
"177","2011-12-19",10.4
"178","2011-12-20",10.54
"179","2011-12-21",10.44
"180","2011-12-22",10.26
"181","2011-12-23",10.3
"182","2011-12-27",10.17
"183","2011-12-28",10.21
"184","2011-12-29",10.4
"185","2011-12-30",10.3
"186","2012-01-03",10.52
"187","2012-01-04",10.64
"188","2012-01-05",10.63
"189","2012-01-06",10.58
"190","2012-01-09",10.63
"191","2012-01-10",10.65
"192","2012-01-11",10.7
"193","2012-01-12",10.75
"194","2012-01-13",10.67
"195","2012-01-17",10.75
"196","2012-01-18",10.94
"197","2012-01-19",11.06
"198","2012-01-20",11.28
"199","2012-01-23",11.2
"200","2012-01-24",11.02
"201","2012-01-25",11.02
"202","2012-01-26",11.16
"203","2012-01-27",11.25
"204","2012-01-30",11.24
"205","2012-01-31",11.22
"206","2012-02-01",11.44
"207","2012-02-02",11.5
"208","2012-02-03",11.48
"209","2012-02-06",11.34
"210","2012-02-07",11.5
"211","2012-02-08",11.53
"212","2012-02-09",11.74
"213","2012-02-10",11.8
"214","2012-02-13",11.83
"215","2012-02-14",11.83
"216","2012-02-15",11.8
"217","2012-02-16",11.9
"218","2012-02-17",11.74
"219","2012-02-21",11.75
"220","2012-02-22",11.89
"221","2012-02-23",11.97
"222","2012-02-24",12.1
"223","2012-02-27",12.05
"224","2012-02-28",11.97
"225","2012-02-29",11.81
"226","2012-03-01",11.89
"227","2012-03-02",11.9
"228","2012-03-05",11.78
"229","2012-03-06",11.85
"230","2012-03-07",11.86
"231","2012-03-08",11.99
"232","2012-03-09",11.99
"233","2012-03-12",11.87
"234","2012-03-13",11.97
"235","2012-03-14",11.85
"236","2012-03-15",11.8
"237","2012-03-16",11.74
"238","2012-03-19",11.8
"239","2012-03-20",11.75
"240","2012-03-21",11.72
"241","2012-03-22",11.87
"242","2012-03-23",11.8
"243","2012-03-26",11.83
"244","2012-03-27",11.84
"245","2012-03-28",11.75
"246","2012-03-29",11.62
"247","2012-03-30",11.75
"248","2012-04-02",11.84
"249","2012-04-03",11.78
"250","2012-04-04",11.65
"251","2012-04-05",11.78
"252","2012-04-09",11.79
"253","2012-04-10",11.7
"254","2012-04-11",11.66
"255","2012-04-12",11.85
"256","2012-04-13",11.77
"257","2012-04-16",11.72
"258","2012-04-17",11.67
"259","2012-04-18",11.7
"260","2012-04-19",11.5
"261","2012-04-20",11.6
"262","2012-04-23",11.55
"263","2012-04-24",11.6
"264","2012-04-25",11.67
"265","2012-04-26",11.56
"266","2012-04-27",11.66
"267","2012-04-30",11.77
"268","2012-05-01",11.79
"269","2012-05-02",11.82
"270","2012-05-03",11.71
"271","2012-05-04",11.74
"272","2012-05-07",11.8
"273","2012-05-08",11.9
"274","2012-05-09",11.9
"275","2012-05-10",11.79
"276","2012-05-11",11.93
"277","2012-05-14",11.91
"278","2012-05-15",11.9
"279","2012-05-16",11.89
"280","2012-05-17",11.8
"281","2012-05-18",11.7
"282","2012-05-21",11.46
"283","2012-05-22",11.51
"284","2012-05-23",11.6
"285","2012-05-24",11.51
"286","2012-05-25",11.67
"287","2012-05-29",11.67
"288","2012-05-30",11.67
"289","2012-05-31",11.68
"290","2012-06-01",11.6
"291","2012-06-04",11.53
"292","2012-06-05",11.76
"293","2012-06-06",11.89
"294","2012-06-07",11.74
"295","2012-06-08",11.69
"296","2012-06-11",11.77
"297","2012-06-12",11.89
"298","2012-06-13",11.89
"299","2012-06-14",11.75
"300","2012-06-15",11.81
"301","2012-06-18",11.88
"302","2012-06-19",11.9
"303","2012-06-20",11.88
"304","2012-06-21",11.89
"305","2012-06-22",11.9
"306","2012-06-25",11.89
"307","2012-06-26",11.9
"308","2012-06-27",11.89
"309","2012-06-28",11.88
"310","2012-06-29",11.9
"311","2012-07-02",11.95
"312","2012-07-03",11.95
"313","2012-07-05",11.95
"314","2012-07-06",11.85
"315","2012-07-09",11.94
"316","2012-07-10",12.01
"317","2012-07-11",12.1
"318","2012-07-12",12.03
"319","2012-07-13",12
"320","2012-07-16",12.1
"321","2012-07-17",12.09
"322","2012-07-18",12.12
"323","2012-07-19",12.18
"324","2012-07-20",12.02
"325","2012-07-23",12.1
"326","2012-07-24",12.14
"327","2012-07-25",12.23
"328","2012-07-26",12.19
"329","2012-07-27",12.27
"330","2012-07-30",12.26
"331","2012-07-31",12.33
"332","2012-08-01",12.53
"333","2012-08-02",12.49
"334","2012-08-03",12.37
"335","2012-08-06",12.49
"336","2012-08-07",12.65
"337","2012-08-08",12.69
"338","2012-08-09",12.6
"339","2012-08-10",12.75
"340","2012-08-13",12.6
"341","2012-08-14",12.55
"342","2012-08-15",12.62
"343","2012-08-16",12.5
