"","date","JD"
"1","2014-05-22",20.9
"2","2014-05-23",20.1
"3","2014-05-27",22.969999
"4","2014-05-28",24.780001
"5","2014-05-29",25.4
"6","2014-05-30",25
"7","2014-06-02",24.6
"8","2014-06-03",25.1
"9","2014-06-04",24.540001
"10","2014-06-05",25.780001
"11","2014-06-06",26.58
"12","2014-06-09",28.43
"13","2014-06-10",28.35
"14","2014-06-11",29
"15","2014-06-12",27.17
"16","2014-06-13",27.790001
"17","2014-06-16",26.889999
"18","2014-06-17",27.018999
"19","2014-06-18",26.52
"20","2014-06-19",25.83
"21","2014-06-20",25.450001
"22","2014-06-23",26.370001
"23","2014-06-24",27.040001
"24","2014-06-25",27.07
"25","2014-06-26",28.299999
"26","2014-06-27",28.01
"27","2014-06-30",28.51
"28","2014-07-01",29.690001
"29","2014-07-02",28.959999
"30","2014-07-03",27.790001
"31","2014-07-07",27.629999
"32","2014-07-08",26.469999
"33","2014-07-09",26.360001
"34","2014-07-10",27.700001
"35","2014-07-11",27.040001
"36","2014-07-14",28.040001
"37","2014-07-15",28.209999
"38","2014-07-16",29.110001
"39","2014-07-17",27.559999
"40","2014-07-18",27.82
"41","2014-07-21",28.540001
"42","2014-07-22",28.73
"43","2014-07-23",27.879999
"44","2014-07-24",29.049999
"45","2014-07-25",29.030001
"46","2014-07-28",29.49
"47","2014-07-29",29.620001
"48","2014-07-30",29.07
"49","2014-07-31",28.58
"50","2014-08-01",27.940001
"51","2014-08-04",27.790001
"52","2014-08-05",27.73
"53","2014-08-06",27.51
"54","2014-08-07",27.48
"55","2014-08-08",28.360001
"56","2014-08-11",28.209999
"57","2014-08-12",28.77
"58","2014-08-13",30.469999
"59","2014-08-14",30.01
"60","2014-08-15",29.58
"61","2014-08-18",30.040001
"62","2014-08-19",30.209999
"63","2014-08-20",30.93
"64","2014-08-21",30.82
"65","2014-08-22",30.959999
"66","2014-08-25",31.34
"67","2014-08-26",32.009998
"68","2014-08-27",32.639999
"69","2014-08-28",31.440001
"70","2014-08-29",31.92
"71","2014-09-02",31.07
"72","2014-09-03",30.809999
"73","2014-09-04",30.26
"74","2014-09-05",29.030001
"75","2014-09-08",29.129999
"76","2014-09-09",29.059999
"77","2014-09-10",28.35
"78","2014-09-11",29.120001
"79","2014-09-12",29.25
"80","2014-09-15",28.870001
"81","2014-09-16",27.799999
"82","2014-09-17",28.1
"83","2014-09-18",29.549999
"84","2014-09-19",28.35
"85","2014-09-22",26.969999
"86","2014-09-23",26.57
"87","2014-09-24",27.18
"88","2014-09-25",26.57
"89","2014-09-26",26.93
"90","2014-09-29",26.33
"91","2014-09-30",25.82
"92","2014-10-01",25.02
"93","2014-10-02",25.690001
"94","2014-10-03",25.98
"95","2014-10-06",25.959999
