"","date","FAT"
"1","2017-10-23",11.32
"2","2017-10-24",11
"3","2017-10-25",11.1
"4","2017-10-26",11.5
"5","2017-10-27",11.67
"6","2017-10-30",10.78
"7","2017-10-31",10.88
"8","2017-11-01",10.75
"9","2017-11-02",10.8
"10","2017-11-03",10.25
"11","2017-11-06",9.27
"12","2017-11-07",8.9
"13","2017-11-08",8.77
"14","2017-11-09",9.29
"15","2017-11-10",9.5
"16","2017-11-13",9.2
"17","2017-11-14",9.38
"18","2017-11-15",9.555
"19","2017-11-16",9.41
"20","2017-11-17",9.28
"21","2017-11-20",9.14
"22","2017-11-21",9.76
"23","2017-11-22",10.2
"24","2017-11-24",10.152
"25","2017-11-27",9.82
"26","2017-11-28",9.85
"27","2017-11-29",9.76
"28","2017-11-30",9.39
"29","2017-12-01",9.29
"30","2017-12-04",9.41
"31","2017-12-05",9.21
"32","2017-12-06",9
"33","2017-12-07",9.07
"34","2017-12-08",8.78
"35","2017-12-11",8.76
"36","2017-12-12",8.78
"37","2017-12-13",8.75
"38","2017-12-14",8.66
"39","2017-12-15",7.67
"40","2017-12-18",8.1
"41","2017-12-19",7.9
"42","2017-12-20",7.52
"43","2017-12-21",8.05
"44","2017-12-22",8.08
"45","2017-12-26",7.8
"46","2017-12-27",8.75
"47","2017-12-28",9.01
"48","2017-12-29",8.92
"49","2018-01-02",9.33
"50","2018-01-03",9.34
"51","2018-01-04",10.1
"52","2018-01-05",9.6
"53","2018-01-08",9.71
"54","2018-01-09",10.01
"55","2018-01-10",9.939
"56","2018-01-11",10
"57","2018-01-12",9.69
"58","2018-01-16",9.57
"59","2018-01-17",9.04
"60","2018-01-18",9.058
"61","2018-01-19",8.84
"62","2018-01-22",8.723
"63","2018-01-23",8.56
"64","2018-01-24",8.77
"65","2018-01-25",8.8
"66","2018-01-26",8.5
"67","2018-01-29",8.28
"68","2018-01-30",8.45
"69","2018-01-31",8.12
"70","2018-02-01",8.18
"71","2018-02-02",8.18
"72","2018-02-05",8.52
"73","2018-02-06",8.39
"74","2018-02-07",8.15
"75","2018-02-08",8.29
"76","2018-02-09",8
"77","2018-02-12",8.25
"78","2018-02-13",8.449
"79","2018-02-14",8.07
"80","2018-02-15",8.03
