"","date","NVCR"
"1","2015-10-01",22
"2","2015-10-02",18.280001
"3","2015-10-05",18.690001
"4","2015-10-06",16.68
"5","2015-10-07",15.94
"6","2015-10-08",18.940001
"7","2015-10-09",21.02
"8","2015-10-12",25.879999
"9","2015-10-13",27.6
"10","2015-10-14",25.450001
"11","2015-10-15",25.870001
"12","2015-10-16",25.98
"13","2015-10-19",23.209999
"14","2015-10-20",19.870001
"15","2015-10-21",20.200001
"16","2015-10-22",19.15
"17","2015-10-23",19.52
"18","2015-10-26",20.58
"19","2015-10-27",23.870001
"20","2015-10-28",24.200001
"21","2015-10-29",22.85
"22","2015-10-30",22.469999
"23","2015-11-02",23.83
"24","2015-11-03",26.040001
"25","2015-11-04",26.309999
"26","2015-11-05",26.24
"27","2015-11-06",25.68
"28","2015-11-09",24.83
"29","2015-11-10",24.08
"30","2015-11-11",22.35
"31","2015-11-12",22.700001
"32","2015-11-13",22.799999
"33","2015-11-16",21.940001
"34","2015-11-17",22.34
"35","2015-11-18",22.690001
"36","2015-11-19",22.41
"37","2015-11-20",22.040001
"38","2015-11-23",24.9
"39","2015-11-24",23.91
"40","2015-11-25",23.65
"41","2015-11-27",24.99
"42","2015-11-30",24.35
"43","2015-12-01",24.07
"44","2015-12-02",24.059999
"45","2015-12-03",24.01
"46","2015-12-04",24.82
"47","2015-12-07",27.16
"48","2015-12-08",26.719999
"49","2015-12-09",26.780001
"50","2015-12-10",26.42
"51","2015-12-11",26.860001
"52","2015-12-14",27.639999
"53","2015-12-15",28.110001
"54","2015-12-16",27.120001
"55","2015-12-17",27.5
"56","2015-12-18",27.719999
"57","2015-12-21",27.559999
"58","2015-12-22",27.02
"59","2015-12-23",26.59
"60","2015-12-24",25.93
"61","2015-12-28",24.799999
"62","2015-12-29",23.82
"63","2015-12-30",23.379999
"64","2015-12-31",22.360001
"65","2016-01-04",22.549999
"66","2016-01-05",22.74
"67","2016-01-06",22.42
"68","2016-01-07",19.76
"69","2016-01-08",20.15
"70","2016-01-11",20.549999
"71","2016-01-12",21.9
"72","2016-01-13",20.48
"73","2016-01-14",19.299999
"74","2016-01-15",17.790001
"75","2016-01-19",17.059999
"76","2016-01-20",14.23
"77","2016-01-21",15.05
"78","2016-01-22",13.81
"79","2016-01-25",14.5
"80","2016-01-26",14.51
"81","2016-01-27",14.09
"82","2016-01-28",12.99
"83","2016-01-29",12.48
"84","2016-02-01",11.29
"85","2016-02-02",10.3
"86","2016-02-03",11.03
"87","2016-02-04",11.81
"88","2016-02-05",11.46
"89","2016-02-08",12.31
"90","2016-02-09",12.69
"91","2016-02-10",13.12
"92","2016-02-11",12.06
"93","2016-02-12",12.11
"94","2016-02-16",12.23
"95","2016-02-17",12.56
"96","2016-02-18",12.22
"97","2016-02-19",11.78
"98","2016-02-22",12.01
"99","2016-02-23",11.82
"100","2016-02-24",11.46
"101","2016-02-25",10.8
"102","2016-02-26",11.17
"103","2016-02-29",11.69
"104","2016-03-01",12.35
"105","2016-03-02",14.58
"106","2016-03-03",16.030001
"107","2016-03-04",16.549999
"108","2016-03-07",17.4
"109","2016-03-08",16.059999
"110","2016-03-09",14.34
"111","2016-03-10",13.91
"112","2016-03-11",13.75
"113","2016-03-14",12.82
"114","2016-03-15",12.31
"115","2016-03-16",11.99
"116","2016-03-17",12.75
"117","2016-03-18",12.45
"118","2016-03-21",12.62
"119","2016-03-22",13.22
"120","2016-03-23",13.17
"121","2016-03-24",13.13
"122","2016-03-28",12.85
"123","2016-03-29",12.94
"124","2016-03-30",13.36
"125","2016-03-31",14.48
