"","date","BRMK"
"1","2019-11-15",10.95
"2","2019-11-18",10.93
"3","2019-11-19",10.91
"4","2019-11-20",10.91
"5","2019-11-21",10.91
"6","2019-11-22",10.99
"7","2019-11-25",11.14
"8","2019-11-26",11.1
"9","2019-11-27",11.13
"10","2019-11-29",11.16
"11","2019-12-02",11.35
"12","2019-12-03",11.39
"13","2019-12-04",11.46
"14","2019-12-05",11.75
"15","2019-12-06",12.05
"16","2019-12-09",12.45
"17","2019-12-10",12.09
"18","2019-12-11",11.87
"19","2019-12-12",11.87
"20","2019-12-13",11.96
"21","2019-12-16",11.66
"22","2019-12-17",12.05
"23","2019-12-18",12.11
"24","2019-12-19",12.35
"25","2019-12-20",12.44
"26","2019-12-23",12.47
"27","2019-12-24",12.52
"28","2019-12-26",12.65
"29","2019-12-27",12.69
"30","2019-12-30",12.7
"31","2019-12-31",12.75
"32","2020-01-02",12.63
"33","2020-01-03",12.6
"34","2020-01-06",12.66
"35","2020-01-07",12.69
"36","2020-01-08",12.65
"37","2020-01-09",12.66
"38","2020-01-10",12.36
"39","2020-01-13",12.2
"40","2020-01-14",12.18
"41","2020-01-15",12.12
"42","2020-01-16",12.14
"43","2020-01-17",12.24
"44","2020-01-21",12.47
"45","2020-01-22",12.59
"46","2020-01-23",12.68
"47","2020-01-24",12.71
"48","2020-01-27",12.7
"49","2020-01-28",12.73
"50","2020-01-29",12.74
"51","2020-01-30",12.71
"52","2020-01-31",12.56
"53","2020-02-03",12.5
"54","2020-02-04",12.5
"55","2020-02-05",12.56
"56","2020-02-06",12.46
"57","2020-02-07",12.53
"58","2020-02-10",12.55
"59","2020-02-11",12.58
"60","2020-02-12",12.63
"61","2020-02-13",12.71
"62","2020-02-14",12.69
"63","2020-02-18",12.69
"64","2020-02-19",12.65
"65","2020-02-20",12.7
"66","2020-02-21",12.73
"67","2020-02-24",12.59
"68","2020-02-25",12.3
"69","2020-02-26",12.23
"70","2020-02-27",11.72
"71","2020-02-28",11.3
"72","2020-03-02",11.21
"73","2020-03-03",11.11
"74","2020-03-04",11.2
"75","2020-03-05",10.97
"76","2020-03-06",10.83
"77","2020-03-09",9.14
"78","2020-03-10",9.36
"79","2020-03-11",8.69
"80","2020-03-12",7.28
"81","2020-03-13",8.5
"82","2020-03-16",7.41
"83","2020-03-17",7.56
"84","2020-03-18",6.25
"85","2020-03-19",7.29
"86","2020-03-20",6.67
"87","2020-03-23",5.82
"88","2020-03-24",6.41
"89","2020-03-25",7.71
