"","date","IMAB"
"1","2020-01-17",12.5
"2","2020-01-21",13.8
"3","2020-01-22",15.37
"4","2020-01-23",15.16
"5","2020-01-24",14
"6","2020-01-27",13.68
"7","2020-01-28",13.68
"8","2020-01-29",13.43
"9","2020-01-30",13
"10","2020-01-31",12.3
"11","2020-02-03",11.35
"12","2020-02-04",11.35
"13","2020-02-05",11.5
"14","2020-02-06",10.95
"15","2020-02-07",11
"16","2020-02-10",11
"17","2020-02-11",11.18
"18","2020-02-12",11
"19","2020-02-13",11.08
"20","2020-02-14",10.81
"21","2020-02-18",10.63
"22","2020-02-19",10.64
"23","2020-02-20",12.14
"24","2020-02-21",11.99
"25","2020-02-24",12.01
"26","2020-02-25",13.82
"27","2020-02-26",13.4
"28","2020-02-27",12.5
"29","2020-02-28",12.3
"30","2020-03-02",13.51
"31","2020-03-03",13.1
"32","2020-03-04",13.86
"33","2020-03-05",14.1
"34","2020-03-06",14
"35","2020-03-09",14
"36","2020-03-10",14.13
"37","2020-03-11",13.62
"38","2020-03-12",12.75
"39","2020-03-13",13.67
"40","2020-03-16",11.5
"41","2020-03-17",11.5
"42","2020-03-18",11.2
"43","2020-03-19",11.38
"44","2020-03-20",11.25
"45","2020-03-23",11.25
"46","2020-03-24",11.46
"47","2020-03-25",13
"48","2020-03-26",12.01
"49","2020-03-27",13
"50","2020-03-30",12.5
"51","2020-03-31",13
"52","2020-04-01",13.5
"53","2020-04-02",14.5
"54","2020-04-03",14.5
"55","2020-04-06",13.79
"56","2020-04-07",13
"57","2020-04-08",13.1
"58","2020-04-09",13.6
"59","2020-04-13",13.3
"60","2020-04-14",13.6
"61","2020-04-15",13.7
"62","2020-04-16",14.15
"63","2020-04-17",13.8
"64","2020-04-20",14.34
"65","2020-04-21",13.4
"66","2020-04-22",14.24
"67","2020-04-23",14.05
"68","2020-04-24",14.13
"69","2020-04-27",15.89
"70","2020-04-28",15.9
"71","2020-04-29",18.200001
"72","2020-04-30",18
"73","2020-05-01",15.89
"74","2020-05-04",16.280001
"75","2020-05-05",15.26
"76","2020-05-06",16
"77","2020-05-07",16
"78","2020-05-08",16.35
"79","2020-05-11",17.129999
"80","2020-05-12",18.48
"81","2020-05-13",19.389999
"82","2020-05-14",18.450001
"83","2020-05-15",18.870001
"84","2020-05-18",20.5
"85","2020-05-19",26.163
"86","2020-05-20",22.700001
"87","2020-05-21",22.200001
"88","2020-05-22",21.299999
"89","2020-05-26",22.93
"90","2020-05-27",24.25
"91","2020-05-28",24.35
"92","2020-05-29",24.93
"93","2020-06-01",24.92
"94","2020-06-02",22.08
"95","2020-06-03",25.799999
"96","2020-06-04",23.860001
"97","2020-06-05",23
"98","2020-06-08",24.799999
"99","2020-06-09",24.5
"100","2020-06-10",24.74
"101","2020-06-11",23.75
"102","2020-06-12",24.01
"103","2020-06-15",28.66
"104","2020-06-16",29.9
"105","2020-06-17",30.91
"106","2020-06-18",31
"107","2020-06-19",30.969999
"108","2020-06-22",30.700001
