"","date","KTOS"
"1","2007-01-03",28.5
"2","2007-01-04",24.700001
"3","2007-01-05",23.799999
"4","2007-01-08",23
"5","2007-01-09",23.4
"6","2007-01-10",22.799999
"7","2007-01-11",24.299999
"8","2007-01-12",24.5
"9","2007-01-16",24.700001
"10","2007-01-17",24
"11","2007-01-18",23.4
"12","2007-01-19",23.5
"13","2007-01-22",23.4
"14","2007-01-23",24.700001
"15","2007-01-24",24.6
"16","2007-01-25",23.5
"17","2007-01-26",23.200001
"18","2007-01-29",23.299999
"19","2007-01-30",23.6
"20","2007-01-31",23.5
"21","2007-02-01",23.799999
"22","2007-02-02",23.9
"23","2007-02-05",23.700001
"24","2007-02-06",23.5
"25","2007-02-07",23.5
"26","2007-02-08",23.799999
"27","2007-02-09",23.200001
"28","2007-02-12",23
"29","2007-02-13",23.1
"30","2007-02-14",23
"31","2007-02-15",22.299999
"32","2007-02-16",22.4
"33","2007-02-20",22.4
"34","2007-02-21",22.6
"35","2007-02-22",22.5
"36","2007-02-23",22.6
"37","2007-02-26",22.799999
"38","2007-02-27",21.1
"39","2007-02-28",21.6
"40","2007-03-01",21.299999
"41","2007-03-02",20.200001
"42","2007-03-05",18.799999
"43","2007-03-06",19.6
"44","2007-03-07",20.4
"45","2007-03-08",19.9
"46","2007-03-09",20.1
"47","2007-03-12",21
"48","2007-03-13",16.200001
"49","2007-03-14",15.7
"50","2007-03-15",15.4
"51","2007-03-16",14.6
"52","2007-03-19",14.8
"53","2007-03-20",14.5
"54","2007-03-21",14.2
"55","2007-03-22",13.5
"56","2007-03-23",12.9
"57","2007-03-26",13.2
"58","2007-03-27",13
"59","2007-03-28",12.8
"60","2007-03-29",12.4
"61","2007-03-30",13
"62","2007-04-02",13.1
"63","2007-04-03",12.6
"64","2007-04-04",12
"65","2007-04-05",11.6
"66","2007-04-09",12.3
"67","2007-04-10",12.4
"68","2007-04-11",11.5
"69","2007-04-12",11.3
"70","2007-04-13",10.8
"71","2007-04-16",11.4
"72","2007-04-17",11.6
"73","2007-04-18",11.9
"74","2007-04-19",11.3
"75","2007-04-20",11.2
"76","2007-04-23",10.9
"77","2007-04-24",10.7
