"","date","DGX"
"1","2007-01-03",51.490002
"2","2007-01-04",51.84
"3","2007-01-05",51.34
"4","2007-01-08",51.700001
"5","2007-01-09",51.599998
"6","2007-01-10",51.240002
"7","2007-01-11",50.779999
"8","2007-01-12",50.139999
"9","2007-01-16",49.779999
"10","2007-01-17",49.02
"11","2007-01-18",50.110001
"12","2007-01-19",50.650002
"13","2007-01-22",50.029999
"14","2007-01-23",50.240002
"15","2007-01-24",51.060001
"16","2007-01-25",51.299999
"17","2007-01-26",51.439999
"18","2007-01-29",52.27
"19","2007-01-30",52.630001
"20","2007-01-31",52.48
"21","2007-02-01",53.060001
"22","2007-02-02",53.349998
"23","2007-02-05",52.700001
"24","2007-02-06",52.700001
"25","2007-02-07",52.93
"26","2007-02-08",52.41
"27","2007-02-09",52.189999
"28","2007-02-12",52.259998
"29","2007-02-13",52.349998
"30","2007-02-14",52.68
"31","2007-02-15",53.919998
"32","2007-02-16",52.849998
"33","2007-02-20",52.700001
"34","2007-02-21",52.419998
"35","2007-02-22",52.73
"36","2007-02-23",52.369999
"37","2007-02-26",51.880001
"38","2007-02-27",50.959999
"39","2007-02-28",51.009998
"40","2007-03-01",51.07
"41","2007-03-02",49.919998
"42","2007-03-05",49.25
"43","2007-03-06",49.310001
"44","2007-03-07",49.029999
"45","2007-03-08",49.799999
"46","2007-03-09",49.720001
"47","2007-03-12",49.310001
"48","2007-03-13",48.75
"49","2007-03-14",48.73
"50","2007-03-15",49.139999
"51","2007-03-16",48.970001
"52","2007-03-19",49.650002
"53","2007-03-20",49.490002
"54","2007-03-21",49.43
"55","2007-03-22",49.07
"56","2007-03-23",48.98
"57","2007-03-26",49.720001
"58","2007-03-27",49.650002
"59","2007-03-28",49.669998
"60","2007-03-29",49.919998
"61","2007-03-30",49.869999
"62","2007-04-02",50.080002
"63","2007-04-03",51.07
"64","2007-04-04",51.169998
"65","2007-04-05",51.299999
"66","2007-04-09",51.25
"67","2007-04-10",52.220001
"68","2007-04-11",52.029999
"69","2007-04-12",52.779999
"70","2007-04-13",54.310001
"71","2007-04-16",51.689999
"72","2007-04-17",50.599998
"73","2007-04-18",51.369999
"74","2007-04-19",50.400002
"75","2007-04-20",49.970001
"76","2007-04-23",49.599998
"77","2007-04-24",49.48
"78","2007-04-25",49.470001
"79","2007-04-26",50.200001
"80","2007-04-27",49.509998
"81","2007-04-30",48.889999
"82","2007-05-01",49.09
"83","2007-05-02",49.060001
"84","2007-05-03",48.599998
"85","2007-05-04",48.919998
