"","date","DSSI"
"1","2019-03-28",10.96
"2","2019-03-29",10.4
"3","2019-04-01",10.37
"4","2019-04-02",9.65
"5","2019-04-03",9.72
"6","2019-04-04",10.24
"7","2019-04-05",10.51
"8","2019-04-08",11.4
"9","2019-04-09",11.68
"10","2019-04-10",12.27
"11","2019-04-11",13.15
"12","2019-04-12",13.44
"13","2019-04-15",13.46
"14","2019-04-16",13.41
"15","2019-04-17",13.25
"16","2019-04-18",13.05
"17","2019-04-22",13.06
"18","2019-04-23",13.26
"19","2019-04-24",13.1
"20","2019-04-25",12.92
"21","2019-04-26",13.15
"22","2019-04-29",13.15
"23","2019-04-30",13.05
"24","2019-05-01",13.15
"25","2019-05-02",13.73
"26","2019-05-03",14.21
"27","2019-05-06",14.23
"28","2019-05-07",13.59
"29","2019-05-08",13.81
"30","2019-05-09",13.6
"31","2019-05-10",13.7
"32","2019-05-13",13.17
"33","2019-05-14",13.47
"34","2019-05-15",13.67
"35","2019-05-16",13.31
"36","2019-05-17",12.65
"37","2019-05-20",12.94
"38","2019-05-21",12.91
"39","2019-05-22",12.99
"40","2019-05-23",12.46
"41","2019-05-24",12.35
"42","2019-05-28",12.21
"43","2019-05-29",12.15
"44","2019-05-30",12.4
"45","2019-05-31",12.15
"46","2019-06-03",11.99
"47","2019-06-04",12.09
"48","2019-06-05",11.97
"49","2019-06-06",12
"50","2019-06-07",11.83
"51","2019-06-10",11.7
"52","2019-06-11",11.58
"53","2019-06-12",10.89
"54","2019-06-13",11.34
"55","2019-06-14",11.37
"56","2019-06-17",11.65
"57","2019-06-18",11.57
"58","2019-06-19",11.33
"59","2019-06-20",11.65
"60","2019-06-21",11.36
"61","2019-06-24",11.62
"62","2019-06-25",11.35
"63","2019-06-26",11.66
"64","2019-06-27",11.75
"65","2019-06-28",12.77
"66","2019-07-01",13.41
"67","2019-07-02",13.49
"68","2019-07-03",12.95
"69","2019-07-05",12.64
"70","2019-07-08",12.58
"71","2019-07-09",12.63
"72","2019-07-10",12.98
"73","2019-07-11",12.95
"74","2019-07-12",13.11
"75","2019-07-15",12.78
"76","2019-07-16",12.85
"77","2019-07-17",12.7
"78","2019-07-18",12.32
"79","2019-07-19",12.05
"80","2019-07-22",12.05
"81","2019-07-23",11.81
"82","2019-07-24",12.4
"83","2019-07-25",12.03
"84","2019-07-26",12.06
"85","2019-07-29",11.94
"86","2019-07-30",11.94
"87","2019-07-31",11.95
"88","2019-08-01",11.71
"89","2019-08-02",11.49
"90","2019-08-05",10.9
"91","2019-08-06",10.94
"92","2019-08-07",10.8
"93","2019-08-08",10.94
"94","2019-08-09",10.48
"95","2019-08-12",10.22
"96","2019-08-13",10.42
"97","2019-08-14",10
"98","2019-08-15",9.95
"99","2019-08-16",10.32
"100","2019-08-19",10.98
"101","2019-08-20",10.79
"102","2019-08-21",11.01
"103","2019-08-22",10.57
"104","2019-08-23",10.6
"105","2019-08-26",10.72
"106","2019-08-27",10.47
"107","2019-08-28",10.65
"108","2019-08-29",10.79
"109","2019-08-30",10.9
"110","2019-09-03",10.75
"111","2019-09-04",10.88
"112","2019-09-05",10.95
"113","2019-09-06",10.95
"114","2019-09-09",11.15
"115","2019-09-10",11.34
"116","2019-09-11",11.58
"117","2019-09-12",11.79
"118","2019-09-13",11.96
"119","2019-09-16",11.39
"120","2019-09-17",11.13
"121","2019-09-18",11.35
"122","2019-09-19",11.18
"123","2019-09-20",11
"124","2019-09-23",10.82
"125","2019-09-24",10.27
"126","2019-09-25",10.45
"127","2019-09-26",10.94
"128","2019-09-27",10.83
"129","2019-09-30",11.02
"130","2019-10-01",11.52
"131","2019-10-02",11.38
"132","2019-10-03",11.28
"133","2019-10-04",12.27
"134","2019-10-07",13.86
