"","date","LOAC"
"1","2018-10-18",9.65
"2","2018-10-19",9.65
"3","2018-10-22",9.65
"4","2018-10-23",9.65
"5","2018-10-24",9.65
"6","2018-10-25",9.65
"7","2018-10-26",9.65
"8","2018-10-29",9.65
"9","2018-10-30",9.65
"10","2018-10-31",9.8
"11","2018-11-01",9.8
"12","2018-11-02",9.8
"13","2018-11-05",9.68
"14","2018-11-06",9.68
"15","2018-11-07",9.75
"16","2018-11-08",9.75
"17","2018-11-09",9.75
"18","2018-11-12",9.8
"19","2018-11-13",9.8
"20","2018-11-14",9.8
"21","2018-11-15",9.8
"22","2018-11-16",9.8
"23","2018-11-19",9.8
"24","2018-11-20",9.8
"25","2018-11-21",9.8
"26","2018-11-23",9.8
"27","2018-11-26",9.8
"28","2018-11-27",9.8
"29","2018-11-28",9.8
"30","2018-11-29",9.72
"31","2018-11-30",9.85
"32","2018-12-03",9.85
"33","2018-12-04",9.85
"34","2018-12-06",9.85
"35","2018-12-07",9.85
"36","2018-12-10",9.85
"37","2018-12-11",9.85
"38","2018-12-12",9.88
"39","2018-12-13",9.9
"40","2018-12-14",9.9
"41","2018-12-17",9.9
"42","2018-12-18",9.9
"43","2018-12-19",9.9
"44","2018-12-20",9.9
"45","2018-12-21",9.9
"46","2018-12-24",9.9
"47","2018-12-26",9.9
"48","2018-12-27",9.9
"49","2018-12-28",9.9
"50","2018-12-31",10.05
"51","2019-01-02",10.05
"52","2019-01-03",10.05
"53","2019-01-04",10.05
"54","2019-01-07",10.05
"55","2019-01-08",9.95
"56","2019-01-09",9.95
"57","2019-01-10",10
"58","2019-01-11",10
"59","2019-01-14",10
"60","2019-01-15",10
"61","2019-01-16",10
"62","2019-01-17",10
"63","2019-01-18",10
"64","2019-01-22",10
"65","2019-01-23",10
"66","2019-01-24",9.99
"67","2019-01-25",9.97
"68","2019-01-28",9.94
"69","2019-01-29",9.94
"70","2019-01-30",9.95
"71","2019-01-31",9.97
"72","2019-02-01",9.93
"73","2019-02-04",9.93
"74","2019-02-05",9.93
"75","2019-02-06",9.96
"76","2019-02-07",9.96
"77","2019-02-08",9.95
"78","2019-02-11",9.98
"79","2019-02-12",9.97
"80","2019-02-13",9.97
"81","2019-02-14",9.98
"82","2019-02-15",9.98
"83","2019-02-19",9.98
"84","2019-02-20",9.97
"85","2019-02-21",9.97
"86","2019-02-22",9.97
"87","2019-02-25",9.97
"88","2019-02-26",9.97
"89","2019-02-27",9.97
"90","2019-02-28",9.97
"91","2019-03-01",9.97
"92","2019-03-04",9.97
"93","2019-03-05",9.97
"94","2019-03-06",9.97
"95","2019-03-07",9.95
"96","2019-03-08",9.95
"97","2019-03-11",9.95
"98","2019-03-12",9.95
"99","2019-03-13",9.95
"100","2019-03-14",9.97
"101","2019-03-15",9.97
"102","2019-03-18",9.99
"103","2019-03-19",9.99
"104","2019-03-20",9.99
"105","2019-03-21",9.99
"106","2019-03-22",9.97
"107","2019-03-25",9.97
"108","2019-03-26",9.97
"109","2019-03-27",9.97
"110","2019-03-28",9.97
"111","2019-03-29",9.99
"112","2019-04-01",9.99
"113","2019-04-02",9.99
"114","2019-04-03",9.99
"115","2019-04-04",9.99
"116","2019-04-05",9.99
"117","2019-04-08",9.99
"118","2019-04-09",9.99
"119","2019-04-10",9.99
"120","2019-04-11",10.02
"121","2019-04-12",10.02
