"","date","LITB"
"1","2013-06-06",11.61
"2","2013-06-07",12.53
"3","2013-06-10",14.59
"4","2013-06-11",14.3
"5","2013-06-12",14.02
"6","2013-06-13",15.14
"7","2013-06-14",16.98
"8","2013-06-17",17.15
"9","2013-06-18",16.65
"10","2013-06-19",15.86
"11","2013-06-20",14
"12","2013-06-21",14.89
"13","2013-06-24",13.13
"14","2013-06-25",13.97
"15","2013-06-26",13.65
"16","2013-06-27",13.75
"17","2013-06-28",13.46
"18","2013-07-01",13.13
"19","2013-07-02",13.07
"20","2013-07-03",13.55
"21","2013-07-05",13.35
"22","2013-07-08",13.2
"23","2013-07-09",13.31
"24","2013-07-10",15.17
"25","2013-07-11",15.1
"26","2013-07-12",15.93
"27","2013-07-15",15.89
"28","2013-07-16",15.17
"29","2013-07-17",17.66
"30","2013-07-18",16.780001
"31","2013-07-19",17.389999
"32","2013-07-22",16.200001
"33","2013-07-23",16.4
"34","2013-07-24",16.120001
"35","2013-07-25",16.67
"36","2013-07-26",17.809999
"37","2013-07-29",16.690001
"38","2013-07-30",16.66
"39","2013-07-31",15.99
"40","2013-08-01",16.1
"41","2013-08-02",16.24
"42","2013-08-05",17.85
"43","2013-08-06",18.870001
"44","2013-08-07",17.91
"45","2013-08-08",19.299999
"46","2013-08-09",20.940001
"47","2013-08-12",20.139999
"48","2013-08-13",21.889999
"49","2013-08-14",22.209999
"50","2013-08-15",19.610001
"51","2013-08-16",19.030001
"52","2013-08-19",19.27
"53","2013-08-20",11.58
"54","2013-08-21",11.12
"55","2013-08-22",9.96
"56","2013-08-23",9.87
"57","2013-08-26",10.36
"58","2013-08-27",10.09
"59","2013-08-28",10.06
"60","2013-08-29",10.17
"61","2013-08-30",9.67
"62","2013-09-03",9.62
"63","2013-09-04",9.91
"64","2013-09-05",10.14
"65","2013-09-06",10.42
"66","2013-09-09",10.77
"67","2013-09-10",11.84
"68","2013-09-11",11.89
"69","2013-09-12",11.69
"70","2013-09-13",11.65
"71","2013-09-16",11.59
"72","2013-09-17",11.87
"73","2013-09-18",12.48
"74","2013-09-19",12.01
"75","2013-09-20",11.98
"76","2013-09-23",12.19
"77","2013-09-24",12.02
"78","2013-09-25",12.24
"79","2013-09-26",12.51
"80","2013-09-27",12.13
"81","2013-09-30",11.85
"82","2013-10-01",12.04
"83","2013-10-02",12.49
"84","2013-10-03",12.19
"85","2013-10-04",12.14
"86","2013-10-07",12.27
"87","2013-10-08",11.47
"88","2013-10-09",11.44
"89","2013-10-10",11.4
"90","2013-10-11",11.12
"91","2013-10-14",10.88
"92","2013-10-15",11.09
"93","2013-10-16",10.95
"94","2013-10-17",11.26
"95","2013-10-18",10.97
"96","2013-10-21",10.92
"97","2013-10-22",10.37
"98","2013-10-23",9.96
"99","2013-10-24",10.02
"100","2013-10-25",9.94
"101","2013-10-28",10.03
"102","2013-10-29",10
"103","2013-10-30",9.34
"104","2013-10-31",9.23
"105","2013-11-01",8.56
"106","2013-11-04",7.93
"107","2013-11-05",8.15
"108","2013-11-06",8.19
"109","2013-11-07",7.84
"110","2013-11-08",8.1
"111","2013-11-11",8.05
"112","2013-11-12",8.75
"113","2013-11-13",9.28
"114","2013-11-14",10.41
"115","2013-11-15",10.74
"116","2013-11-18",9.98
"117","2013-11-19",7.68
"118","2013-11-20",7.6
"119","2013-11-21",7.65
"120","2013-11-22",7
"121","2013-11-25",7.17
"122","2013-11-26",7.11
"123","2013-11-27",7.14
"124","2013-11-29",7.1
"125","2013-12-02",7.03
"126","2013-12-03",7.18
"127","2013-12-04",7.49
"128","2013-12-05",7.31
"129","2013-12-06",7.08
"130","2013-12-09",6.96
"131","2013-12-10",6.92
"132","2013-12-11",6.71
"133","2013-12-12",6.36
"134","2013-12-13",6.35
"135","2013-12-16",7.51
"136","2013-12-17",7.51
"137","2013-12-18",7.68
"138","2013-12-19",8.12
"139","2013-12-20",7.96
"140","2013-12-23",7.52
"141","2013-12-24",7.97
"142","2013-12-26",8.32
"143","2013-12-27",8.36
"144","2013-12-30",8.12
"145","2013-12-31",8.09
"146","2014-01-02",8.06
"147","2014-01-03",8.15
"148","2014-01-06",9.81
"149","2014-01-07",9.74
"150","2014-01-08",9.63
"151","2014-01-09",9.28
"152","2014-01-10",9.13
"153","2014-01-13",9.02
"154","2014-01-14",9.33
"155","2014-01-15",9.95
"156","2014-01-16",10.62
"157","2014-01-17",10.52
"158","2014-01-21",10.59
"159","2014-01-22",10.5
"160","2014-01-23",10.03
"161","2014-01-24",9.86
"162","2014-01-27",9.05
"163","2014-01-28",9.22
"164","2014-01-29",9.13
"165","2014-01-30",9.44
"166","2014-01-31",9.81
"167","2014-02-03",9.53
"168","2014-02-04",9.79
"169","2014-02-05",9.87
"170","2014-02-06",10.32
"171","2014-02-07",10.3
"172","2014-02-10",10.46
"173","2014-02-11",10.75
"174","2014-02-12",10.73
"175","2014-02-13",10.94
"176","2014-02-14",10.98
"177","2014-02-18",10.93
"178","2014-02-19",10.93
"179","2014-02-20",10.93
"180","2014-02-21",10.92
"181","2014-02-24",10.75
"182","2014-02-25",10.28
"183","2014-02-26",8.99
"184","2014-02-27",8.56
"185","2014-02-28",8.47
"186","2014-03-03",8.09
"187","2014-03-04",8
"188","2014-03-05",8.1
"189","2014-03-06",9.19
"190","2014-03-07",8.67
"191","2014-03-10",8.46
"192","2014-03-11",8.27
"193","2014-03-12",8.08
"194","2014-03-13",8.05
"195","2014-03-14",7.93
"196","2014-03-17",7.6
"197","2014-03-18",7.73
"198","2014-03-19",7.42
"199","2014-03-20",7.12
"200","2014-03-21",7
"201","2014-03-24",6.8
"202","2014-03-25",6.68
"203","2014-03-26",6.51
"204","2014-03-27",6.63
"205","2014-03-28",6.61
"206","2014-03-31",6.7
"207","2014-04-01",6.84
"208","2014-04-02",6.79
"209","2014-04-03",6.61
"210","2014-04-04",6.37
"211","2014-04-07",6.17
"212","2014-04-08",6.25
"213","2014-04-09",6.32
"214","2014-04-10",6
"215","2014-04-11",5.81
"216","2014-04-14",5.74
"217","2014-04-15",5.73
"218","2014-04-16",5.58
"219","2014-04-17",5.77
"220","2014-04-21",5.76
"221","2014-04-22",5.8
"222","2014-04-23",5.66
"223","2014-04-24",5.67
"224","2014-04-25",5.4
"225","2014-04-28",4.96
"226","2014-04-29",5.24
"227","2014-04-30",5.46
"228","2014-05-01",5.24
"229","2014-05-02",5.15
"230","2014-05-05",5.28
"231","2014-05-06",5.2
"232","2014-05-07",5
"233","2014-05-08",5.03
"234","2014-05-09",4.99
"235","2014-05-12",5.32
"236","2014-05-13",5.21
"237","2014-05-14",5.09
"238","2014-05-15",5
"239","2014-05-16",4.95
"240","2014-05-19",5.07
"241","2014-05-20",4.97
"242","2014-05-21",5.03
"243","2014-05-22",5.13
"244","2014-05-23",5.51
"245","2014-05-27",5.68
"246","2014-05-28",5.74
"247","2014-05-29",5.8
"248","2014-05-30",5.57
"249","2014-06-02",5.43
"250","2014-06-03",5.21
"251","2014-06-04",5.23
"252","2014-06-05",5.29
"253","2014-06-06",5.32
"254","2014-06-09",5.52
"255","2014-06-10",5.48
"256","2014-06-11",5.5
"257","2014-06-12",5.23
"258","2014-06-13",5.24
"259","2014-06-16",5.22
"260","2014-06-17",4.84
"261","2014-06-18",4.92
"262","2014-06-19",5.09
"263","2014-06-20",5.06
"264","2014-06-23",5.08
"265","2014-06-24",4.91
"266","2014-06-25",5.07
"267","2014-06-26",5.11
"268","2014-06-27",6.42
"269","2014-06-30",6.36
"270","2014-07-01",6.11
"271","2014-07-02",6.62
"272","2014-07-03",6.91
"273","2014-07-07",6.39
