"","date","AMST"
"1","2020-09-25",5.22
"2","2020-09-28",4.79
"3","2020-09-29",4.5
"4","2020-09-30",4.4
"5","2020-10-01",4.35
"6","2020-10-02",4.77
"7","2020-10-05",4.47
"8","2020-10-06",4.75
"9","2020-10-07",4.7
"10","2020-10-08",4.52
"11","2020-10-09",4.68
"12","2020-10-12",4.59
"13","2020-10-13",4.21
"14","2020-10-14",4.56
"15","2020-10-15",4.31
"16","2020-10-16",4.3
"17","2020-10-19",4.34
"18","2020-10-20",4.38
"19","2020-10-21",4.34
"20","2020-10-22",4.47
"21","2020-10-23",4.473
"22","2020-10-26",4.2
"23","2020-10-27",4.34
"24","2020-10-28",4.2
"25","2020-10-29",4.28
"26","2020-10-30",4.25
"27","2020-11-02",4.21
"28","2020-11-03",4.16
"29","2020-11-04",4.14
"30","2020-11-05",4.1
"31","2020-11-06",4.12
"32","2020-11-09",4.12
"33","2020-11-10",4.1
"34","2020-11-11",4.14
"35","2020-11-12",4.09
"36","2020-11-13",4.37
"37","2020-11-16",4.8
"38","2020-11-17",4.79
"39","2020-11-18",4.89
"40","2020-11-19",5.11
"41","2020-11-20",4.92
"42","2020-11-23",4.99
"43","2020-11-24",4.64
"44","2020-11-25",4.6
"45","2020-11-27",4.6
