"","date","IDEX"
"1","2007-05-23",300
"2","2007-05-24",300
"3","2007-05-25",300
"4","2007-05-29",281.25
"5","2007-05-30",206.25
"6","2007-05-31",206.25
"7","2007-06-01",206.25
"8","2007-06-04",225
"9","2007-06-05",225
"10","2007-06-06",225
"11","2007-06-07",225
"12","2007-06-08",300
"13","2007-06-11",300
"14","2007-06-12",300
"15","2007-06-13",300
"16","2007-06-14",300
"17","2007-06-15",300
"18","2007-06-18",300
"19","2007-06-19",300
"20","2007-06-20",300
"21","2007-06-21",300
"22","2007-06-22",300
"23","2007-06-25",300
"24","2007-06-26",300
"25","2007-06-27",300
"26","2007-06-28",300
"27","2007-06-29",300
"28","2007-07-02",300
"29","2007-07-03",300
"30","2007-07-05",300
"31","2007-07-06",300
"32","2007-07-09",300
"33","2007-07-10",300
"34","2007-07-11",300
"35","2007-07-12",300
"36","2007-07-13",300
"37","2007-07-16",300
"38","2007-07-17",300
"39","2007-07-18",300
"40","2007-07-19",300
"41","2007-07-20",300
"42","2007-07-23",300
"43","2007-07-24",300
"44","2007-07-25",300
"45","2007-07-26",300
"46","2007-07-27",300
"47","2007-07-30",300
"48","2007-07-31",300
"49","2007-08-01",300
"50","2007-08-02",300
"51","2007-08-03",300
"52","2007-08-06",300
"53","2007-08-07",300
"54","2007-08-08",300
"55","2007-08-09",300
"56","2007-08-10",300
"57","2007-08-13",300
"58","2007-08-14",300
"59","2007-08-15",300
"60","2007-08-16",300
"61","2007-08-17",300
"62","2007-08-20",300
"63","2007-08-21",300
"64","2007-08-22",300
"65","2007-08-23",300
"66","2007-08-24",300
"67","2007-08-27",300
"68","2007-08-28",300
"69","2007-08-29",300
"70","2007-08-30",300
"71","2007-08-31",300
"72","2007-09-04",300
"73","2007-09-05",300
"74","2007-09-06",300
"75","2007-09-07",300
"76","2007-09-10",300
"77","2007-09-11",300
"78","2007-09-12",300
"79","2007-09-13",300
"80","2007-09-14",300
"81","2007-09-17",300
"82","2007-09-18",300
"83","2007-09-19",300
"84","2007-09-20",300
"85","2007-09-21",300
"86","2007-09-24",300
"87","2007-09-25",300
"88","2007-09-26",300
"89","2007-09-27",300
"90","2007-09-28",300
"91","2007-10-01",300
"92","2007-10-02",300
"93","2007-10-03",300
"94","2007-10-04",300
"95","2007-10-05",300
"96","2007-10-08",300
"97","2007-10-09",300
"98","2007-10-10",300
"99","2007-10-11",300
"100","2007-10-12",300
"101","2007-10-15",300
"102","2007-10-16",300
"103","2007-10-17",300
"104","2007-10-18",300
"105","2007-10-19",300
"106","2007-10-22",300
"107","2007-10-23",300
"108","2007-10-24",300
"109","2007-10-25",300
"110","2007-10-26",300
"111","2007-10-29",300
"112","2007-10-30",300
"113","2007-10-31",300
"114","2007-11-01",300
"115","2007-11-02",300
"116","2007-11-05",300
"117","2007-11-06",300
"118","2007-11-07",300
"119","2007-11-08",300
"120","2007-11-09",300
"121","2007-11-12",225
"122","2007-11-13",225
"123","2007-11-14",225
"124","2007-11-15",225
"125","2007-11-16",225
"126","2007-11-19",225
"127","2007-11-20",225
"128","2007-11-21",225
"129","2007-11-23",225
"130","2007-11-26",225
"131","2007-11-27",225
"132","2007-11-28",225
"133","2007-11-29",225
"134","2007-11-30",225
"135","2007-12-03",225
"136","2007-12-04",225
"137","2007-12-05",225
"138","2007-12-06",225
"139","2007-12-07",225
"140","2007-12-10",225
"141","2007-12-11",225
"142","2007-12-12",225
"143","2007-12-13",225
"144","2007-12-14",225
"145","2007-12-17",225
"146","2007-12-18",225
"147","2007-12-19",225
"148","2007-12-20",225
"149","2007-12-21",225
"150","2007-12-24",225
"151","2007-12-26",337.5
"152","2007-12-27",337.5
"153","2007-12-28",337.5
"154","2007-12-31",337.5
"155","2008-01-02",337.5
"156","2008-01-03",337.5
"157","2008-01-04",337.5
"158","2008-01-07",337.5
"159","2008-01-08",337.5
"160","2008-01-09",337.5
"161","2008-01-10",337.5
"162","2008-01-11",337.5
"163","2008-01-14",337.5
"164","2008-01-15",112.5
"165","2008-01-16",52.5
"166","2008-01-17",52.5
"167","2008-01-18",93.75
"168","2008-01-22",75
"169","2008-01-23",75
"170","2008-01-24",75
"171","2008-01-25",75
"172","2008-01-28",75
"173","2008-01-29",75
"174","2008-01-30",75
"175","2008-01-31",86.25
"176","2008-02-01",86.25
"177","2008-02-04",86.25
