"","date","STRS"
"1","2007-01-03",31.370001
"2","2007-01-04",31.200001
"3","2007-01-05",31.870001
"4","2007-01-08",31.870001
"5","2007-01-09",31.5
"6","2007-01-10",32
"7","2007-01-11",31.51
"8","2007-01-12",32.700001
"9","2007-01-16",33.540001
"10","2007-01-17",33.5
"11","2007-01-18",33.740002
"12","2007-01-19",34
"13","2007-01-22",34.459999
"14","2007-01-23",33.93
"15","2007-01-24",33.639999
"16","2007-01-25",33.639999
"17","2007-01-26",32.939999
"18","2007-01-29",33.099998
"19","2007-01-30",33.07
"20","2007-01-31",34.029999
"21","2007-02-01",33.669998
"22","2007-02-02",33.669998
"23","2007-02-05",33.669998
"24","2007-02-06",33.950001
"25","2007-02-07",33.669998
"26","2007-02-08",33.57
"27","2007-02-09",33.57
"28","2007-02-12",33.57
"29","2007-02-13",33.57
"30","2007-02-14",33.59
"31","2007-02-15",33.200001
"32","2007-02-16",33.200001
"33","2007-02-20",33
"34","2007-02-21",33.419998
"35","2007-02-22",33.419998
"36","2007-02-23",33.419998
"37","2007-02-26",32.040001
"38","2007-02-27",32.040001
"39","2007-02-28",32.5
"40","2007-03-01",33
"41","2007-03-02",33
"42","2007-03-05",33.029999
"43","2007-03-06",31.469999
"44","2007-03-07",32.48
"45","2007-03-08",32.48
"46","2007-03-09",33.02
"47","2007-03-12",33.799999
"48","2007-03-13",33.080002
"49","2007-03-14",32.900002
"50","2007-03-15",32.049999
"51","2007-03-16",33.5
"52","2007-03-19",33.59
"53","2007-03-20",33.459999
"54","2007-03-21",33.25
"55","2007-03-22",33.529999
"56","2007-03-23",34
"57","2007-03-26",34.990002
"58","2007-03-27",34.799999
"59","2007-03-28",34.75
"60","2007-03-29",33.91
"61","2007-03-30",33.619999
"62","2007-04-02",33.77
"63","2007-04-03",34.349998
"64","2007-04-04",33
"65","2007-04-05",33.43
"66","2007-04-09",33.869999
"67","2007-04-10",33.880001
"68","2007-04-11",34.5
"69","2007-04-12",34.950001
"70","2007-04-13",35.619999
"71","2007-04-16",35.790001
"72","2007-04-17",36
"73","2007-04-18",36.099998
"74","2007-04-19",36.099998
"75","2007-04-20",35.59
"76","2007-04-23",36
"77","2007-04-24",36
"78","2007-04-25",36.049999
"79","2007-04-26",36.130001
"80","2007-04-27",36.599998
"81","2007-04-30",36.599998
"82","2007-05-01",36.619999
"83","2007-05-02",37
"84","2007-05-03",36.98
"85","2007-05-04",36.919998
"86","2007-05-07",36.630001
"87","2007-05-08",36.709999
"88","2007-05-09",37
"89","2007-05-10",37
"90","2007-05-11",36.700001
"91","2007-05-14",36.849998
"92","2007-05-15",36.5
"93","2007-05-16",36
"94","2007-05-17",35.91
"95","2007-05-18",35.93
"96","2007-05-21",36.049999
"97","2007-05-22",35.91
"98","2007-05-23",36.049999
"99","2007-05-24",36
"100","2007-05-25",36.259998
"101","2007-05-29",36
"102","2007-05-30",36.310001
"103","2007-05-31",36.139999
"104","2007-06-01",36.330002
"105","2007-06-04",36.75
"106","2007-06-05",37.169998
"107","2007-06-06",37.200001
"108","2007-06-07",36.330002
"109","2007-06-08",36.650002
"110","2007-06-11",35.720001
