"","date","NOVA"
"1","2019-07-25",11.25
"2","2019-07-26",11.44
"3","2019-07-29",11.2
"4","2019-07-30",11.35
"5","2019-07-31",11.25
"6","2019-08-01",11.39
"7","2019-08-02",11.52
"8","2019-08-05",10.81
"9","2019-08-06",10.99
"10","2019-08-07",11.04
"11","2019-08-08",11.31
"12","2019-08-09",11.75
"13","2019-08-12",11.73
"14","2019-08-13",11.92
"15","2019-08-14",11.87
"16","2019-08-15",11.07
"17","2019-08-16",11.04
"18","2019-08-19",11.21
"19","2019-08-20",10.36
"20","2019-08-21",10.16
"21","2019-08-22",9.44
"22","2019-08-23",8.66
"23","2019-08-26",8.67
"24","2019-08-27",9.15
"25","2019-08-28",10.16
"26","2019-08-29",10.32
"27","2019-08-30",10.56
"28","2019-09-03",10.76
"29","2019-09-04",10.83
"30","2019-09-05",11.01
"31","2019-09-06",11.52
"32","2019-09-09",10.68
"33","2019-09-10",10.34
"34","2019-09-11",10.31
"35","2019-09-12",10.16
"36","2019-09-13",10.26
"37","2019-09-16",10.28
"38","2019-09-17",10.44
"39","2019-09-18",10.46
"40","2019-09-19",10.36
"41","2019-09-20",10.42
"42","2019-09-23",11.01
"43","2019-09-24",11.59
"44","2019-09-25",12.03
"45","2019-09-26",11.65
"46","2019-09-27",10.8
"47","2019-09-30",10.75
"48","2019-10-01",10.2
"49","2019-10-02",10.05
"50","2019-10-03",9.85
"51","2019-10-04",9.58
"52","2019-10-07",9.78
"53","2019-10-08",9.63
"54","2019-10-09",9.44
"55","2019-10-10",10
"56","2019-10-11",10.16
"57","2019-10-14",10.09
"58","2019-10-15",10.04
"59","2019-10-16",10.23
"60","2019-10-17",10.63
"61","2019-10-18",10.7
"62","2019-10-21",10.94
"63","2019-10-22",10.63
"64","2019-10-23",10.51
"65","2019-10-24",10.55
"66","2019-10-25",10.81
"67","2019-10-28",10.97
"68","2019-10-29",11.05
"69","2019-10-30",10.99
"70","2019-10-31",10.62
"71","2019-11-01",11.06
"72","2019-11-04",11.14
"73","2019-11-05",10.94
"74","2019-11-06",10.37
"75","2019-11-07",9.85
"76","2019-11-08",9.68
"77","2019-11-11",10.17
"78","2019-11-12",10.57
"79","2019-11-13",9.89
"80","2019-11-14",10.6
"81","2019-11-15",10.72
"82","2019-11-18",10.62
"83","2019-11-19",10.61
"84","2019-11-20",10.24
"85","2019-11-21",10.39
"86","2019-11-22",10.13
"87","2019-11-25",10.04
"88","2019-11-26",9.97
"89","2019-11-27",10.22
"90","2019-11-29",10.28
"91","2019-12-02",10.02
"92","2019-12-03",9.9
"93","2019-12-04",9.69
"94","2019-12-05",9.52
"95","2019-12-06",9.68
"96","2019-12-09",9.66
"97","2019-12-10",9.59
"98","2019-12-11",9.31
"99","2019-12-12",9.75
"100","2019-12-13",10.28
"101","2019-12-16",10.4
"102","2019-12-17",11.05
"103","2019-12-18",11.06
"104","2019-12-19",10.98
"105","2019-12-20",11.49
"106","2019-12-23",11.42
"107","2019-12-24",11.58
"108","2019-12-26",11.69
"109","2019-12-27",11.63
"110","2019-12-30",11.9
"111","2019-12-31",11.16
"112","2020-01-02",11.29
"113","2020-01-03",11.5
"114","2020-01-06",11.42
"115","2020-01-07",11.52
"116","2020-01-08",11.53
"117","2020-01-09",11.37
"118","2020-01-10",11.18
"119","2020-01-13",11.27
"120","2020-01-14",11.09
"121","2020-01-15",11.39
"122","2020-01-16",11.67
"123","2020-01-17",12.32
"124","2020-01-21",12.71
"125","2020-01-22",12.89
"126","2020-01-23",13.04
"127","2020-01-24",13.15
"128","2020-01-27",12.91
"129","2020-01-28",13.2
"130","2020-01-29",13.31
"131","2020-01-30",13.68
"132","2020-01-31",13.58
"133","2020-02-03",13.69
"134","2020-02-04",14
"135","2020-02-05",13.97
"136","2020-02-06",14.26
"137","2020-02-07",14.15
"138","2020-02-10",14.2
"139","2020-02-11",14.7
"140","2020-02-12",16.280001
"141","2020-02-13",16
"142","2020-02-14",16.209999
"143","2020-02-18",16.24
"144","2020-02-19",18.040001
"145","2020-02-20",19.309999
"146","2020-02-21",17.860001
"147","2020-02-24",17.549999
"148","2020-02-25",17.940001
"149","2020-02-26",17.67
"150","2020-02-27",16.73
"151","2020-02-28",17.299999
"152","2020-03-02",20.309999
"153","2020-03-03",19.629999
"154","2020-03-04",19.700001
"155","2020-03-05",19.459999
"156","2020-03-06",18.09
"157","2020-03-09",16.82
"158","2020-03-10",17.030001
"159","2020-03-11",15.89
"160","2020-03-12",11.5
"161","2020-03-13",11.15
"162","2020-03-16",9.02
"163","2020-03-17",9.33
"164","2020-03-18",7
