"","date","INSG"
"1","2007-01-03",9.75
"2","2007-01-04",10.15
"3","2007-01-05",10.4
"4","2007-01-08",10.52
"5","2007-01-09",10.73
"6","2007-01-10",10.76
"7","2007-01-11",10.81
"8","2007-01-12",10.82
"9","2007-01-16",10.73
"10","2007-01-17",10.8
"11","2007-01-18",10.63
"12","2007-01-19",10.84
"13","2007-01-22",10.76
"14","2007-01-23",11.13
"15","2007-01-24",11.29
"16","2007-01-25",10.94
"17","2007-01-26",11
"18","2007-01-29",11.32
"19","2007-01-30",11.42
"20","2007-01-31",11.29
"21","2007-02-01",11.54
"22","2007-02-02",11.25
"23","2007-02-05",12.52
"24","2007-02-06",12.03
"25","2007-02-07",12.1
"26","2007-02-08",12.09
"27","2007-02-09",12.04
"28","2007-02-12",11.77
"29","2007-02-13",11.76
"30","2007-02-14",12.4
"31","2007-02-15",12.29
"32","2007-02-16",12.64
"33","2007-02-20",12.6
"34","2007-02-21",12.56
"35","2007-02-22",12.75
"36","2007-02-23",12.96
"37","2007-02-26",12.99
"38","2007-02-27",12.76
"39","2007-02-28",13.21
"40","2007-03-01",13.18
"41","2007-03-02",13.33
"42","2007-03-05",13.33
"43","2007-03-06",13.97
"44","2007-03-07",13.97
"45","2007-03-08",14.19
"46","2007-03-09",14.08
"47","2007-03-12",14.12
"48","2007-03-13",14.09
"49","2007-03-14",14.57
"50","2007-03-15",14.58
"51","2007-03-16",14.74
"52","2007-03-19",14.61
"53","2007-03-20",14.99
"54","2007-03-21",14.96
"55","2007-03-22",15.24
"56","2007-03-23",15.18
"57","2007-03-26",17.030001
"58","2007-03-27",17.040001
"59","2007-03-28",16.530001
"60","2007-03-29",16.129999
"61","2007-03-30",16.040001
"62","2007-04-02",15.99
"63","2007-04-03",16.860001
"64","2007-04-04",16.65
"65","2007-04-05",16.780001
"66","2007-04-09",16.82
"67","2007-04-10",16.870001
"68","2007-04-11",16.959999
"69","2007-04-12",17.030001
"70","2007-04-13",17.43
"71","2007-04-16",17.41
"72","2007-04-17",17.379999
"73","2007-04-18",17.190001
"74","2007-04-19",16.799999
"75","2007-04-20",16.809999
"76","2007-04-23",17.219999
"77","2007-04-24",17.51
"78","2007-04-25",16.65
"79","2007-04-26",17.049999
"80","2007-04-27",18.360001
"81","2007-04-30",18.190001
"82","2007-05-01",18.709999
"83","2007-05-02",19.940001
"84","2007-05-03",19.75
"85","2007-05-04",19.98
"86","2007-05-07",20.139999
"87","2007-05-08",19.950001
"88","2007-05-09",19.92
"89","2007-05-10",19.5
"90","2007-05-11",20
"91","2007-05-14",19.540001
"92","2007-05-15",19.24
"93","2007-05-16",19.43
"94","2007-05-17",21.530001
"95","2007-05-18",21.110001
"96","2007-05-21",21.85
"97","2007-05-22",21.49
"98","2007-05-23",21.440001
"99","2007-05-24",21.370001
"100","2007-05-25",22.18
"101","2007-05-29",22.040001
"102","2007-05-30",22.91
"103","2007-05-31",23.23
