"","date","ENBL"
"1","2014-04-11",22.200001
"2","2014-04-14",22.950001
"3","2014-04-15",22.959999
"4","2014-04-16",22.6
"5","2014-04-17",22.74
"6","2014-04-21",23.16
"7","2014-04-22",23.4
"8","2014-04-23",23.98
"9","2014-04-24",24.51
"10","2014-04-25",24.58
"11","2014-04-28",24.57
"12","2014-04-29",24.969999
"13","2014-04-30",24.74
"14","2014-05-01",25.01
"15","2014-05-02",24.75
"16","2014-05-05",25
"17","2014-05-06",24.719999
"18","2014-05-07",24.559999
"19","2014-05-08",24.290001
"20","2014-05-09",23.450001
"21","2014-05-12",23.940001
"22","2014-05-13",23.790001
"23","2014-05-14",23.799999
"24","2014-05-15",23.74
"25","2014-05-16",23.75
"26","2014-05-19",24.200001
"27","2014-05-20",24.5
"28","2014-05-21",25.08
"29","2014-05-22",25.059999
"30","2014-05-23",24.82
"31","2014-05-27",25.110001
"32","2014-05-28",25
"33","2014-05-29",25.25
"34","2014-05-30",25.4
"35","2014-06-02",25.5
"36","2014-06-03",25.190001
"37","2014-06-04",24.77
"38","2014-06-05",24.879999
"39","2014-06-06",24.25
"40","2014-06-09",24.299999
"41","2014-06-10",24.370001
"42","2014-06-11",24.02
"43","2014-06-12",23.57
"44","2014-06-13",23.450001
"45","2014-06-16",23.530001
"46","2014-06-17",23.73
"47","2014-06-18",23.299999
"48","2014-06-19",23.639999
"49","2014-06-20",23.709999
"50","2014-06-23",24.389999
"51","2014-06-24",23.93
"52","2014-06-25",24.58
"53","2014-06-26",25.040001
"54","2014-06-27",25.25
"55","2014-06-30",26.190001
"56","2014-07-01",26.75
"57","2014-07-02",26.49
"58","2014-07-03",26.15
"59","2014-07-07",25.66
"60","2014-07-08",25.67
"61","2014-07-09",25.49
"62","2014-07-10",24.77
"63","2014-07-11",24.959999
"64","2014-07-14",25.43
"65","2014-07-15",25.51
"66","2014-07-16",25.4
"67","2014-07-17",25.5
"68","2014-07-18",25.879999
"69","2014-07-21",26.42
"70","2014-07-22",26.01
"71","2014-07-23",25.75
"72","2014-07-24",25.4
"73","2014-07-25",25.309999
"74","2014-07-28",25.48
"75","2014-07-29",25.049999
"76","2014-07-30",24.790001
"77","2014-07-31",23.82
"78","2014-08-01",23.780001
"79","2014-08-04",24.41
"80","2014-08-05",25
"81","2014-08-06",25.629999
"82","2014-08-07",25.76
"83","2014-08-08",25.83
"84","2014-08-11",25.790001
"85","2014-08-12",25.940001
"86","2014-08-13",25.83
"87","2014-08-14",26.030001
"88","2014-08-15",26.190001
"89","2014-08-18",26.440001
"90","2014-08-19",26
"91","2014-08-20",25.809999
"92","2014-08-21",25.49
"93","2014-08-22",25.790001
"94","2014-08-25",25.969999
"95","2014-08-26",26.01
"96","2014-08-27",25.77
"97","2014-08-28",25.68
"98","2014-08-29",25.629999
"99","2014-09-02",25.43
"100","2014-09-03",25.52
"101","2014-09-04",25.65
"102","2014-09-05",25.889999
"103","2014-09-08",26.030001
"104","2014-09-09",26.200001
"105","2014-09-10",26.190001
"106","2014-09-11",26.129999
"107","2014-09-12",25.870001
"108","2014-09-15",25.77
"109","2014-09-16",25.76
"110","2014-09-17",25.85
"111","2014-09-18",26
"112","2014-09-19",25.73
"113","2014-09-22",25.209999
"114","2014-09-23",25.07
"115","2014-09-24",24.959999
"116","2014-09-25",24.83
"117","2014-09-26",24.879999
"118","2014-09-29",24.65
"119","2014-09-30",24.639999
"120","2014-10-01",24.93
"121","2014-10-02",24.84
"122","2014-10-03",24.92
"123","2014-10-06",24.5
"124","2014-10-07",24.24
"125","2014-10-08",24.190001
"126","2014-10-09",23.969999
"127","2014-10-10",23.34
"128","2014-10-13",22.540001
"129","2014-10-14",21.209999
"130","2014-10-15",21.75
"131","2014-10-16",22.91
"132","2014-10-17",23.280001
"133","2014-10-20",23.549999
"134","2014-10-21",23.950001
"135","2014-10-22",24.16
"136","2014-10-23",24.17
"137","2014-10-24",24.440001
"138","2014-10-27",24.450001
"139","2014-10-28",24.450001
"140","2014-10-29",24.459999
"141","2014-10-30",24.110001
"142","2014-10-31",24.16
"143","2014-11-03",23.84
"144","2014-11-04",23.360001
"145","2014-11-05",23.35
"146","2014-11-06",23.469999
"147","2014-11-07",23.700001
"148","2014-11-10",23.559999
"149","2014-11-11",23.57
"150","2014-11-12",23.24
"151","2014-11-13",22.93
"152","2014-11-14",23.4
"153","2014-11-17",24
"154","2014-11-18",23.84
"155","2014-11-19",23.6
"156","2014-11-20",23.200001
"157","2014-11-21",22.9
"158","2014-11-24",22.190001
"159","2014-11-25",21.73
"160","2014-11-26",22.32
"161","2014-11-28",20.120001
"162","2014-12-01",19.790001
"163","2014-12-02",21.200001
"164","2014-12-03",21.48
"165","2014-12-04",20.959999
"166","2014-12-05",21.08
"167","2014-12-08",20
"168","2014-12-09",19.75
"169","2014-12-10",17.65
"170","2014-12-11",18.16
"171","2014-12-12",17.4
"172","2014-12-15",17.51
"173","2014-12-16",18.91
"174","2014-12-17",19.9
"175","2014-12-18",20.379999
"176","2014-12-19",19.450001
"177","2014-12-22",18.290001
"178","2014-12-23",19.040001
"179","2014-12-24",19.1
"180","2014-12-26",19.75
"181","2014-12-29",19.09
"182","2014-12-30",19.16
"183","2014-12-31",19.389999
"184","2015-01-02",19.75
"185","2015-01-05",19.18
"186","2015-01-06",18.809999
"187","2015-01-07",18.33
"188","2015-01-08",19.07
"189","2015-01-09",19.1
"190","2015-01-12",18.73
"191","2015-01-13",18.51
"192","2015-01-14",17.93
"193","2015-01-15",18.219999
"194","2015-01-16",18.709999
"195","2015-01-20",18.299999
"196","2015-01-21",18.68
"197","2015-01-22",18.15
"198","2015-01-23",18.35
"199","2015-01-26",18.49
"200","2015-01-27",18.290001
"201","2015-01-28",18
"202","2015-01-29",17.34
