"","date","AEL"
"1","2007-01-03",12.99
"2","2007-01-04",13.23
"3","2007-01-05",12.78
"4","2007-01-08",12.66
"5","2007-01-09",12.48
"6","2007-01-10",12.47
"7","2007-01-11",12.56
"8","2007-01-12",12.6
"9","2007-01-16",12.76
"10","2007-01-17",13.22
"11","2007-01-18",13.17
"12","2007-01-19",13.33
"13","2007-01-22",13.02
"14","2007-01-23",13.12
"15","2007-01-24",13
"16","2007-01-25",12.82
"17","2007-01-26",12.68
"18","2007-01-29",12.9
"19","2007-01-30",13
"20","2007-01-31",12.81
"21","2007-02-01",13.12
"22","2007-02-02",13.26
"23","2007-02-05",13.35
"24","2007-02-06",13.48
"25","2007-02-07",13.69
"26","2007-02-08",13.85
"27","2007-02-09",14
"28","2007-02-12",13.85
"29","2007-02-13",13.71
"30","2007-02-14",13.62
"31","2007-02-15",13.74
"32","2007-02-16",13.65
"33","2007-02-20",13.86
"34","2007-02-21",13.76
"35","2007-02-22",13.67
"36","2007-02-23",13.78
"37","2007-02-26",13.71
"38","2007-02-27",13.4
"39","2007-02-28",13.26
"40","2007-03-01",13.08
"41","2007-03-02",12.93
"42","2007-03-05",12.62
"43","2007-03-06",12.75
"44","2007-03-07",12.62
"45","2007-03-08",12.61
"46","2007-03-09",12.65
"47","2007-03-12",12.73
"48","2007-03-13",12.4
"49","2007-03-14",12.45
"50","2007-03-15",12.56
"51","2007-03-16",12.41
"52","2007-03-19",12.42
"53","2007-03-20",12.68
"54","2007-03-21",12.99
"55","2007-03-22",12.98
"56","2007-03-23",13.15
"57","2007-03-26",13.22
"58","2007-03-27",13.12
"59","2007-03-28",13.18
"60","2007-03-29",13.09
"61","2007-03-30",13.13
"62","2007-04-02",13.1
"63","2007-04-03",13.49
"64","2007-04-04",13.24
"65","2007-04-05",13.42
"66","2007-04-09",13.22
"67","2007-04-10",13.09
"68","2007-04-11",13.29
"69","2007-04-12",13.28
"70","2007-04-13",13.34
"71","2007-04-16",13.66
"72","2007-04-17",13.71
"73","2007-04-18",13.64
"74","2007-04-19",13.42
"75","2007-04-20",13.62
"76","2007-04-23",13.64
"77","2007-04-24",13.55
"78","2007-04-25",13.86
"79","2007-04-26",13.81
"80","2007-04-27",13.75
"81","2007-04-30",13.65
"82","2007-05-01",13.72
"83","2007-05-02",13.75
"84","2007-05-03",12.79
"85","2007-05-04",12.84
"86","2007-05-07",12.56
"87","2007-05-08",12.57
"88","2007-05-09",12.37
"89","2007-05-10",12.13
"90","2007-05-11",12.16
"91","2007-05-14",12
"92","2007-05-15",11.72
"93","2007-05-16",11.91
"94","2007-05-17",11.76
"95","2007-05-18",11.72
"96","2007-05-21",11.66
"97","2007-05-22",11.67
"98","2007-05-23",11.5
"99","2007-05-24",11.41
"100","2007-05-25",11.41
"101","2007-05-29",11.73
"102","2007-05-30",11.77
"103","2007-05-31",11.99
"104","2007-06-01",12.12
"105","2007-06-04",12.16
"106","2007-06-05",11.96
"107","2007-06-06",11.82
"108","2007-06-07",11.59
"109","2007-06-08",11.84
"110","2007-06-11",12.01
"111","2007-06-12",12
"112","2007-06-13",12.06
"113","2007-06-14",12.19
"114","2007-06-15",12.42
"115","2007-06-18",12.49
"116","2007-06-19",12.26
"117","2007-06-20",12.06
"118","2007-06-21",12
"119","2007-06-22",12.24
"120","2007-06-25",12.01
"121","2007-06-26",11.95
"122","2007-06-27",12.03
"123","2007-06-28",12.28
"124","2007-06-29",12.08
"125","2007-07-02",11.99
"126","2007-07-03",12.24
"127","2007-07-05",12.24
"128","2007-07-06",12.22
"129","2007-07-09",12.21
"130","2007-07-10",11.83
"131","2007-07-11",11.87
"132","2007-07-12",12.16
"133","2007-07-13",12.29
"134","2007-07-16",12.32
"135","2007-07-17",12.38
"136","2007-07-18",12.5
"137","2007-07-19",12.42
"138","2007-07-20",12.11
"139","2007-07-23",12.12
"140","2007-07-24",12.01
"141","2007-07-25",11.98
"142","2007-07-26",11.72
"143","2007-07-27",11.58
"144","2007-07-30",11.48
"145","2007-07-31",11.35
"146","2007-08-01",11.41
"147","2007-08-02",10.71
"148","2007-08-03",10.15
"149","2007-08-06",10.53
"150","2007-08-07",11.01
"151","2007-08-08",11.4
"152","2007-08-09",12.11
"153","2007-08-10",11.62
"154","2007-08-13",10.97
"155","2007-08-14",10.71
"156","2007-08-15",10.62
"157","2007-08-16",11.08
"158","2007-08-17",11.24
"159","2007-08-20",11
"160","2007-08-21",10.82
"161","2007-08-22",10.76
"162","2007-08-23",10.76
"163","2007-08-24",10.75
"164","2007-08-27",10.54
"165","2007-08-28",10.15
"166","2007-08-29",10.28
"167","2007-08-30",10.25
"168","2007-08-31",10.21
"169","2007-09-04",10.23
"170","2007-09-05",10.2
"171","2007-09-06",10.2
"172","2007-09-07",9.99
"173","2007-09-10",10.03
"174","2007-09-11",10.16
"175","2007-09-12",10.05
"176","2007-09-13",10.01
"177","2007-09-14",10.07
"178","2007-09-17",10.05
"179","2007-09-18",10.4
"180","2007-09-19",10.8
"181","2007-09-20",10.83
"182","2007-09-21",10.94
"183","2007-09-24",10.79
"184","2007-09-25",10.63
"185","2007-09-26",10.7
"186","2007-09-27",10.84
"187","2007-09-28",10.65
"188","2007-10-01",11.1
"189","2007-10-02",10.9
"190","2007-10-03",10.94
"191","2007-10-04",10.94
"192","2007-10-05",11.05
"193","2007-10-08",11.12
"194","2007-10-09",11.23
"195","2007-10-10",11.13
"196","2007-10-11",10.78
"197","2007-10-12",10.81
"198","2007-10-15",10.67
"199","2007-10-16",10.5
"200","2007-10-17",10.44
"201","2007-10-18",10.5
"202","2007-10-19",10.26
"203","2007-10-22",10.01
"204","2007-10-23",9.86
"205","2007-10-24",9.82
"206","2007-10-25",9.58
"207","2007-10-26",9.58
"208","2007-10-29",9.85
"209","2007-10-30",9.69
"210","2007-10-31",9.77
"211","2007-11-01",9
"212","2007-11-02",8.92
"213","2007-11-05",8.5
"214","2007-11-06",8.67
"215","2007-11-07",8.16
"216","2007-11-08",8.34
"217","2007-11-09",8.75
"218","2007-11-12",8.98
"219","2007-11-13",8.95
"220","2007-11-14",8.96
"221","2007-11-15",8.79
"222","2007-11-16",8.86
"223","2007-11-19",8.58
"224","2007-11-20",8.85
"225","2007-11-21",8.67
"226","2007-11-23",8.84
"227","2007-11-26",8.6
"228","2007-11-27",8.78
"229","2007-11-28",8.96
"230","2007-11-29",9
"231","2007-11-30",9.01
"232","2007-12-03",8.91
"233","2007-12-04",8.9
"234","2007-12-05",8.89
"235","2007-12-06",9.05
"236","2007-12-07",9.1
"237","2007-12-10",9.05
"238","2007-12-11",8.7
"239","2007-12-12",8.9
"240","2007-12-13",8.8
"241","2007-12-14",8.5
"242","2007-12-17",8.5
"243","2007-12-18",8.52
"244","2007-12-19",8.54
"245","2007-12-20",8.64
"246","2007-12-21",8.73
"247","2007-12-24",8.88
"248","2007-12-26",8.89
"249","2007-12-27",8.5
"250","2007-12-28",8.5
"251","2007-12-31",8.29
"252","2008-01-02",8.29
"253","2008-01-03",8.03
"254","2008-01-04",8.11
"255","2008-01-07",8.04
"256","2008-01-08",7.78
"257","2008-01-09",7.72
"258","2008-01-10",7.87
"259","2008-01-11",7.91
"260","2008-01-14",7.92
"261","2008-01-15",7.77
"262","2008-01-16",7.91
"263","2008-01-17",7.64
"264","2008-01-18",7.52
"265","2008-01-22",7.06
"266","2008-01-23",7.65
"267","2008-01-24",7.72
"268","2008-01-25",7.49
"269","2008-01-28",8.02
"270","2008-01-29",8.23
"271","2008-01-30",7.97
"272","2008-01-31",8.31
